sequence,song,artist,artist_slug,album,time,notes
1,Drama King,Peter Bjorn and John,peter-bjorn-john,Endless Dream,3:47,Low key grooving
2,Cause a Scene,Baby Shakes,baby-shakes,Cause a Scene,2:56,Don’t mess with these ladies
3,You Are Going to Hate This,The Frights,frights,You Are Going to Hate This,3:07,Really going to hate this
4,BREAK
5,White Fright,Bass Drum Of Death,bass-drum-of-death,Bass Drum Of Death,2:41,Thump thump thump
6,Libby O'Lively,Sex Clark Five,sex-clark-five,Rembrandtx,1:48,"What, it's over?"
7,Heimdalsgate Like A Promethean Curse,Of Montreal,of-montreal,Polyvinyl 15-Year Anniversary Sampler,3:19,"Angularity, thy name is that."
8,iYongwe,John Wizards,john-wizards,Bleep: The Top 100 Tracks of 2013,2:49,Eighties!
9,BREAK
10,The Adults Are Talking,The Strokes,strokes,The New Abnormal,5:09,Glitches aside
11,Teacher Teacher,Rockpile,rockpile,Seconds of Pleasure,2:37,Nick and Dave
12,For Your Pleasure,Shopping,shopping,All Or Nothing,3:31,Frantic activities
13,Put Your Hand Inside The Puppet Head,They Might Be Giants,they-might-be-giants,They Might Be Giants,2:13,Memo to myself
14,BREAK
15,Coconut,Harry Nilsson,harry-nilsson,The RCA Albums Collection CD07 - Nilsson Schmilsson,3:51,Still a weirdo
16,I Was Dancing In The Lesbian Bar,Jonathan Richman,jonathan-richman,Surrender To Jonathan,5:03,I surrender! I surrender!
17,Vuelo hasta tus pies,Los Amigos Invisibles,los-amigos-invisibles,A Typical & Autoctonal Venezueland Dance Band,3:36,From the early days
18,Out of My Head,Fastball,fastball,All the Pain Money Can Buy,2:33,Austin fever
19,BREAK
20,No More Pennies,Starcrawler,starcrawler,Devour You,3:47,So very Dinosaur Jr.
21,Sherlock Holmes,Sparks,sparks,Past Tense (The Best Of Sparks) (Disc 2),3:37,Elementary
22,Me Want Oogie Oogie,Hi Balls,hi-balls,Love Music,1:34,It’s universal
23,BREAK
24,Brazil,Dex Romweber Duo,dex-romweber-duo,,3:18,"Very classy, Dex"
25,Pale Disguise,The Murder City Devils,murder-city-devils,,3:54,Was that Neil Diamond?
26,Jamie (Luvver),Joanna Gruesome,joanna-gruesome,,1:41,Hardly gruesome
27,Thing Thing,El Pus,el-pus,,2:42,Late late night
28,BREAK
29,Fly,Cornelius,cornelius,Point,5:40,Buzz buzz
30,Paging System Operator,Barcelona,barcelona,Zero-One-Infinity (Expanded Edition),3:19,I need an encrypted IP!
31,Jibba Jab,Tic Toc,tic-toc,,2:22,Not Louie
32,BREAK
33,Fallin Out,Øzwald,ozwald,Sweet Delirium,3:05,Supertramp it
34,Mr. Pushkin Came to Shove,Combustible Edison,combustible-edison,The Impossible World,4:39,Music for your heist
35,Tura Satana,Flat Duo Jets,flat-duo-jets,White Trees,1:36,Bomb the twist
36,BREAK
37,So Many Details,Toro Y Moi,toro-y-moi,So Many Details,4:46,Dreamscape soundtrack
