sequence,song,artist,artist_slug,album,time,notes
1,Old Engine Oil,The Budos Band,budos-band,The Budos Band V,3:11,Fruit stands beware
2,Dos Caras,La Dame Blanche,la-dame-blanche,Bajo el Mismo Cielo,3:22,Comes the night
3,Hurricane Laughter,Fontaines D.C.,fontaines-d-c,Dogrel,4:51,Strong forces
4,BREAK
5,Zam,Frankie and the Witch Fingers,frankie-witch-fingers,ZAM,8:27,So epic
6,Trouble,Cage The Elephant,cage-elephant,Tell Me I'm Pretty,3:46,With a high yodel
7,Loander My Guitar,Willie Wisely,willie-wisely,She (Deluxe Remastered Edition),2:46,Not the Gibson SG!
8,BREAK
9,Zumm Zumm,Django Django,django-django,,5:19,New faves
10,Ride Yu Donkey,The Tennors,tennors,,1:58,Rocksteady foundations
11,Dead Mum Walking,Bigott,bigott,,2:55,"Zaragoza, Spain"
12,Radio Control,Chris and Tad,chris-tad,,3:15,It’s how they spell in Seattle
13,BREAK
14,Zungguzungguguzungguzeng,YellowMan,yellowman,,4:10,It has been stuck inside the head
15,Don't I Hold You,Wheat,wheat,,3:50,"Lilsting, I’d call it"
16,Bugalu,Garotas Suecas,garotas-suecas,,3:21,Swedish hot chicks!
17,BREAK
18,13 Months In 6 Minutes,The Wrens,wrens,The Meadowlands,6:50,That’s nothing
19,Winners Circle,Daddy Long Legs,daddy-long-legs,Lowdown Ways,3:21,Twist it to the limit
20,Voce Gosta?,Tom Zé,tom-ze,Você Gosta? / Feitiço - EP,2:23,Sai
21,BREAK
22,The Wind Cries Mary,The Jimi Hendrix Experience,jimi-hendrix-experience,Are You Experienced?,3:21,Possibly my favorite
23,I Ain't The One,Spoon,spoon,Hot Thoughts,3:48,This intro means business
24,Everybody Wants To Know,Swell,swell,Everybody Wants to Know,4:46,An unmatched sound
25,BREAK
26,Sideshow,Calexico,calexico,The Black Light (20th Anniversary Edition),2:02,Welcome to the show
27,Silence Is Golden,Forro In The Dark,forro-in-dark,Light a Candle,3:25,Keep it shut
28,The Hubble Constant,Kid Koala,kid-koala,Music To Draw To: Satellite,5:05,Tinkles from space
29,Everyone's Gone To The Movies,Steely Dan,steely-dan,Katy Lied,3:59,By request
30,BREAK
31,Bad Haircut,Nevada Bachelors,nevada-bachelors,Carrots & So On,2:51,Showed up
32,Swing Bop,Der Dritte Raum,der-dritte-raum,Swing Bop - Remixes - Single,6:45,Electroswing time
33,Love Your Money,Daisy Chainsaw,daisy-chainsaw,Eleventeen,2:39,Fun times!
34,BREAK
35,You Wanna Die,Les Thugs,les-thugs,As Happy As Possible,6:41,French breaknecking
