sequence,song,artist,artist_slug,album,time,notes
1,Along the Santa Fe Trail,M. Ward,m-ward,Migration Stories,3:09,Sparkling clear night skies
2,Expecting To Lose,Nathaniel Rateliff,nathaniel-rateliff,And It’s Still Alright,3:55,Porch ambiance
3,Big Grief,Waax,waax,Big Grief,2:43,The biggest
4,See You At The Lights,1990s,1990s,Cookies,2:55,Meet soon
5,BREAK
6,You Took Your Time (feat. King Krule),Mount Kimbie,mount-kimbie,Cold Spring Fault Less Youth,5:15,Hard to forget that voice
7,Butyric Acid,Consolidated,consolidated,Business of Punishment,3:54,These guys don’t mess around
8,Pretty Baby,Brendan Benson,brendan-benson,What Kind Of World,3:26,Delightfully Detroit
9,Fruitcakes,Zig Speck & The Specktones,zig-speck-specktones,100 Records: Vol. 3,2:18,More Sonny Madness
10,BREAK
11,Blitzkrieg Bop,The Ramones,ramones,Loco Live,1:45,Live in Spain
12,Snake Drive,North Mississippi Allstars,north-mississippi-allstars,World Boogie Is Coming,2:48,Featuring guitar scratchery
13,Do the Nothing (with Erol Alkan),Whitey,whitey,Great Shakes Volume 2,4:48,Whitey keeping it coming
14,Shake,The Phenomenal Hand Clap Band,phenomenal-hand-clap-band,Shake EP,4:26,Unusual groove
15,BREAK
16,I'll Haunt You,Tennis,tennis,Swimmer,2:32,Sweet Sunday music
17,The Best,The Muffs,muffs,No Holiday,1:18,"Missing you, Kim"
18,Speeding Motorcycle,Yo La Tengo,yo-la-tengo,Fakebook,3:24,Slow down
19,BREAK
20,Dark Green Water,Great Grandpa,great-grandpa,Four of Arrows,4:14,cf. Mates of State
21,Bamboo Forest,Mr. Elevator,mr-elevator,"Goodbye, Blue Sky",2:45,Pulsing organs
22,Terrible Angels,CocoRosie,cocorosie,La maison de mon r,4:10,Journey through the broken toy box
23,Burn 4 U,We Ragazzi,we-ragazzi,La maison de mon rêve,5:12,Que drama
24,BREAK
25,The Hunt,Olivia Jean,olivia-jean,Night Owl,2:26,Got swagger
26,Ballad Of Jim Jones,The Brian Jonestown Massacre,brian-jonestown-massacre,Thank God for Mental Illness,2:14,Folk music of a sorts
27,Reality Check,Schneider TM,schneider-tm,Zoomer,4:22,Check please
28,Disco Paradise,VHS Or Beta,vhs-or-beta,Le Funk,4:11,Mirrorball time
29,BREAK
30,Buenas Tardes Amigo,Ween,ween,Chocolate + Cheese,7:07,Cinco de Mayo’s on Tuesday
31,Perfect Gentleman,The Snitches,snitches,Star Witness,3:16,Featuring legendary seagulls
32,Bang On,The Breeders,breeders,Mountain Battles,2:03,Wobbly beat
33,Would you... ?,Plaster,plaster,First Aid Kit,4:17,Noisy art
34,BREAK
35,R*A*T*Step,The Rock*A*Teens,rock-a-teens,Cry,0:48,Let's hear it for reverb
36,In Flames,The Fauns ,fauns,Lights,3:16,Sounding very 4AD
37,Brainless,Deadbeats,deadbeats,"Los Angeles Post-Punk, Vol. 2",2:31,More LA weirdness
38,Do Ya'  Wanna Dance?,David Lindley & El Rayo-X,david-lindley-el-rayo-x,Very Greasy,3:53,Dooyoo dooyoo dooyoo
39,BREAK
40,Carmillas Of Love,Of Montreal,of-montreal,UR FUN,4:00,Audio slurry for thirsty ears
