sequence,song,artist,artist_slug,album,time,notes
1,Odelia,Black Lips,black-lips,Sing In A World That's Falling Apart,2:22,Woke up singing this
2,She All Right,Dr. Frank,dr-frank,Show Business Is My Life,1:20,"So short, so sweet"
3,Down Down Down,The Muffs,muffs,No Holiday,1:33,Go out swinging
4,BREAK
5,Need Your Love,Tennis,tennis,Swimmer,3:51,Bring the yacht around
6,Tune Out,The Growlers,growlers,Natural Affair,4:07,Ghosts of the Hollies
7,Alone Together,Mr. Elevator,mr-elevator,"Goodbye, Blue Sky",3:39,Gimme 5
8,I Want You Back,Thee Shams,thee-shams,Sign the Line,2:41,A plaintive call
9,BREAK
10,Aviator,Funkineven,funkineven,,4:47,Filter sweeps and LFOs
11,Lip Up Fatty,Tim Timebomb,tim-timebomb,,2:47,Bad Manners!
12,Ah!,Linnea Olsson,linnea-olsson,,3:26,"Ex-Isildur's Bane, you Tolikien nerds"
13,So It Goes,Nick Lowe,nick-lowe,,2:32,Still nobody knows
14,BREAK
15,Only In a Man's World,Field Music,field-music,Making a New World,2:46,At their talking headiest
16,Rub Alcohol Blues,The Fiery Furnaces,fiery-furnaces,Gallowsbird's Bark,2:04,Back to the weird times
17,In The Evening (It's Hard To Tell Who's Going To Love You The Best),Karen Dalton,karen-dalton,The Record Shop-30 Years Of Rough Trade Shops,4:31,Haunted voice
18,Waiting for My Baby,The Obscuritones,obscuritones,Don't Stop Her!,2:43,olskool
19,BREAK
20,Célaphine,Daddy Long Legs,daddy-long-legs,Lowdown Ways,3:12,Is it spicy enough?
21,Lou Barlow,The Get Up Kids,get-up-kids,Problems,2:18,Kinda famous
22,Mahalageasca (Bucovina Dub),Mahala Rai Banda,mahala-rai-banda,Electric Gypsyland 2,4:19,Pure paprika
23,Vexamao,Pele & Elis Regina,pele-elis-regina,,2:17,What are they talking about?
24,BREAK
25,Fisher Price,Creedle,creedle,,5:16,There was an album called Silent Weapons for Quiet Wars
26,Quiet Wars,The Capstan Shafts,capstan-shafts,,2:19,The ever-prolific Shafts
27,Front Row (Daniel Clarke Remix),Metric,metric,,3:33,A nicely done resparsing
28,Causing a Rainbow,Moon Duo,moon-duo,,4:07,Thank you Charley!
29,BREAK
30,Big,Fontaines D.C.,fontaines-d-c,Dogrel,1:46,Gotta be big
31,Tombes Oubliées,The Brian Jonestown Massacre,brian-jonestown-massacre,The Brian Jonestown Massacre,4:29,Your partial Velvets
32,What If You Knew,Karl Denson's Tiny Universe,karl-denson-s-tiny-universe,KDTU - 2019 - Gnomes & Badgers,4:41,Super saucy
33,American Food Chain,The Free Radicals,free-radicals,Outside The Comfort Zone,1:09,Very very honky
34,BREAK
35,Moving Target,The Wild Reeds,wild-reeds,Cheers,3:04,Happy soundings
36,Daytripper,Pom Poko,pom-poko,Birthday,2:40,I can hear the Beatles influence
37,Dun Dun,Los Amigos Invisibles,los-amigos-invisibles,Super Pop Venezuela,2:54,Some much-needed tropical
38,Rex's Blues,Entrance,entrance,Wandering Stranger,3:10,Tragic
39,BREAK
40,Don't Go,Amir Alexander,amir-alexander,,7:14,Old skool
