sequence,song,artist,artist_slug,album,time,notes
1,Cash Money,Cornershop,cornershop,England is a Garden,5:19,Good just about everywhere
2,Prisencolinensinaiciusol,Adriano Celentano,adriano-celentano,,3:17,Same old gibberish
3,It's All Gone Wrong,Clifffs,clifffs,Panic Attack,1:14,A true blur
4,You or Me,The Frights,frights,You Are Going to Hate This,1:29,Tough choice
5,BREAK
6,The Juice (feat. Marcus King),G. Love & Special Sauce,g-love-special-sauce,The Juice,3:07,Clearly strutting
7,Chocochip,Money Mark,money-mark,Change Is Coming,2:31,Your favorite flavor
8,Kicking Television,Ohmme,ohmme,Wilco Covered (Uncut November 2019),3:49,I’m working on my abs
9,Ain't Comin' Home,Pokey Lafarge,pokey-lafarge,Rock Bottom Rhapsody,2:58,No horse required
10,BREAK
11,Brushfire,Olivia Jean,olivia-jean,Night Owl,3:14,Sixties dreaming
12,Laura Lee,Patchworks,patchworks,,4:14,Feeling relaxed
13,You Need Me,Nathaniel Rateliff,nathaniel-rateliff,And It’s Still Alright,3:30,Somewhat topical
14,You Amaze Me,Margaret Glaspy,margaret-glaspy,Devotion,2:14,Eencrebibol
15,BREAK
16,Self-Made Man,Cable Ties,cable-ties,Far Enough,3:44,Some assembly required
17,Calculator,Micachu & The Shapes,micachu-shapes,,3:09,It adds up
18,If It Had A Body,Gothic Tropic,gothic-tropic,Fast Or Feast,1:36,The posse rides again
19,MTTT Pt. 1,Antibalas,antibalas,,7:20,Mother talker tick tock
20,BREAK
21,Walk Don't Run,Acid Tongue,acid-tongue,,3:10,Trotting is allowed
22,Dear Life,Brendan Benson,brendan-benson,Dear Life,3:19,A mood elevator
23,Heaven's Nail and Hammer,M. Ward,m-ward,Migration Stories,4:42,By starlight
24,BREAK
25,The Heart of It All,Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),4:52,Very essential
26,Amor Platonico,Jovenes Y Sexys,jovenes-y-sexys,,2:50,Forbidden fruit
27,Black trombone (Avec intro),"Serge Gainsbourg, Alain Goraguer",serge-gainsbourg-alain-goraguer,En studio avec Serge Gainsbourg,2:44,Tres chillaxe
28,Fearless,Pink Floyd,pink-floyd,,6:08,Dream flight
29,BREAK
30,Look Alive,The Stroppies,stroppies,Look Alive,3:45,Charming introduction
31,Follow Me,Shopping,shopping,All Or Nothing,3:08,Threatening
32,Stinger,Possible Humans,possible-humans,Everybody Split,3:54,Very Sex Clark Five
33,BREAK
34,Todo el Día en La Cama,Cheo,cheo,Sorpresa,4:17,Lazy bed time
35,Daddy,Binder + Krieglstein,binder-krieglstein,,3:41,Balkan ska
36,Smash & Grab,Jungle Fire,jungle-fire,Jungle Fire,3:16,Hot crimes
37,Wack Wack,The Young-Holt Trio,young-holt-trio,,2:59,Absolutely not wack
38,BREAK
39,New Home,Jonathan Wilson,jonathan-wilson,Dixie Blur,3:46,Stay til the end
40,Breathin',Asylum Street Spankers,asylum-street-spankers,,3:01,Don’t even think about it
41,What You Need,Westbound Train,westbound-train,,3:21,Soul shaking
42,BREAK
43,In The Future,Sparks,sparks,Past Tense (The Best Of Sparks) (Disc 1),2:13,Looking forward
44,Up And Up,Konrad,konrad,Artbreak,4:32,Off the grid
45,Tonight,Koop,koop,,2:55,In five time
46,Vyoch Tyoch Tyoch,The Barry Sisters,barry-sisters,,3:08,Timeless
47,BREAK
48,Silver Cloud,The Cells,cells,,2:42,Hat tip to Warhol
49,Mermaid Song,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,3:16,Underwater narrative
50,Paper Birds,Siberian,siberian,,4:02,That particular drama
51,BREAK
52,Spiritual Dub,Mad Professor,mad-professor,Ariwa 2019 Riddim & Dub Series,3:12,Dub finale
53,Lunar Surf Graveyard,The Brian Jonestown Massacre,brian-jonestown-massacre,Third World Pyramid,3:42,Space gnarl
54,Cosmic Slop,Material,material,The Third Power,5:18,Back to the disco
55,BREAK
56,RK1,The Terrorist,terrorist,"Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore",6:26,All the way back
