sequence,song,artist,artist_slug,album,time,notes
1,Dedication,Born Ruffians,born-ruffians,JUICE,2:44,Especially for you
2,Ivanka,Imperial Teen,imperial-teen,,3:16,Who knows
3,Shadow Boy,Scruffy The Cat,scruffy-cat,,3:10,Charlie Chesterman was an American treasure
4,Tender as a Tomb,Tennis,tennis,Swimmer,2:43,Gentle mutterings
5,BREAK
6,Sadie,Joanna Newsom,joanna-newsom,,6:02,Spooky voice and a harp
7,Big Fat Cigar,Sleepyhead,sleepyhead,,4:20,Juxtapop
8,My Own Sake,Holly Golightly,holly-golightly,,2:19,Like Marcellus Hall but not
9,BREAK
10,Computer (Featuring Princess Superstar),Arling + Cameron,arling-cameron,Hi Fi Underground,3:56,Featuring Princess Superstar
11,Lipstick Vogue,Elvis Costello,elvis-costello,My Aim Is True (Deluxe Edition),3:31,Hail the Thomas brothers
12,Capitol City,The Handsome Family,handsome-family,Wilco Covered (Uncut November 2019),4:39,Originally by Wilco
13,My Body's Made of Crushed Little Stars,Mitski,mitski,Puberty 2,1:57,Collapsing neutrons
14,BREAK
15,Konichiwa Internet,Disq,disq,Collector,3:12,Changing pace
16,Victoria,The Fall,fall,,2:46,Via the Kinks
17,Misunderstood,Habibi,habibi,Anywhere But Here,2:16,Quite Cub-like
18,All I Need,The Frights,frights,You Are Going to Hate This,2:54,Fuzz attaqq
19,BREAK
20,Busy Mama,The Obscuritones,obscuritones,Don't Stop Her!,3:13,Newfangled oldfashioned
21,Lo Que Digan De Mi,Mutagénicos,mutagenicos,3,2:40,More skating through time
22,Juicy (On a Cadillac),Brainiac,brainiac,Bonsai Superstar,2:28,Gimme the frantic squeegee
23,Uphill Spectre,Animal,animal,,2:03,Very motoric
24,BREAK
25,Mary Magazine,Jade Hairpins,jade-hairpins,Harmony Avenue,3:06,Disjointed itinerary
26,The Way You Look Tonight,The Future Kings of Nowhere,future-kings-of-nowhere,Pirates,3:08,A somewhat manic take
27,The Good Old Summer Time,Noonday Underground,noonday-underground,,1:33,On the swing set
28,Become a Mountain,Dan Deacon,dan-deacon,Mystic Familiar,4:05,Sequential diffraction
29,BREAK
30,Fluorescent,Double Date with Death,double-date-with-death,L'Au-Delà,4:44,Off to a wild start
31,Fire,Mikal Cronin,mikal-cronin,Seeker,4:36,The Western approach
32,One Angry Dwarf and 200 Solemn Faces,Ben Folds Five,ben-folds-five,Whatever and Ever Amen,3:53,A tale of epic proportions
33,BREAK
34,Make Love A Star,The Poison Control Center,poison-control-center,,2:25,Phonetically similar to “Mike Love Not War”
35,Make My Way,The Mooney Suzuki,mooney-suzuki,,2:56,Loud and sweaty
36,Proofs,Mates Of State,mates-of-state,,2:15,From the SImple Mental Math compilation
37,The Wind Cries Mary,The Bobs,bobs,,4:19,One of my fave Jimi songs
38,BREAK
39,I Said (Michael Woods Remix) (feat. Chris Lake),Deadmau5,deadmau5,,5:52,Heavy on the beat
