sequence,song,artist,artist_slug,album,time,notes
1,Jaan Pehechaan Ho,Olivia Jean,olivia-jean,Night Owl,4:11,cf. Ghost World
2,Angel Eyes,Habibi,habibi,Anywhere But Here,4:44,Retromatic
3,Jack The Ripper,Zach Uncles,zach-uncles,"Guitar Rebel, A Tribute to Link Wray",3:48,Originally by Link Wray
4,Wave Of Mutilation,Superdrag,superdrag,Where Is My Mind?,2:09,Drove my car into the ocean
5,BREAK
6,Highest High,Taken By Trees,taken-by-trees,Other Worlds,3:25,Someone likes Mazzy Star
7,Lily,Benjamin Gibbard,benjamin-gibbard,Former Lives,2:01,That unmistakable voice
8,Más!,Mexican Institute of Sound,mexican-institute-of-sound,Político,3:30,Can't get enough!
9,Elephant,Tame Impala,tame-impala,Lonerism,3:31,Fitting for that stompy fuzzy bottom end
10,BREAK
11,Aulon Raid,The Mountain Goats,mountain-goats,Songs for Pierre Chuvin,2:14,Savage times
12,Stay With Me,Margaret Glaspy,margaret-glaspy,Devotion,3:38,Sweet and smoky
13,Oxbow,Waxahatchee,waxahatchee,Saint Cloud,2:53,Stately pace
14,Wasurenai Wa,Baby Shakes,baby-shakes,Cause a Scene,2:43,Fast rewind
15,BREAK
16,Futureworld,Trans Am,trans-am,Futureworld,7:02,By belated request
17,NYC,Drink Me,drink-me,Hello Recording Club March 1994,2:23,Nasal and from across the bridge
18,Death By Discotheque,The Burning Of Rome,burning-of-rome,Death-Pop,3:25,The height of weirdness
19,BREAK
20,Shine On Moon (feat. Keb' Mo'),G. Love & Special Sauce,g-love-special-sauce,The Juice,3:23,For the librarians
21,We Will Become Silhouettes,The Postal Service,postal-service,,5:01,Remembering exactly when
22,St. Marie Under Canon,Cornershop,cornershop,England is a Garden,4:12,Sounding hopeful
23,Young Americans,David Bowie,david-bowie,Young Americans [2016 Reissue],5:14,Vocal arrangement by Luther Vandross
24,BREAK
25,Proceed to Memory,Pinback,pinback,Information Retrieved,3:51,"Waiting waiting, finally"
26,Stoney Street,Amon Tobin,amon-tobin,Bricolage,5:53,Assembled in Brazil
27,My Better Self,Tennis,tennis,Young And Old,3:45,So lovely and unfindable
28,BREAK
29,Idiosyncrasy,Peter Bjorn and John,peter-bjorn-john,Endless Dream,2:49,Stilted riffing
30,Truly,The Growlers,growlers,Natural Affair,3:00,An unveiling
31,It's Almost A Trap,Architecture In Helsinki,architecture-in-helsinki,Kindling EP,2:22,Hide in the cupboard
32,Afraid of the Dark,The Frights,frights,You Are Going to Hate This,3:07,Nervous fun
33,BREAK
34,Labrador,Waax,waax,Big Grief,3:42,You were right
35,Hotter Colder,This Is The Kit,this-is-kit,Moonshine Freeze,3:58,Unbalanced measures
36,Fighting Trousers,Professor Elemental,professor-elemental,The Indifference Engine,3:04,Not my time-traveling trousers
37,BREAK
38,Deep Shit Parts 1 + 2,Kruder + Dorfmeister,kruder-dorfmeister,The G-Stone Book,6:17,The deepest
