sequence,song,artist,artist_slug,album,time,notes
1,Digger,Great Grandpa,great-grandpa,Four of Arrows,4:55,Wistful harmonies
2,Dakota,The Wrens,wrens,Silver,3:09,Distant lands
3,Natural Disasters,Enon,enon,,2:50,No need to feel awkward
4,BREAK
5,Pleasure,Allah-Las,allah-las,LAHS,4:23,A pleasure to speak with you
6,El Niño Bonito,Funky Butt Brass Band,funky-butt-brass-band,Onward,5:25,Mardi Gras spirit
7,My Girl,Joe Pastrana & His Orchestra,joe-pastrana-his-orchestra,New York Barrio Grooves 1966-1972,5:05,Latino groove
8,El Manicero,Preservation Hall Jazz Band,preservation-hall-jazz-band,A Tuba To Cuba,3:52,Traditionally speaking
9,BREAK
10,Better Times,Beach House,beach-house,,4:23,Wistful Scandinavia
11,Dust Devil,Madness,madness,,3:44,Don’t call it a comeback
12,Miles From Minnesota,Lower 48,lower-48,,3:10,"About 1300, to be exact"
13,BREAK
14,THC,Melkbelly,melkbelly,PITH,4:55,Almost awkward
15,Post Animal,Post Animal,post-animal,Forward Motion Godyssey,4:04,Nigh unstoppable
16,Body Clock,Shopping,shopping,All Or Nothing,2:21,Tick tocking
17,Don't Stop Her,The Obscuritones,obscuritones,Don't Stop Her!,2:35,Retro whiplash
18,BREAK
19,The Organ Grinder's Swing,The Incredible Jimmy Smith,incredible-jimmy-smith,Organ Grinder Swing,2:16,Grinding
20,The Magic Number,De La Soul,de-la-soul,3 Feet High and Rising,3:16,Bringing it back
21,Running Donkey,The Royal Fingers,royal-fingers,Wild Eleki Deluxe,1:59,Japanese cowboy action
22,The Taker Story,Chicano Batman,chicano-batman,Freedom Is Free,5:28,Updated pusherman
23,BREAK
24,Weekend,Peter Bjorn and John,peter-bjorn-john,Endless Dream,3:40,Discrete plucking
25,Good Night,Dry Cleaning,dry-cleaning,Sweet Princess,2:42,Fixing the narrative
26,Sylvia,Mr. Elevator,mr-elevator,"Goodbye, Blue Sky",2:35,On a journey
27,Hot Tonite,His Name Is Alive,his-name-is-alive,Livonia,3:08,Keep it cool
28,BREAK
29,The Passenger,Iggy Pop,iggy-pop,,4:43,Always a classic
30,Walking in Your Footsteps,The Police,police,,3:37,"Yeah, Synchronicity"
31,Safety Pants,Scout Niblett,scout-niblett,,3:13,"Chant along, everyone"
32,BREAK
33,BBC News,Cory Wong,cory-wong,Elevator Music for an Elevated Mood,3:07,Funketeer
34,Stars For Anyone,The Boneless Children Foundation,boneless-children-foundation,Stars For Anyone,3:21,Such a band name
35,Certain Men,Negativland,negativland,True False,5:00,For the modern age
36,BREAK
37,Lo Decidi Yo,Juana Molina,juana-molina,Wed 21,4:06,Repeats and missed beats
