sequence,song,artist,artist_slug,album,time,notes
1,Walk Don't Run,Acid Tongue,acid-tongue,,3:10,Trotting is allowed
2,Dear Life,Brendan Benson,brendan-benson,Dear Life,3:19,A mood elevator
3,Heaven's Nail and Hammer,M. Ward,m-ward,Migration Stories,4:42,By starlight
4,BREAK
5,My Robot,Looper,looper,,3:36,Operational at last
6,Tijuana Bass,Nortec Collective,nortec-collective,,2:59,Pumping for the man
7,Noise Explosion,The Basement Scene,basement-scene,,4:16,In waltz time!
8,BREAK
9,Silver Cloud,The Cells,cells,,2:42,Hat tip to Warhol
10,Mermaid Song,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,3:16,Underwater narrative
11,Paper Birds,Siberian,siberian,,4:02,That particular drama
12,BREAK
13,Hey Cuz,Afghan Whigs,afghan-whigs,Up In It,3:49,How’s it hanging
14,Fish Or Cut Bait,Flour,flour,Luv 713,3:10,A hard decision
15,The Book,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Sketches Of Brunswick East,4:59,Wandering meander
16,BREAK
17,Brushfire,Olivia Jean,olivia-jean,Night Owl,3:14,Sixties dreaming
18,Laura Lee,Patchworks,patchworks,,4:14,Feeling relaxed
19,You Need Me,Nathaniel Rateliff,nathaniel-rateliff,And It’s Still Alright,3:30,Somewhat topical
20,You Amaze Me,Margaret Glaspy,margaret-glaspy,Devotion,2:14,Eencrebibol
21,BREAK
22,N.O.W.,MC Paul Barman,mc-paul-barman,,3:36,Her WFMU shirt looked like WU FM
23,A Quick One (Pete Townsend's Christmas),Billy Childish,billy-childish,,3:00,I’m spending my Xmas with Billy.
24,Skin And Bone,Heartless Bastards,heartless-bastards,,4:00,Love that growl
25,Little District (Acoustic Version),Sublime,sublime,,1:57,Sweet and short
26,BREAK
27,Todo el Día en La Cama,Cheo,cheo,Sorpresa,4:17,Lazy bed time
28,Daddy,Binder + Krieglstein,binder-krieglstein,,3:41,Balkan ska
29,Smash & Grab,Jungle Fire,jungle-fire,Jungle Fire,3:16,Hot crimes
30,Wack Wack,The Young-Holt Trio,young-holt-trio,,2:59,Absolutely not wack
31,BREAK
32,Bam B-B-Bam Bam Bam,Junior Varsity,junior-varsity,,1:45,There was a dancing bear
33,Oh Oh Oh Oh Oh Oh Oh Oh,Say Hi,say-hi,,2:56,So redundant
34,Radio Down! (featuring Biz Markie),Aquabats,aquabats,,3:32,Nice Billy Idol reference
35,Hush Pup,Luigee Trademarq,luigee-trademarq,,3:23,Some French adult film music to heat up the evening
36,BREAK
37,Thou Shalt Always Kill,Dan Le Sac vs. Scroobius Pip,dan-le-sac-vs-scroobius-pip,,5:17,Thou shalt not question Stephen Fry
