sequence,song,artist,artist_slug,album,time,notes
1,Carnaval,Cheo,cheo,Sorpresa,4:03,Tropical feels
2,Oh My God,Ida Maria,ida-maria,Fortress 'round My Heart,3:17,Very very urgent
3,Greyhound,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,4:04,Accelerando
4,Hooker Jon,Black Lips,black-lips,Sing In A World That's Falling Apart,3:53,Hootin’ and whoopin’
5,BREAK
6,Blue Bonnet Rag,Speedy West + Jimmy Bryant,speedy-west-jimmy-bryant,There's Gonna Be a Party...,2:33,Now that’s metal.
7,Broadway Jungle,The Maytals,maytals,The Reggae Box (Disc 1),2:50,Let’s get back to roots
8,Westward Rider,Rube Waddell,rube-waddell,Hobo Train,2:29,Hobo noise
9,BREAK
10,Master Of My Own Mind,Best Coast,best-coast,Always Tomorrow,3:17,Straight ahead
11,My Moon My Man,Feist,feist,The Reminder,3:48,Steady beat
12,Bye Bye,The Blue Rags,blue-rags,Eat at Joe's,3:31,Shuffle through
13,BREAK
14,Welcome to Nola (Feat. Papa Mali),The New Mastersounds,new-mastersounds,Out On the Faultline,3:57,What's it like in New Orleans?
15,Electricity (Dr. Rockits Dirty Kiss),The Avalanches,avalanches,Electricity [EP],6:51,"Hey, is there a new one?"
16,Sanctuary,Young Magic,young-magic,Melt,3:26,Makes me melt
17,BREAK
18,Human Condition,Great Grandpa,great-grandpa,Four of Arrows,3:48,Highly dynamic
19,Dawned On Me,Courtney Barnett,courtney-barnett,Wilco Covered (Uncut November 2019),2:57,Originally by Wilco
20,The Story of One Chord,Mojo Nixon,mojo-nixon,The Mojo Manifesto,3:50,All the music history you need
21,Dub on Camera,"Mad Professor, Gaudi, Macka B",mad-professor-gaudi-macka-b,Mad Professor Meets Gaudi,3:49,Silently nods
22,BREAK
23,Limousine,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten By Moskus,5:38,Long and stretched out
24,Hawaii Bikini Inspector (Featuring Laszlo Loco),Monsieur LeRoc,monsieur-leroc,Oh La La,3:11,Where do I apply?
25,Escape,Moon Duo,moon-duo,Escape,6:23,Nothing but drone
26,BREAK
27,Just for Today,Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),2:33,In the moment
28,Echoes,Tennis,tennis,Swimmer,3:24,Back and forth
29,Alabaster,The Wood Brothers,wood-brothers,Kingdom in My Mind,4:15,A slow drawl
30,Somebody To Love,Queen,queen,A Day at the Races,4:58,Heavenly chorus
31,BREAK
32,Initiative,Shopping,shopping,All Or Nothing,2:48,Meet the new gang
33,Sexyactioncool,Atomic 7,atomic-7,,1:34,Tooshortbutwayfun
34,A Ghost,Greg Dulli,greg-dulli,Random Desire,2:42,Grim understatement
35,BREAK
36,Martin Rev,Maserati,maserati,Maserati VII,8:16,"It’s Suicide, I tell you"
