sequence,song,artist,artist_slug,album,time,notes
1,The Juice (feat. Marcus King),G. Love & Special Sauce,g-love-special-sauce,The Juice,3:07,Clearly strutting
2,Chocochip,Money Mark,money-mark,Change Is Coming,2:31,Your favorite flavor
3,Kicking Television,Ohmme,ohmme,Wilco Covered (Uncut November 2019),3:49,I’m working on my abs
4,Ain't Comin' Home,Pokey Lafarge,pokey-lafarge,Rock Bottom Rhapsody,2:58,No horse required
5,BREAK
6,Mike Love Not War,Oranger,oranger,,4:19,From Doorway to Norway
7,Hectified,Jason Falkner,jason-falkner,,2:57,Solofied
8,Sugar Man,Rodriguez,rodriguez,,3:48,Back from 1970
9,Make Some Time,Black Diamond Heavies,black-diamond-heavies,,3:31,More of that swampy stuff
10,BREAK
11,In The Future,Sparks,sparks,Past Tense (The Best Of Sparks) (Disc 1),2:13,Looking forward
12,Up And Up,Konrad,konrad,Artbreak,4:32,Off the grid
13,Tonight,Koop,koop,,2:55,In five time
14,Vyoch Tyoch Tyoch,The Barry Sisters,barry-sisters,,3:08,Timeless
15,BREAK
16,Effluxion,Telekinesis,telekinesis,Effluxion,3:33,Fills out nicely
17,Piano,French Kicks,french-kicks,Young Lawyer,2:58,Oddly gaited
18,Honey Come Closer,Push Kings,push-kings,Feel No Fade,5:14,American music
19,BREAK
20,Self-Made Man,Cable Ties,cable-ties,Far Enough,3:44,Some assembly required
21,Calculator,Micachu & The Shapes,micachu-shapes,,3:09,It adds up
22,If It Had A Body,Gothic Tropic,gothic-tropic,Fast Or Feast,1:36,The posse rides again
23,MTTT Pt. 1,Antibalas,antibalas,,7:20,Mother talker tick tock
24,BREAK
25,Who'll Pay The Bills?,Field Music,field-music,Plumb,2:21,Eenteresting
26,King Kong,King Kong,king-kong,,4:10,It’s in your head now
27,This Girl Taught Me a Dance,The Strange Boys,strange-boys,,3:06,Sneering right atcha
28,Fatherless,Rocket Juice & The Moon,rocket-juice-moon,,3:00,Putting the super in supergroup
29,BREAK
30,Spiritual Dub,Mad Professor,mad-professor,Ariwa 2019 Riddim & Dub Series,3:12,Dub finale
31,Lunar Surf Graveyard,The Brian Jonestown Massacre,brian-jonestown-massacre,Third World Pyramid,3:42,Space gnarl
32,Cosmic Slop,Material,material,The Third Power,5:18,Back to the disco
33,BREAK
34,Sessomatto,Armando Trovajoli,armando-trovajoli,Easy Tempo 1,3:23,Very provocative
35,Mona Ki Ngi Xica,Bonga,bonga,,5:01,From Angola
36,Long Shot,The Pioneers,pioneers,The Reggae Box (Disc 1),2:45,The seed of a sound
37,Fantasy Friend Forever,The Asteroids Galaxy Tour,asteroids-galaxy-tour,,3:15,Hyperfrantic!
38,BREAK
39,RK1,The Terrorist,terrorist,"Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore",6:26,All the way back
