sequence,song,artist,artist_slug,album,time,notes
1,Trou noir,Double Date with Death,double-date-with-death,L'Au-Delà,1:53,Le garage
2,Impossible Germany,Jen Cloher,jen-cloher,Wilco Covered (Uncut November 2019),4:23,Originally by WIlco
3,Have You Seen Jackie?,The Dukes Of Stratosphear,dukes-of-stratosphear,Psurroundabout Ride,3:21,Retrodelic popnobbery
4,(I Can't Get No) Satisfaction,Devo,devo,Pioneers Who Got Scalped: The Anthology (Disc 1),2:41,Moves like Jagger
5,BREAK
6,Hi-Line,Heartless Bastards,heartless-bastards,,4:48,The sound of dust and home
7,Spanish Armada,Ratatat,ratatat,,2:59,Bearing treasure and more
8,I'm Gonna Run,The Fiery Furnaces,fiery-furnaces,,2:24,Early FF
9,BREAK
10,Undone,Clifffs,clifffs,Panic Attack,2:01,Bass menace
11,Ditch,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,2:35,Diggin it
12,Again And So On,Kinky,kinky,Reina,2:40,Que fonki
13,Party Started,The Cat Empire,cat-empire,Two Shoes,3:48,All the way to Australia
14,BREAK
15,Ngayishela Yavuma,Dilika,dilika,Homeland,3:02,South African for sure
16,Ladaney (Woman's Name),Dur-Dur Band,dur-dur-band,Mogadisco - Dancing Mogadishu (Somalia 1972-1991),5:06,Onward to East Africa
17,Brazzaville,Stewart Copeland,stewart-copeland,The Rhythmatist,4:12,Chanting to start
18,BREAK
19,Wonder Girl,Sparks,sparks,Past Tense (The Best Of Sparks) (Disc 1),2:19,A sparkling sound
20,How It Should Be (Sha Sha),Ben Kweller,ben-kweller,EP Phone Home,1:49,That’s right
21,20th Century Schizofriendic Revengoid-man,Of Montreal,of-montreal,UR FUN,3:23,Not King Crimson
22,BREAK
23,Song For The Pied Piper,Sleepyhead,sleepyhead,,3:56,Cinematic styling
24,Monkey Gone to Heaven,Pixies,pixies,,2:56,Ten million pounds of sludge from NY and NJ
25,Ha Di Ka,Galactic,galactic,,3:29,In honor of Fat Tuesday
26,Who Invented the Sun,Guided By Voices,guided-by-voices,,1:22,Brief and spooky
27,BREAK
28,Jimmy's Off,Nevada Bachelors,nevada-bachelors,Carrots & So On,3:25,Names have been changed
29,Sunday Driver,The Rebel Set,rebel-set,Smidgen Pigeon,2:34,Every day of the week
30,Da Funk,Daft Punk,daft-punk,Homework,5:30,Enjoy the video
31,BREAK
32,I Am The Cosmos,This Mortal Coil,this-mortal-coil,Blood (Remastered),4:06,Originally by Big Star
33,Hallelujah Strike Gold,White Denim,white-denim,Side Effects,3:18,In five
34,Slaughter on 10th Avenue,Socalled,socalled,Ghettoblaster,2:13,Slowing down
35,Spectral Dawn,John Vanderslice,john-vanderslice,The Cedars,5:09,It’s an eerie quest
36,BREAK
37,A Processional For Keith Emerson / Look Now,Home,home,18,7:16,No kidding
