sequence,song,artist,artist_slug,album,time,notes
1,Can't Do Much,Waxahatchee,waxahatchee,Saint Cloud,3:44,Country jangle
2,Nuthin To Lose,The Giraffes,giraffes,,2:34,Featuring Chris Ballew
3,Deliberate Self-harm Ha Ha,Of Montreal,of-montreal,UR FUN,4:20,Low key dance floor
4,DJ Special,King Sporty,king-sporty,Soul Jazz Records presents Studio One DJ Party,2:52,A strange interlude
5,BREAK
6,Dishonest Men,Black Lips,black-lips,Sing In A World That's Falling Apart,3:23,Staggering through
7,I'd Like That,XTC,xtc,Apple Venus Volume 1,3:50,Quite Beatlesque
8,OK Apartment,The Oranges Band,oranges-band,Two Thousands,3:12,High rise apartment buildings
9,Alright,Supergrass,supergrass,I Should Coco,3:01,Lovely lads
10,BREAK
11,Working Holiday,The Coctails,coctails,,3:56,Lovely vibrations
12,Winter Vacation,The Subjects,subjects,,3:41,A lovely winter sweater of a song
13,Meyrin Fields,Broken Bells,broken-bells,,2:48,"Mindtrippery, I tell you"
14,Gogol Bordello vs. Tamir Muskat: East Mish of The Bride,J.U.F.,j-u-f,,4:53,"Hit it, Hutz"
15,BREAK
16,Batucada,Walter Wanderley,walter-wanderley,,2:09,Master of the Bossa Nova organ
17,Yosemite Theme,The Go! Team,go-team,,4:10,Strange brew indeed
18,Tijuana Taxi,Herb Alpert,herb-alpert,,2:07,Honk!
19,Don't Try to Fool Me,Miss Li,miss-li,,3:42,The extended version
20,BREAK
21,Farewell,Home,home,18,5:42,Please don’t go
22,No Holiday,The Muffs,muffs,No Holiday,2:27,A winsome grin
23,I Got Drugs (At The End Of The Century),Parquet Courts,parquet-courts,Wilco Covered (Uncut November 2019),4:46,Stand by for technical issues
24,BREAK
25,My Purple I,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,2:21,Worble the twist
26,Best Kept Garden,Field Music,field-music,Making a New World,2:54,Unsettled rhythm
27,Hold Me Up,Secret Colours,secret-colours,Dream Dream,2:30,Hot boulders
28,Dear Leader,Little Scream,little-scream,Speed Queen,5:24,Let’s get political
29,BREAK
30,Social Man,The Growlers,growlers,Natural Affair,3:29,Swagger disco
31,Mystery Hour,Pavo Pavo,pavo-pavo,Mystery Hour,3:39,Slow growth
32,Am I Ever Gonna See Your Face Again,Baby Shakes,baby-shakes,Cause a Scene,3:01,Good ole rock
33,BREAK
34,Subterranean Exodus (Panda Dub remix),Atili,atili,Horizons,3:05,Slow wobble
35,Hab Isii  (Hug Me),Omar Shooli,omar-shooli,Mogadisco - Dancing Mogadishu (Somalia 1972-1991),5:36,Somalian sizzle
36,Bucovina (OMFO Dub),Shantel,shantel,Shantology // The Bucovina Club Years,4:43,Sad and lonely
37,BREAK
38,La Guitaristic House Organisation,Rinôçerôse,rinocerose,Installation sonore,7:09,Reusable components FTW
