sequence,song,artist,artist_slug,album,time,notes
1,Bang Go The Bongos,Bananagun,bananagun,The True Story of Bananagun,3:25,Mayhem in the jungle
2,Haberdashery,Stop Calling Me Frank,stop-calling-me-frank,Haberdashed,4:09,Get your hankies
3,Coconut,Ty Segall,ty-segall,Segall Smeagol,3:32,Not what you expected
4,Never Get Ahead,Bobby Conn,bobby-conn,,3:54,Talk about The Man
5,BREAK
6,I Can't Stand My Baby,The Rezillos,rezillos,The Record Shop-30 Years Of Rough Trade Shops,2:39,Love at first hate
7,Big Foot,Messer Chups,messer-chups,Taste the Blood of Guitaracula,3:00,Stomping around
8,Sandcastles,Cable Ties,cable-ties,Far Enough,4:18,Nervous energy
9,Portrait,Home,home,18,3:47,Subtle washes
10,BREAK
11,J Terrapin,Jade Hairpins,jade-hairpins,Harmony Avenue,2:02,Tripping through the kaleidoscope factory
12,It Must Be True,The Washdown,washdown,,2:37,Speeding through the lights
13,Follow The Witch,Acid Tongue,acid-tongue,Bullies,2:43,But not too closely
14,Insomnia,Drink Me,drink-me,,3:17,Scrape the Fanta
15,BREAK
16,Hard to Explain,Coriky,coriky,Coriky,3:03,Unmistakable
17,The Man Who Sold The World,David Bowie,david-bowie,ChangesNowBowie,4:02,A sad tale
18,Leaf Miner,Flying Vipers,flying-vipers,Cuttings,3:01,Deep sounds
19,Pelota,Khruangbin,khruangbin,Pelota,2:48,Snakey rhythms
20,BREAK
21,W-2,2nd Grade,2nd-grade,Hit to Hit,1:01,Tax time!
22,Lawnmower,Sparks,sparks,"A Steady Drip, Drip, Drip",3:39,Suburban turban
23,"Gimme, Gimme, Gimme",Ben Vaughn Combo,ben-vaughn-combo,,2:27,Someone has needs
24,This Is It,House of Freaks,house-of-freaks,Cakewalk,2:59,The sound of motivation
25,BREAK
26,Simple Song of Sin,Peter Bjorn and John,peter-bjorn-john,Endless Dream,5:10,Stop and start
27,Dark Clouds,Clifffs,clifffs,Panic Attack,1:18,Moving fast across the sky
28,Losing My Edge,LCD Soundsystem,lcd-soundsystem,The Record Shop-30 Years Of Rough Trade Shops,7:54,I was there
29,Magic of Meghan,Dry Cleaning,dry-cleaning,Sweet Princess,3:56,Quite disaffected
30,BREAK
31,Life In Vain,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,3:26,That charming squawk
32,Come My Habibi,Habibi,habibi,Anywhere But Here,4:30,A hypnotic come-hither
33,Do The Standing Still,The Dismemberment Plan,dismemberment-plan,,2:01,Frantic… or spastic?
34,Do You Think,The Needs ,needs,You Need The Needs ,1:54,Sweet candy punk fuzz
35,BREAK
36,Squeaky,Born Ruffians,born-ruffians,JUICE,4:37,Staggering time
37,Shoot For The Moon,Wolf & Moon,wolf-moon,Before It Gets Dark,3:07,Abstract shimmering sounds
38,Until Olympius Returns,The Mountain Goats,mountain-goats,Songs for Pierre Chuvin,2:13,All hail the mysterious gap
39,Mega Guillotine 2020,AJJ,ajj,,2:01,The device we need now
40,BREAK
41,All or Nothing,Shopping,shopping,All Or Nothing,3:15,The clock is ticking
42,Slingshot,Cornershop,cornershop,England is a Garden,5:15,"Hello, meandering flute"
43,Hollywood,Car Seat Headrest,car-seat-headrest,Making a Door Less Open,3:23,The end of it all
44,BREAK
45,Siren Call,Olivia Jean,olivia-jean,Night Owl,2:53,She will lure you to a watery doom
46,D19,Disq,disq,Collector,3:06,Mic nerd anthem
47,Tungs,The Frights,frights,You Are Going to Hate This,2:50,Just visiting the campus
48,Weeping Birch,Dan Deacon,dan-deacon,Mystic Familiar,4:23,Cascades of tone
49,BREAK
50,The Kids Need Guns,The Chats,chats,High Risk Behaviour,1:18,Makes sense
51,A Little More Love,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings Olivia Newton-John,3:39,Originally from Olivia Newton John
52,Shiny Shiny Pimpmobile,East River Pipe,east-river-pipe,,3:38,Gliding through the night
53,BREAK
54,Theme from Baranco,Mad Professor,mad-professor,Ariwa 2019 Riddim & Dub Series,3:08,No standing still
55,Emboscada,Jungle Fire,jungle-fire,Jungle Fire,3:30,Bring out the congas
56,Very Noise,Igorrr,igorrr,Spirituality and Distortion,1:47,Shattered and reconstructed
57,"Come Get It, I Got It",Harold Ousley,harold-ousley,,5:16,Definitely got it
58,BREAK
59,Under Wraps,Barry Adamson,barry-adamson,Moss Side Story,4:28,The chase is on
