sequence,song,artist,artist_slug,album,time,notes
1,Born Too Late,Habibi,habibi,Anywhere But Here,2:58,You got that right
2,Go Shopping,Bran Van 3000,bran-van-3000,Discosis,2:52,An adventure for these times
3,The Crutch,"Gil Scott-Heron, Makaya Mccraven",gil-scott-heron-makaya-mccraven,We're New Again: A Reimagining by Makaya McCraven,2:34,Strange grind
4,BREAK
5,Dance the Seance,Kellies,kellies,Las Kellies,1:50,Argetinian and dangerous
6,Soul Serenade,King Curtis,king-curtis,Soul Serenade,3:28,Smoothing for oldies
7,Friendly Advice,Bad Books,bad-books,II,3:48,Ratchet the drama
8,Born To Lose,Sleigh Bells,sleigh-bells,Reign Of Terror,3:53,Jammin' on the bass button
9,BREAK
10,Sister,Caribou,caribou,Suddenly,2:11,Modulations
11,Simply Beautiful,Arto Lindsay,arto-lindsay,Mundo Civilizado,4:00,Supremely subtle
12,Los Rebeldes,The Sugar Oaks,sugar-oaks,Red Grapes In The City,3:58,Whatever happened to
13,BREAK
14,Donuts Only,Parquet Courts,parquet-courts,Light Up Gold,1:21,Me and Ty's new favorite
15,A Plan For U,Devo,devo,Hardcore Devo Vol. 2,3:15,A plahn fer yew
16,Make Out Club,Unrest,unrest,Facing the Other Way: the Story of 4AD - Volume Two: 1990-1999,4:21,The American contingent of 4AD
17,No Song,Kakkmaddafakka,kakkmaddafakka,Six Months Is A Long Time,2:43,So happyness!
18,BREAK
19,Bang Go The Bongos,Bananagun,bananagun,The True Story of Bananagun,3:25,Mayhem in the jungle
20,Haberdashery,Stop Calling Me Frank,stop-calling-me-frank,Haberdashed,4:09,Get your hankies
21,Coconut,Ty Segall,ty-segall,Segall Smeagol,3:32,Not what you expected
22,Never Get Ahead,Bobby Conn,bobby-conn,,3:54,Talk about The Man
23,BREAK
24,Play With Fire,First Aid Kit,first-aid-kit,This Is BBC Radio 6 Music Live (Disc 2),2:23,Just as menacing as Mick
25,The Ratcatcher,Antibalas Afrobeat Orchestra,antibalas-afrobeat-orchestra,Antibalas,8:12,Tony Allen would approve
26,Trouble Town,Jake Bugg,jake-bugg,Jake Bugg,2:50,Hard to believe those ingredients
27,BREAK
28,Breathe,Born Ruffians,born-ruffians,JUICE,3:28,Weaving through a Pixies chorus
29,Daily Routine,Disq,disq,Collector,4:24,Very familiar at this point
30,Can't Stand Losing You,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings The Police,3:09,He’s six feet ten
31,Solid Gone,Madness,madness,Absolutely,2:20,Twotone boogie
32,BREAK
33,Banks of the Ohio (feat. Alexa Dirks),Gangstagrass,gangstagrass,Broken Hearts and Stolen Money,3:45,Love that rough voice
34,Rough On Rats (feat. Chanticleer),Portland Cello Project,portland-cello-project,Beck Hansen's Song Reader,3:03,Vaguely menacing
35,Johnny Borrell Afterlife,Future Of The Left,future-of-left,How To Stop Your Brain In An Accident,2:18,"Strangely, very Welsh-sounding"
36,Double Dutch,Malcolm McLaren,malcolm-mclaren,The Wolf of Wall Street,3:56,Gotta love Malcolm
37,BREAK
38,Dips + Peaks,The Sensualists,sensualists,The Sensualists,3:41,Getting it on and out
