sequence,song,artist,artist_slug,album,time,notes
1,Hard to Explain,Coriky,coriky,Coriky,3:03,Unmistakable
2,The Man Who Sold The World,David Bowie,david-bowie,ChangesNowBowie,4:02,A sad tale
3,Leaf Miner,Flying Vipers,flying-vipers,Cuttings,3:01,Deep sounds
4,Pelota,Khruangbin,khruangbin,Pelota,2:48,Snakey rhythms
5,BREAK
6,Natural Affair,The Growlers,growlers,Natural Affair,3:40,Suspicious dance moves
7,One and a Half Stars,Wilco,wilco,Ode to Joy,3:43,Introspector
8,Keep Your Head Up,Preservation Hall Jazz Band,preservation-hall-jazz-band,A Tuba To Cuba,4:46,Hot time
9,BREAK
10,Long Tall Shorty,The Four Corners,four-corners,,2:38,Dial 424689!
11,10 lb. Moustache,Man Man,man-man,,3:36,Foreshadowing the Legend of the Seagullmen
12,He Needed,King Missile,king-missile,,1:18,For Johnny Baby
13,Shameful Dread,Built To Spill,built-to-spill,,8:29,Cataclysmically epic
14,BREAK
15,Early in the Morning,Ty Segall,ty-segall,Segall Smeagol,2:45,Gravelly rumble
16,The Blues Are Still Blue,Belle & Sebastian,belle-sebastian,The Life Pursuit,4:09,Unfailing
17,The Poet [Can't Jam],Born Ruffians,born-ruffians,JUICE,3:45,Quite unfortunate
18,BREAK
19,Goo Goo Muck,Das Clamps,das-clamps,Shit Music For Shit People,3:11,You better duck
20,I Get a Little Taste of You,Z-Rock Hawaii,z-rock-hawaii,,2:22,Eye ay ay
21,Grudge,Pain,pain,Midgets With Guns,3:13,Skalabama
22,Gypsy's Kolo,Jony Iliev and Band,jony-iliev-band,Borat Soundtrack,2:12,Balkan bounce
23,BREAK
24,Movie,Applesaucer,applesaucer,,3:30,Nicely pop
25,Alderaan,The Coctails,coctails,,3:06,"Gone, all gone"
26,Aquí Como Allá,Marc Ribot,marc-ribot,,4:52,Prosthetic Cubans indeed
27,Audio Champion,Isotope 217,isotope-217,,3:57,Meandering jazziness
28,BREAK
29,Meditation,Cory Wong,cory-wong,Elevator Music for an Elevated Mood,4:41,Just breathe
30,Slang Tang,Discovery,discovery,LP,2:28,Spread out
31,Heavy Heavy Heavy,Geraldo Pino,geraldo-pino,"Soul Jazz Records presents Nigeria Soul Power 70 - Afro-Funk, Afro-Rock, Afro-Disco",6:25,Heavy
32,BREAK
33,Theme from Baranco,Mad Professor,mad-professor,Ariwa 2019 Riddim & Dub Series,3:08,No standing still
34,Emboscada,Jungle Fire,jungle-fire,Jungle Fire,3:30,Bring out the congas
35,Very Noise,Igorrr,igorrr,Spirituality and Distortion,1:47,Shattered and reconstructed
36,"Come Get It, I Got It",Harold Ousley,harold-ousley,,5:16,Definitely got it
37,BREAK
38,Sorry,Nevada Bachelors,nevada-bachelors,,5:16,A grandiose lamentation
