sequence,song,artist,artist_slug,album,time,notes
1,All or Nothing,Shopping,shopping,All Or Nothing,3:15,The clock is ticking
2,Slingshot,Cornershop,cornershop,England is a Garden,5:15,"Hello, meandering flute"
3,Hollywood,Car Seat Headrest,car-seat-headrest,Making a Door Less Open,3:23,The end of it all
4,BREAK
5,Angola Rodeo,Black Lips,black-lips,Sing In A World That's Falling Apart,2:43,Burnout of a starter
6,A Lovely Day Boo Hoo,The Muffs,muffs,No Holiday,4:14,The classic format
7,Flat Earth,Omni,omni,Networker,2:54,Very edgy
8,BREAK
9,Tu Vuo Fa L'Americano,The Puppini Sisters,puppini-sisters,,1:53,Swing is swinging back
10,Astro Kopp,Low Frequency In Stereo,low-frequency-in-stereo,,3:50,Ominous... and Norwegian.
11,So Danço Samba,Os Cariocas,os-cariocas,,2:48,Chopped and channeled bossa
12,Son of Bambi,Towa Tei,towa-tei,,5:15,"Strut your stuff, Towa"
13,BREAK
14,I Can't Stand My Baby,The Rezillos,rezillos,The Record Shop-30 Years Of Rough Trade Shops,2:39,Love at first hate
15,Big Foot,Messer Chups,messer-chups,Taste the Blood of Guitaracula,3:00,Stomping around
16,Sandcastles,Cable Ties,cable-ties,Far Enough,4:18,Nervous energy
17,Portrait,Home,home,18,3:47,Subtle washes
18,BREAK
19,Twilight Hall,Shannon Wright,shannon-wright,Flightsafety,2:22,Straight outta Jax
20,Here At The Home,Tribe,tribe,Here At The Home,3:06,That Boston scene
21,Brush Your Hair,Sacred Paws,sacred-paws,Run Around the Sun,3:20,Like Winterbrief!
22,The Coffee Cola Song,Francis Bebey,francis-bebey,"Afro Exotique - Adventures In The Leftfield, Africa 1972-82",5:06,Drink of choice
23,BREAK
24,W-2,2nd Grade,2nd-grade,Hit to Hit,1:01,Tax time!
25,Lawnmower,Sparks,sparks,"A Steady Drip, Drip, Drip",3:39,Suburban turban
26,"Gimme, Gimme, Gimme",Ben Vaughn Combo,ben-vaughn-combo,,2:27,Someone has needs
27,This Is It,House of Freaks,house-of-freaks,Cakewalk,2:59,The sound of motivation
28,BREAK
29,Sicilian Civilian,Seks Bomba,seks-bomba,,2:59,Don’t mess with them.
30,I Got A Man,Positive K,positive-k,,1:10,She likes how you kick it.
31,Leave My Man Alone,Miss Li,miss-li,,4:23,I think you better do as she says
32,Around my Head,Cage The Elephant,cage-elephant,,3:12,Soaring like a flying pachyderm
33,BREAK
34,Ne-ne Ami-chan,the Sisterhood of Convoluted Thinkers,sisterhood-of-convoluted-thinkers,Ume Sour,2:58,Squeeeeeeee
35,Dumbala Dumba,DJ Dolores vs. Taraf de Haïdouks,dj-dolores-vs-taraf-de-haidouks,Electric Gypsyland,3:15,Echoes of samba
36,Dormida,Natalia Clavier,natalia-clavier,Nectar,3:25,Argentinian siren
37,BREAK
38,Fly Guy and The Unemployed,Ramsey 2C-3D,ramsey-2c-3d,Soul Jazz Records presents SPACE FUNK - Afro-Futurist Electro Funk in Space 1976-84,8:01,Flashing lights
