sequence,song,artist,artist_slug,album,time,notes
1,Look Alive,The Stroppies,stroppies,Look Alive,3:45,Charming introduction
2,Follow Me,Shopping,shopping,All Or Nothing,3:08,Threatening
3,Stinger,Possible Humans,possible-humans,Everybody Split,3:54,Very Sex Clark Five
4,BREAK
5,Hot For Twinkies,Go-Nuts,go-nuts,,2:49,A nutritional disaster!
6,Blue Monk,Halftones,halftones,,2:14,Some bluebeat for you
7,O.B.1,Thingy,thingy,,1:32,Me and the Rebel Alliance
8,Follow That Dream,Kimya Dawson,kimya-dawson,,2:47,Originally by Daniel Johnston
9,BREAK
10,The Heart of It All,Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),4:52,Very essential
11,Amor Platonico,Jovenes Y Sexys,jovenes-y-sexys,,2:50,Forbidden fruit
12,Black trombone (Avec intro),"Serge Gainsbourg, Alain Goraguer",serge-gainsbourg-alain-goraguer,En studio avec Serge Gainsbourg,2:44,Tres chillaxe
13,Fearless,Pink Floyd,pink-floyd,Meddle,6:08,Dream flight
14,BREAK
15,I'm Going Straight To Heaven,MC 900 Foot Jesus With DJ Zero,mc-900-foot-jesus-with-dj-zero,,4:03,"So old, DJ Zero is credited"
16,Wor,Django Django,django-django,,4:32,Linked somehow to the Betas
17,Let's Just Say The Dog Did It,Peglegasus,peglegasus,,3:39,"Yes, let’s"
18,Make it Through,The Perms,perms,,3:31,Gotta have some bombastic pop
19,BREAK
20,Cash Money,Cornershop,cornershop,England is a Garden,5:19,Good just about everywhere
21,Prisencolinensinaiciusol,Adriano Celentano,adriano-celentano,,3:17,Same old gibberish
22,It's All Gone Wrong,Clifffs,clifffs,Panic Attack,1:14,A true blur
23,You or Me,The Frights,frights,You Are Going to Hate This,1:29,Tough choice
24,BREAK
25,You're Like Lead,Blue Skies for Black Hearts,blue-skies-for-black-hearts,,3:38,Got it right
26,Demolition Man,The Police,police,,5:57,Tied to the tracks and bomb is ticking
27,Corner Soul,Ethan Lipton,ethan-lipton,,5:14,Calling for blood
28,BREAK
29,New Home,Jonathan Wilson,jonathan-wilson,Dixie Blur,3:46,Stay til the end
30,Breathin',Asylum Street Spankers,asylum-street-spankers,,3:01,Don’t even think about it
31,What You Need,Westbound Train,westbound-train,,3:21,Soul shaking
32,BREAK
33,Vase,Miike Snow,miike-snow,,3:41,"Three people, Swedish"
34,I Know,The Beta Band,beta-band,,3:57,It’s SCOTTISH
35,Back a Bit...Stop,The Wedding Present,wedding-present,Valentina,3:16,"For Rupert, from Leeds"
36,Hate + Kill,Andrew Jackson Jihad,andrew-jackson-jihad,,1:15,Get to the point already
37,BREAK
38,Hey Jane,Spiritualized,spiritualized,,8:52,What a romp!
