sequence,song,artist,artist_slug,album,time,notes
1,J Terrapin,Jade Hairpins,jade-hairpins,Harmony Avenue,2:02,Tripping through the kaleidoscope factory
2,It Must Be True,The Washdown,washdown,,2:37,Speeding through the lights
3,Follow The Witch,Acid Tongue,acid-tongue,Bullies,2:43,But not too closely
4,Insomnia,Drink Me,drink-me,,3:17,Scrape the Fanta
5,BREAK
6,The Number 3,Khruangbin,khruangbin,全てが君に微笑む,2:44,Supermoody
7,Say When,Chandler Travis Philharmonic,chandler-travis-philharmonic,Let's Have a Pancake!,3:02,Gentle clacking
8,Money Is a Memory,Field Music,field-music,Making a New World,3:33,Looping the loops
9,Ronsard 58,Serge Gainsbourg,serge-gainsbourg,En studio avec Serge Gainsbourg,1:29,Un boogie
10,BREAK
11,Uncle Ray,Looper,looper,,3:34,Splinter project from B+S
12,Nightshift,Eugene McGuinness,eugene-mcguinness,,1:38,Short and sharp
13,Gne Gne,Montefiori Cocktail,montefiori-cocktail,,4:19,Nothing leers like an Italian saxophone
14,What Do You Know,The Left Banke,left-banke,,3:04,For Scotty Beckey — why isn’t Ringo singing?
15,BREAK
16,Life In Vain,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,3:26,That charming squawk
17,Come My Habibi,Habibi,habibi,Anywhere But Here,4:30,A hypnotic come-hither
18,Do The Standing Still,The Dismemberment Plan,dismemberment-plan,,2:01,Frantic… or spastic?
19,Do You Think,The Needs ,needs,You Need The Needs ,1:54,Sweet candy punk fuzz
20,BREAK
21,Getaway,Wolf & Moon,wolf-moon,Before It Gets Dark,3:43,Desperate disco
22,Can U Dig It,Pop Will Eat Itself,pop-will-eat-itself,Wise Up Suckers,4:31,We like the music
23,Cinnamon Girl,[dunkelbunt],dunkelbunt,Cinnamon Girl,3:56,Somewhat Gadget-y
24,Infinity,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,Nico… and Her Psychedelic Subconscious,6:14,A thundering herd
25,BREAK
26,Siren Call,Olivia Jean,olivia-jean,Night Owl,2:53,She will lure you to a watery doom
27,D19,Disq,disq,Collector,3:06,Mic nerd anthem
28,Tungs,The Frights,frights,You Are Going to Hate This,2:50,Just visiting the campus
29,Weeping Birch,Dan Deacon,dan-deacon,Mystic Familiar,4:23,Cascades of tone
30,BREAK
31,Freedom for a Policeman,Chad VanGaalen,chad-vangaalen,,2:59,Uncharacteristically energetic
32,Tiny Spark,Brendan Benson,brendan-benson,,3:16,Now with the Raconteurs
33,I'm a Man You Don't Meet Every Day,The Pogues,pogues,,2:55,By request!
34,You Made Me Like It,1990s,1990s,,3:10,How’d you make your baby cry?
35,BREAK
36,Copier-coller,Double Date with Death,double-date-with-death,L'Au-Delà,2:37,Paper jam
37,I Gots A Weasel,Ween,ween,GodWeenSatan: The Oneness,1:22,Lotsa weasels
38,Fresh New Eyes,Brainiac,brainiac,Electro-shock For President,2:20,Electro-shock For President
39,20 Second Man,Chalk,chalk,Black Box Broken,2:51,Dusting away
40,BREAK
41,Under Wraps,Barry Adamson,barry-adamson,Moss Side Story,4:28,The chase is on
