sequence,song,artist,artist_slug,album,time,notes
1,So We Won't Forget,Khruangbin,khruangbin,Mordechai,4:58,Very quite wistful
2,Flying Fox,Paint,paint,Spiritual Vegas,2:33,I adore anything in five
3,Wicked Game,Messer Chups,messer-chups,Don't Say Cheese,3:50,With a wicked drip
4,Patchouli,Muzz,muzz,Muzz,3:29,Almost overpowering
5,BREAK
6,The Kids Need Guns,The Chats,chats,High Risk Behaviour,1:18,Makes sense
7,A Little More Love,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings Olivia Newton-John,3:39,Originally from Olivia Newton John
8,Shiny Shiny Pimpmobile,East River Pipe,east-river-pipe,,3:38,Gliding through the night
9,BREAK
10,Fana,La Dame Blanche,la-dame-blanche,Bajo el Mismo Cielo,3:39,She’s not kidding
11,Cruel To Be Kind,Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",3:18,A soulful treatment
12,Women Tied Up In Knots,Bongwater,bongwater,The Power of Pussy,0:49,Those Japanese magazines
13,BREAK
14,Woulda Coulda,Coriky,coriky,Coriky,5:24,Staggering proportions
15,Fell so Hard,Woods,woods,Strange to Explain,4:02,Flashback to the ‘80s
16,Peanut Butter Oven,Thee Oh Sees,thee-oh-sees,,2:39,Stretched out past the event horizon
17,Fake Records of Rock & Roll,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,4:08,Welcome to the churn
18,BREAK
19,Saw Lightning,Beck,beck,Hyperspace,4:01,Delta blews
20,Groove Is In the Heart,Deee-Lite,deee-lite,The Elektra Years,3:52,And have some fun
21,Jerkin' Back 'n' Forth (Live),Devo,devo,Now It Can Be Told,3:06,I know you know
22,I'll Take You There,The Staple Singers,staple-singers,The Best of the Staple Singers,3:23,Such a groove
23,BREAK
24,Be Brave,The Strange Boys,strange-boys,,2:59,Loving this sloppiness
25,King of the Beach,Wavves,wavves,,2:38,For all sick days everywhere
26,Don't You Worry,Jim Noir,jim-noir,,3:29,Where’s Jim lately?
27,I'm Waiting for the Man,The Velvet Underground,velvet-underground,,4:41,We’re all waiting
28,BREAK
29,La Niña Rica,Bomba Estereo,bomba-estereo,,3:32,Pulsing rhythms
30,Pipi,Los Amigos Invisibles,los-amigos-invisibles,,2:14,Now with Tuvan throat singing!
31,Sophisticated Hula,Petty Booka,petty-booka,,2:13,It’s the talk of the town
32,BREAK
33,That Beep,Architecture In Helsinki,architecture-in-helsinki,,3:52,A bit dancier than I’m used to from these Aussies
34,Tazi - Tazi,Let 3,let-3,,3:19,What’s with that manic synth line?
35,Cups & Cakes,Spinal Tap,spinal-tap,,1:40,"A new version, still just as old."
36,Oliver's Army,Elvis Costello + The Attractions,elvis-costello-attractions,,3:00,Don’t start me talking
37,BREAK
38,More of Just the Same,Infected Mushroom and WHITENO1SE,infected-mushroom-whiteno1se,More than Just a Name,7:09,Bring the noise
