sequence,song,artist,artist_slug,album,time,notes
1,Warm Brass,The Greyboy Allstars,greyboy-allstars,Como De Allstars,3:20,Early afternoon rain showers
2,Scat Sandwich,Space Ghost,space-ghost,,1:07,For our New Zealand listeners
3,Riacho Do Navio,Forro In The Dark,forro-in-dark,,2:47,Northern Brazilian style
4,Toes in the Water,No Age,no-age,Goons Be Gone,3:11,Frazzled refractions
5,BREAK
6,Dreamer,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,When the Morning Greets You,2:36,Good organ hustle
7,Feeding Snakes,Animal Eyes,animal-eyes,Where We Go,4:11,Home is the drone
8,"Green Haze, Pt. 1 & 2",Elvis Hitler,elvis-hitler,,2:34,From the land before mashups
9,BREAK
10,Falling Down,The Streets & Hak Baker,streets-hak-baker,None Of Us Are Getting Out Of This Life Alive,2:52,British advice
11,Keys to Your Heart,Joe Strummer & the 101ers,joe-strummer-101ers,Joe Strummer 001,3:08,Unbreakable spirit
12,Big Love,Chris Murray,chris-murray,,3:29,It’s a good dream
13,All Or Nothing,Nathaniel Rateliff,nathaniel-rateliff,And It’s Still Alright,5:02,A Beatlesque ending
14,BREAK
15,Nonpartisan,Optiganally Yours,optiganally-yours,,1:56,Crickety crack with Pea Hix and Rob Crow
16,¿Te Gusta A Ti Ese Son?,Liquits,liquits,,3:41,Some of that mexiska and more
17,Following,The Phenomenal Handclap Band,phenomenal-handclap-band,,3:52,NYC dance soul
18,The Human Jungle,The Jazz Butcher,jazz-butcher,,4:50,Live somewhere on this planet
19,BREAK
20,Simple Song of Sin,Peter Bjorn and John,peter-bjorn-john,Endless Dream,5:10,Stop and start
21,Dark Clouds,Clifffs,clifffs,Panic Attack,1:18,Moving fast across the sky
22,Losing My Edge,LCD Soundsystem,lcd-soundsystem,The Record Shop-30 Years Of Rough Trade Shops,7:54,I was there
23,Magic of Meghan,Dry Cleaning,dry-cleaning,Sweet Princess,3:56,Quite disaffected
24,BREAK
25,Major,The Asteroids Galaxy Tour,asteroids-galaxy-tour,,3:58,Danish warbles
26,Friday Night At The Drive-In Bingo,Jens Lekman,jens-lekman,,4:13,Things are different up there
27,Benevolent St.,The Eyesores,eyesores,,4:12,Still kickin’ it
28,BREAK
29,Jugar Conmigo,Cheo,cheo,Sorpresa,3:42,Slow burner
30,It's True,The Safes,safes,Winning Combination,2:12,Dark carnival time
31,Listening To The Higsons,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,,3:00,Live and wailing
32,Pollo Asado,Ween,ween,,2:47,Just trying to get the order in
33,BREAK
34,Hair Addiction,Make The Girl Dance,make-girl-dance,,3:20,Where France and ‘90s twee cross
35,Woe Is You and Me,The Strange Boys,strange-boys,,2:13,More austinism
36,Does Everyone Stare,The Police,police,,3:52,Anthem for the awkward
37,Flying Fingers,Joe Maphis,joe-maphis,,2:41,He’s not kidding
38,BREAK
39,Hey You,Oz Noy,oz-noy,,6:06,Gliding guitar
