sequence,song,artist,artist_slug,album,time,notes
1,Forgotten Astronaut,The Rentals,rentals,Q36,4:44,For Michael Collins
2,Shooting From the Hip,2nd Grade,2nd-grade,Hit to Hit,2:25,Nice gallop
3,Litigation,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,4:03,No lawyers
4,BREAK
5,Finns For Our Feet,The Oranges Band,oranges-band,All Around,2:47,They come in handy
6,Somos La Resistencia,The Myrrors,myrrors,Hasta La Victoria,3:03,Yelling across the void
7,The Swimmer,Tracker,tracker,Polk,4:16,Dust blowing on the dry creek bed
8,BREAK
9,No Distraction (Khruangbin Remix),Beck,beck,No Distraction (Khruangbin Remix),3:18,We are dubbing in space
10,Durban Poison,Babylon Timewarp,babylon-timewarp,"Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore",5:31,You know that strain
11,Live Fast Die Slow,Black Lips,black-lips,Sing In A World That's Falling Apart,4:18,Sloppy wet kisses
12,Les Imperials,The Greyboy Allstars,greyboy-allstars,Como De Allstars,5:14,"How’s it hanging, slick?"
13,BREAK
14,The Unwanted Things,Ted Leo + The Pharmacists,ted-leo-pharmacists,,4:32,A bit dubby
15,League of Mature Jazz Friends,Donkey,donkey,,3:32,Thanks Manny!
16,Ska-La-Carte,The Scofflaws,scofflaws,,2:43,Who wants sushi?
17,Graveyard,Mind Sirens,mind-sirens,,3:09,Contemporaries of Evil Weiner
18,BREAK
19,Angst In My Pants,A Giant Dog,a-giant-dog,Toy,3:42,Originally by Sparks
20,Meme les plus grands ont des moments de faiblesse,Les Wampas,les-wampas,Evangelisti,3:30,Some French ya-ya punk for y’all
21,I Love LA,Starcrawler,starcrawler,Starcrawler,3:18,Echoes of L7
22,Nickel And A Storm,Marble Party,marble-party,Sometimes A Great Ocean,4:22,Sounding like Kevin Seconds
23,BREAK
24,Pillow,Cable Ties,cable-ties,Far Enough,5:26,Mind the sharp edges
25,Drunk n Disorderly,The Chats,chats,High Risk Behaviour,1:16,Gets to the point
26,Tattooed Love Boys,Melvins & Shitkid,melvins-shitkid,Bangers ,3:07,In a good mood
27,BREAK
28,Unglued,Mo Kenney,mo-kenney,The Details,2:59,Dual vocalizing
29,Spectacular,Graham Coxon,graham-coxon,,2:48,From Bleh
30,I Feel Just Like A Child,Devendra Banhart,devendra-banhart,Pay Close Attention : XL Recordings,4:46,Somewhat entrancing
31,Yr Throat,Jeff Rosenstock,jeff-rosenstock,POST-,2:47,Thundering along
32,BREAK
33,Norgaard,The Vaccines,vaccines,Home Is Where The Start Is (Home Demos 2009 - 2012),1:39,Vaseline surfs
34,She's On Fire,King Tuff feat. Gap Dream,king-tuff-feat-gap-dream,Garage Swim,3:33,Free! Download it now!
35,T.H.M.,Deerhunter,deerhunter,Monomania,4:20,So mopey
36,BREAK
37,Lunar Dawn,Youth + Jah Wobble,youth-jah-wobble,Acid Punk Dub Apocalypse,7:14,More of that dub stuff
