sequence,song,artist,artist_slug,album,time,notes
1,The Buzz,Pretenders,pretenders,Hate For Sale,3:51,Feels like old pretending
2,Hey World,Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),3:16,Positive thrumming
3,I'm A Wooden Soldier,Cornershop,cornershop,England is a Garden,5:01,It’s got that groove
4,BREAK
5,There She Goes Again (Live),Marshall Crenshaw,marshall-crenshaw,Live ...My Truck Is My Home,2:49,Enter the tunnel of time
6,Dirty Old Town,The Pogues,pogues,30:30 - The Essential Collection (Disc 1),3:45,"Wear a helmet, Shane!"
7,Song 2,Blur,blur,Song 2,2:03,Wooo hooo
8,So Into You,Wisely,wisely,Drink A Toast To Innocence (Disc 2),4:40,"Well, hello"
9,BREAK
10,Lost in the Supermarket,The Clash,clash,London Calling: 25th Anniversary Edition,3:47,Always a pleasure
11,Heavy Lifting,Palm,palm,Rock Island,4:44,It's complicated
12,Mutations,Grand Analog,grand-analog,Survival EP,4:04,Got the bounce
13,This Fall. Last Fall.,The Rants,rants,,2:46,What do we know about this band?
14,BREAK
15,I Believe In Sunday / Someday,The Needs ,needs,You Need The Needs ,2:26,Ramones-level enthusiasm
16,Color My Life,Chicano Batman,chicano-batman,Invisible People,3:28,Smooth n’ awkward
17,Protest Song,Bill Callahan,bill-callahan,Gold Record,3:58,Dour voice
18,Rose Parade,Elliott Smith,elliott-smith,Either/Or: Expanded Edition,3:23,A live version
19,BREAK
20,Gigantic,Pixies,pixies,Surfer Rosa,3:56,What a gas
21,Waterfalls,Cherry,cherry,Dumbness,3:12,Dropping beats
22,Systemagic,Goldfrapp,goldfrapp,Silver Eye,3:38,Robot danceparty
23,BREAK
24,Saint Behind The Glass,Los Lobos,los-lobos,Just Another Band From East L.A. [Disc 2],3:16,Mitch and more Mitch
25,Supra Genius,Soul Coughing,soul-coughing,Ruby Vroom,4:00,It's froomy
26,Ya Hey,Vampire Weekend,vampire-weekend,Modern Vampires of the City,5:13,Tragic tragedy
27,Road to Nowhere (Live),David Byrne & St. Vincent,david-byrne-st-vincent,Brass Tactics EP,4:28,Byrning down the house
28,BREAK
29,Take H20,Melkbelly,melkbelly,PITH,2:28,Hold that thought
30,Finalmente,King Chango,king-chango,The Return of El Santo,4:34,Enjoy the fusion
31,For Mods Only,Chico Hamilton,chico-hamilton,Sounds From the Verve Hi-FI,4:26,You heard the man
32,BREAK
33,All These Worlds Are Yours,Holy,holy,All These Worlds Are Yours,8:54,So long and worth it
34,Colonizer,Tune-Yards,tune-yards,I can feel you creep into my private life,3:54,Ends weird
35,Whitest Boy on the Beach,Fat White Family,fat-white-family,Songs For Our Mothers,4:53,Bring sunscreen
36,BREAK
37,We Love To Dub,Arling + Cameron,arling-cameron,,6:19,Bouncing on the buzz
