sequence,song,artist,artist_slug,album,time,notes
1,Mini Skirt,Messer Chups,messer-chups,Don't Say Cheese,2:10,An Esquivel classic
2,Truth Like a Mirage,Jade Hairpins,jade-hairpins,Harmony Avenue,1:49,It just doesn’t fit in the box
3,Oil And Water,Lo-Lite,lo-lite,Sidekicks,2:58,Rough and tumble
4,Moving To Florida,Butthole Surfers,butthole-surfers,Rembrandt Pussyhorse,4:33,Life in reverse
5,BREAK
6,Warm Leatherette,The Normal,normal,,3:23,Not moist towelette
7,Been Hiding,Aislers Set,aislers-set,,2:03,More britpop tastiness
8,"So, The Circus Is Back In Town",Cato Salsa Experience,cato-salsa-experience,,3:00,Norwegian!
9,Siente,Los Amigos Invisibles,los-amigos-invisibles,,3:40,Muy funky
10,BREAK
11,Concrete,Shame,shame,Songs of Praise,3:34,The future sounds like Manchester
12,Henrietta,The Fratellis,fratellis,Costello Music,3:32,Hurky jurky
13,The Funeral [Live],Walt Wagner,walt-wagner,Reworks,5:26,the Piano Bar Fire
14,Any Kind Of Crowd,Filthy Friends,filthy-friends,Invitation,3:16,All-star band! Which stars eludes me...
15,BREAK
16,Land Man,Paint,paint,Spiritual Vegas,3:31,Sounds like an interesting character
17,Type O Girl,Volumen,volumen,Cries From Space,4:40,All over the place
18,Indian Bingo,Tripping Daisy,tripping-daisy,Jesus Hits Like the Atom Bomb,3:00,The genius of Braniac
19,BREAK
20,Punk Rock Girl,Philly Boy Roy,philly-boy-roy,Dr. Demento Covered in Punk (Disc 2),3:13,Fantastic rendition
21,Julianne,Ben Folds Five,ben-folds-five,,2:31,I got my bag of trash
22,The Little Things,Southern Culture On The Sklds,southern-culture-on-sklds,Dig This,2:36,The little things will do you in
23,BREAK
24,Hands Of A Working Man,Big Ass Truck,big-ass-truck,,3:54,Ty's been patient
25,Darkness,Sex Clark Five,sex-clark-five,,1:12,Another blast of fastness
26,The Beach With No Footprints,Tropical Popsicle,tropical-popsicle,,4:04,It's a spooky beach
27,Senses Working Overtime,XTC,xtc,,4:50,Count with me
28,BREAK
29,Lose Control,Home,home,Home 18,3:29,For the end of the night
30,Rachel,Crooner,crooner,,4:03,So much mystery
31,The Librarian,Hefner,hefner,Breaking God's Heart,4:44,Woo her in a most peculiar way
32,BREAK
33,68,bicycle,bicycle,,2:41,Unknown pop gem
34,Slow It Goes,Eyelids,eyelids,Or,3:44,Grade B Maple Syrup
35,Wildflowers,The Wailin' Jennys,wailin-jennys,Fifteen,3:43,Great take on the Tom Petty song
36,BREAK
37,Nice on Ice,The Invisible Hands,invisible-hands,,4:28,Dolorous and sonorous
