sequence,song,artist,artist_slug,album,time,notes
1,"Roll Me Mama, Roll Me",Ray LaMontagne,ray-lamontagne,MONOVISION,4:05,Music for sunsets
2,Playground Love,Air,air,The Virgin Suicides,3:32,The desired effect
3,Divine Hammer,Ben Lee,ben-lee,Quarter Century Classix,4:26,Originally from the Breeders
4,Who Will You Love,The Haden Triplets,haden-triplets,The Family Songbook,5:52,Let’s go old-tyme
5,BREAK
6,Call on Me,Al Lover,al-lover,,2:29,Love your Beefheart
7,Skeleton,The Front Bottoms,front-bottoms,,3:36,That's pretty stoned
8,Seal The Deal,Quasi,quasi,,4:15,I miss the fuzz clavinet
9,Fine Lies,Bass Drum Of Death,bass-drum-of-death,Bass Drum Of Death,3:15,Pounding pounding
10,BREAK
11,Don't You Still Want Me,Andrea Perry,andrea-perry,,2:45,Delicate
12,No Hugging No Learning,Teenage Bottlerocket,teenage-bottlerocket,Stealing the Covers,1:10,"Dang, it's over already"
13,Tightly Wound,The Capes,capes,,3:40,Angular boogie
14,Watching Him Fade Away,Mac DeMarco,mac-demarco,This Old Dog,2:23,Life is sad
15,BREAK
16,Jack Says,Coriky,coriky,Coriky,2:33,A familiar rumble
17,Seek You,Mellow,mellow,"Dragonfly (A Soundtrack to the Motion Picture ""CQ"")",2:10,Definitely French
18,Together,Kitty In The Tree,kitty-in-tree,Hello Kitty,4:13,Perfect power pop
19,BREAK
20,Survive,Hollie Cook,hollie-cook,Vessel of Love,3:18,Vocal harmonies to make Bananarama jealous
21,Young Lover,St. Vincent,st-vincent,Masseduction,3:33,Heartbeat
22,El Barzón,Maldita Vecindad & Los Hijos Del Quinto Patio,maldita-vecindad-los-hijos-del-quinto-patio,,4:21,"Mexican folk music, updated"
23,BREAK
24,Washing Away,Ola Podrida,ola-podrida,,4:40,A rotten wave
25,911,Ramsay Midwood,ramsay-midwood,,4:26,Looks like a burnt match
26,Poem Party,The Strange Boys,strange-boys,,1:53,Texas punk blues
27,Idiot,Wavves,wavves,,2:52,Colonel Clink
28,BREAK
29,Don't Touch Me,Brak,brak,,0:51,Good advice
30,Mommy,The Slackers,slackers,,3:01,So laid back
31,Take The Skinheads Bowling,Artichoke,artichoke,Echoes From The Century Next Door,4:24,A whacked-out version
32,Tear Us Apart,Swear And Shake,swear-shake,The Sound Of Letting Go,3:47,Nice AM radio arrangements
33,BREAK
34,Mushroom Bomb,Bananagun,bananagun,The True Story of Bananagun,3:44,Blows up your mind
35,Half A Boy And Half A Man,Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",2:46,Going out to Generoso!
36,You Took Your Time and Mine,Golden Shoulders,golden-shoulders,Could This Be the End,4:10,Feels majestic
37,BREAK
38,I'll Fly Away,Gillian Welch and Alison Krauss,gillian-welch-alison-krauss,,3:58,O Brother
