sequence,song,artist,artist_slug,album,time,notes
1,What Happened to Delilah?,Mekons,mekons,EXQUISITE,3:56,Old school weeper
2,Cherrybomb,Dan Auerbach,dan-auerbach,Waiting On A Song,3:45,Fairly Becky
3,Delta 88 Nightmare,X,x,ALPHABETLAND,1:37,Still burning white hot
4,Do What I Want,The Chats,chats,High Risk Behaviour,2:50,They are being quite recalcitrant
5,BREAK
6,Just What I Needed/Not Just What I Needed,Car Seat Headrest,car-seat-headrest,Teens Of Denial,3:52,Was that a cover?
7,6000 dias (Ou Mantra dos 20 Anos),Boogarins,boogarins,Manual,4:23,Brazilian magic
8,100 Years,Tommy Guerrero,tommy-guerrero,,3:14,Easy summer sounds
9,Summerland,Young Fresh Fellows,young-fresh-fellows,Because We Hate You,3:03,At their most melodic
10,BREAK
11,Sunglasses At The Wedding,Rolling Blackouts Coastal Fever,rolling-blackouts-coastal-fever,Sideways to New Italy,3:33,Very quite low-key
12,Hide The Medicine,The Psychedelic Furs,psychedelic-furs,Made Of Rain,3:46,That alternative sound
13,She's Gotta Go-Go,The Total Rejection,total-rejection,The Time Traveller's 3rd Will & Testament,2:12,Don’t let anything stop you
14,Monster Club,The Suncharms,suncharms,,3:04,Spooky times
15,BREAK
16,Typical,Nightmares On Wax (featuring Jordan Rakei),nightmares-on-wax-featuring-jordan-rakei,Shape The Future,4:40,More rainy night musics
17,"Don't Think Twice, It's All Right",Bob Dylan,bob-dylan,,3:39,When your rooster crows at the break of dawn
18,I Can't Stand Your Face,Bag,bag,,2:37,Bouncy hatin’ song
19,Riri,Dim Dim,dim-dim,,3:38,Pleasant island ditty
20,BREAK
21,Bicentennial,The Fearless Flyers (feat. Elizabeth Lea),fearless-flyers-feat-elizabeth-lea,The Fearless Flyers,3:07,Channelling ZZ Top at some point
22,Red Beans and Rice,Booker T. & the MG's,booker-t-mg-s,"The Complete Stax Singles, Vol. 1 (1962-1967)",2:14,Back to the basics
23,I’ve Got Reason (Switched On),Mikal Cronin,mikal-cronin,Switched-On Seeker,3:43,Totally switched on
24,Just to Annoy You,Stop Calling Me Frank,stop-calling-me-frank,Haberdashed,3:10,For the energy vampires
25,BREAK
26,Tandem Jump,Jonathan Richman,jonathan-richman,"I, Jonathan",2:16,Nervous?
27,I'm Your Puppet,The Rock*A*Teens,rock-a-teens,Cry,3:38,Very lonesome sounds
28,Whoever You Are,Geggy Tah,geggy-tah,"Luaka Bop: Twenty First Century, Twenty First Year",4:36,Somewhat extended
29,Bone Machine,Pixies,pixies,,3:03,He bought me a soda
30,BREAK
31,The One I Loathe The Least,The Just Joans,just-joans,The Private Memoirs And Confessions Of The Just Joans,3:22,Shrewd analysis
32,Loudmouth,AJJ,ajj,,2:11,We all know one
33,"January 31, 438",The Mountain Goats,mountain-goats,Songs for Pierre Chuvin,2:23,Dance with the one that brought you
34,The Quickening Has Begun,Golden Shoulders,golden-shoulders,Grown Zone-Groan Zone (Disc 2),2:58,Getting faster and faster
35,BREAK
36,Danger! High Voltage!,Electric Six,electric-six,,3:37,So over the top
37,Payday Blues,Dan Hicks & His Hot Licks,dan-hicks-his-hot-licks,"Truckers, Kickers, Cowboy Angels - The Blissed-Out Birth Of Country Rock, Vol. 6: 1973",2:52,"Farewell, Dan"
38,Driven To Tears,The Police,police,,3:21,Serious stuff
39,Rock 'N' Roll High School,The Ramones,ramones,End Of The Century,2:41,Back to basics
40,BREAK
41,Pigeons,Bill Callahan,bill-callahan,Cowboy,5:25,A big heaping slice of real life
