sequence,song,artist,artist_slug,album,time,notes
1,Heroes and Villains,Joey Joesph,joey-joesph,Smile,5:54,A wild ride on a Smile
2,Platypus Dipster,Fantastic Negrito,fantastic-negrito,Have You Lost Your Mind yet?,3:08,Chikka chikka 
3,Cardboard Castles,Dengue Fever,dengue-fever,The Deeepest Lake,5:14,Woozy interludes aplenty
4,Televised Mind,Fontaines D.C.,fontaines-d-c,A Hero's Death,4:10,An Irish drone
5,BREAK
6,Mr. Beat,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Nonagon Infinity,4:56,"In weird time, natch -- Patrick and Alyssa dig it"
7,Whatever's Right,The Monkees,monkees,Good Times! (Deluxe Edition),2:00,Plunging through the psychedelic time tunnel
8,If I Knew,Bat For Lashes,bat-for-lashes,The Bride,4:16,Piano mellow
9,Odessa Yodel,Wylie and the Wild West,wylie-wild-west,,1:51,You heard right
10,BREAK
11,Executive Party,The Greyboy Allstars,greyboy-allstars,Como De Allstars,5:40,Quite a fitting name
12,Mushroom Cloud,The Neverly Boys,neverly-boys,Dark Side of Everything,3:26,With some TV on the Radio?
13,Runnin' Down a Dream,Isobel Campbell,isobel-campbell,There is No Other... (Deluxe),3:27,Tom would have approved
14,Lady Stardust,David Bowie,david-bowie,ChangesNowBowie,3:32,From the invention of the mullet
15,BREAK
16,On My Radio,The Selecter,selecter,Grange Hill - The Album (disc 1),3:06,It's just the same old show
17,FYC,Rah Brahs,rah-brahs,,1:37,Demonic noise
18,Broken Face (Demo),Pixies,pixies,,1:25,"Yes, the demo version"
19,Alaskan Midnight Sun,Hot Hot Heat,hot-hot-heat,Hot Hot Heat,2:10,Was just wondering what happened to them...
20,BREAK
21,Detention,Shitkid,shitkid,[Detention],1:57,Earned every minute
22,Maybe Love Is in NYC,Pretenders,pretenders,Hate for Sale,3:25,Full on jangle
23,The Monkey,Dave Bartholomew,dave-bartholomew,New Orleans Funk Vol. 4: Voodoo Fire in New Orleans 1951-75,2:28,Speaks his mind
24,Smoking High,Mad Professor + Gaudi,mad-professor-gaudi,Mad Professor Meets Gaudi,4:15,Bubbling it up
25,BREAK
26,Diablo Rojo,Rodrigo y Gabriela/C.U.B.A.,rodrigo-y-gabriela-c-u-b-a,,5:10,An unholy melding of whatever
27,In Another Castle,Kirby Krackle,kirby-krackle,,3:01,The neverending quest
28,Strangers Are Strange,Unknown Mortal Orchestra,unknown-mortal-orchestra,,2:24,Wise advice
29,BREAK
30,The Long Heights,Spinning Coin,spinning-coin,Hyacinth,3:16,Unusual waltz
31,Dirty Laundry,Bitter-sweet,bitter-sweet,2007 Putumayo Sampler CD,3:22,Swing it electro
32,Moment,Holy Fuck,holy-fuck,Deleter,5:00,It’s quite implacable
33,Just Friends,"Richard ""Groove"" Holmes",richard-groove-holmes,Players,5:19,An old fashioned swinging time
34,BREAK
35,Tear Me Down,The Woggles,woggles,,2:23,Party music if there was ever
36,Weird Soul,Lux Aeterna,lux-aeterna,,1:42,Before there was dubstep
37,Quopern,Ruins,ruins,Vrresto (2004 re-release),3:35,Random aggression
38,TrainWreck,De La Soul,de-la-soul,For Your Pain And Suffering,3:18,Back with some rhymes
39,BREAK
40,Marquee Moon,Luna,luna,Singles N' Remixes 1987-1992,10:31,Originally by Television
