sequence,song,artist,artist_slug,album,time,notes
1,Cowboy,Bill Callahan,bill-callahan,Gold Record,4:36,So very gravelly
2,Clean Kill,Coriky,coriky,Coriky,4:12,Probably not an Avatar reference
3,Lanolin,Paint,paint,Spiritual Vegas,3:13,Smooth like sheep
4,Sucking the Thumb,2nd Grade,2nd-grade,Hit to Hit,0:56,Swoled up
5,BREAK
6,Not If You Were The Last Dandy On Earth,The Brian Jonestown Massacre,brian-jonestown-massacre,,2:47,Revenge is sweet
7,Nobody's Baby,Sheer Mag,sheer-mag,"III 7""",3:05,Retro flamejob
8,Maestro,Kaizers Orchestra,kaizers-orchestra,FM4 Soundselection 13,4:38,"I don't understand anything except ""swinging hammer"""
9,You Make Me,Solipsistics,solipsistics,,3:03,Low key
10,BREAK
11,Final Answer,Nano Banton,nano-banton,Inna De Bedroom,3:22,Dubbed and redubbed
12,Go to the Mardi Gras,Professor Longhair,professor-longhair,New Orleans Funk Vol. 3: The Original Sound of Funk,2:47,Whistlin’ time
13,Colonel Panic,The Fearless Flyers,fearless-flyers,Tailwinds,2:32,No time for a core dump
14,Eagle Wings,White Denim,white-denim,World As A Waiting Room,2:26,Coming in hot with the come on
15,BREAK
16,Mangos And Rice,Hanni El Khatib,hanni-el-khatib,Savage Times,2:57,Delicious simplicity
17,I Fell for You,The Mr. T Experience,mr-t-experience,Heide Sez (Lookout Records 1996 Sampler CD),1:52,Such a brief love affair
18,Shut Your Mouth,Olivia Jean,olivia-jean,Night Owl,1:58,Yes ma’am
19,(Keep Feeling) Fascination (Extended Version),The Human League,human-league,Essential,4:59,Can there be another version?
20,BREAK
21,It's Just Begun,Jimmy Castor Bunch,jimmy-castor-bunch,This is Funk - Disc 1,3:44,Funky for Lara
22,Hold Me Closer,Hefner,hefner,We Love The City,3:47,For western hearts
23,What's the Matter with You,Split Enz,split-enz,True Colours,3:09,Its own sound
24,At The Bottom,The Merrills,merrills,The Merrills,2:47,From Atlanta
25,BREAK
26,Money for Dope,They Might Be Giants,they-might-be-giants,,2:39,Gotta keep it together
27,Green Of The Melon,Ui,ui,,3:23,Subtle cues
28,Sycamore Tree,Crystal Stilts,crystal-stilts,,5:06,It’s somewhat psychedelic around here
29,BREAK
30,Homecoming,The Jayhawks,jayhawks,XOXO,4:03,Very Beatlesque mood
31,Courtney,The Paranoyds,paranoyds,Carnage Bargain,2:44,And she don’t care
32,Kompressor,Mr. Elevator,mr-elevator,"Goodbye, Blue Sky",3:28,A smooth ride to space and back
33,Theme From Ezpz,P.P. Roy,p-p-roy,,3:56,It just keeps ringing
34,BREAK
35,Low Blow,New York Ska Jazz Ensemble,new-york-ska-jazz-ensemble,Low Blow,4:09,Also see: St. Peteresburg Ska Jazz
36,Model Behavior,Deerhoof,deerhoof,The Magic,2:35,Unmistakable
37,Black Hole Sun,The Moog Cookbook,moog-cookbook,,4:23,Don't let the funny fool you. They're geniuses.
38,I Know You,BRONCHO,broncho,Double Vanity,3:41,Drenched in density
39,BREAK
40,Watermelon In Easter Hay,Frank Zappa,frank-zappa,Y Tu Mamá También,9:06,The central scrutinizer
