sequence,song,artist,artist_slug,album,time,notes
1,Chocolate Samurai,Fantastic Negrito,fantastic-negrito,Have You Lost Your Mind Yet?,4:56,Time for higher ground
2,Assassin,The Fearless Flyers,fearless-flyers,Tailwinds,3:14,Killing it
3,The Skipper,The Greyboy Allstars,greyboy-allstars,Como De Allstars,4:54,Grooving with the little buddy
4,Children of Popcorn,Messer Chups,messer-chups,Don't Say Cheese,1:56,Surf St. Petersburg
5,BREAK
6,Soul Love,Beady Eye,beady-eye,BE,5:10,Sounds quite British
7,Kissed In The Face,The Shivas,shivas,Whiteout,5:48,Surf action from PDX
8,Moulder's IDM Song for Scully,Jane Jane Pollock,jane-jane-pollock,Obituary,2:17,Very minimal
9,BREAK
10,Trasnocho Entre Semana,Cheo,cheo,Sorpresa,4:34,Up all night
11,People Talk Too Much,Bananagun,bananagun,The True Story of Bananagun,6:42,Afrobeat time
12,Broken Hearted Wo-Man,The Cambodian Space Project,cambodian-space-project,Electric Blue Boogaloo,3:29,To the heart of the sun
13,BREAK
14,Sgt. Baker,Primus,primus,,4:17,Welcome to Primus’ army
15,High School,The Minus 5,minus-5,,2:25,The next best thing to some YFF
16,3 A.m. Eternal (Original Album Version),The KLF,klf,,4:16,Original British loonies
17,Hey Jesus,King Missile,king-missile,,2:06,Everybody wants to know
18,BREAK
19,Goodbye Crocodile (Demo),Whitey,whitey,Great Shakes Volume 2,4:32,Sounds complete to me
20,Yama Yama Pretty Mama,Big Sandy,big-sandy,Dedicated to You,2:43,Is it Hawaiian?
21,Angel's Voice,Flat Old World,flat-old-world,"Flat Old World (Hello Recording Club Selection, May 1993)",3:11,Truly an angel's voice
22,BREAK
23,In Doubly,Billy Martin,billy-martin,G U I L T Y,2:54,Clearly a Spinal Tap reference
24,Jockey Full Of Bourbon,The Blue Hawaiians,blue-hawaiians,Savage Night,4:41,Originally by Tom Waits
25,Let Me Roll It,Big Sugar,big-sugar,,3:27,Gives you Wings
26,BREAK
27,Mercedes Benz,Janis Joplin,janis-joplin,Pearl,1:48,For that girl suing her parents
28,Plan of the Man,The M's,m-s,Polyvinyl 15-Year Anniversary Sampler,2:51,Nigh ungoogleable!
29,Westie Can Drum,Pavement,pavement,Brighten The Corners: Nicene Creedence Edition (Disc 1),4:11,Obscurists rejoice!
30,BREAK
31,Mango Woman,Ween,ween,Push Th’ Little Daisies EP,2:25,"Woy-yoy, woah-yeh"
32,Breaking Shells,Youth + Hollie Cook,youth-hollie-cook,Acid Punk Dub Apocalypse,4:55,Throwback flashforward
33,Nick is Ryan,Euphone,euphone,Hashin' It Out,3:39,In two acts
34,Fuck Dub / Haaksman Version,Tosca,tosca,The G-Stone Book,5:25,Suggestive
35,BREAK
36,Snake Dance,John Scofield,john-scofield,Uberjam Deux,7:14,Afrobeat to hell
