sequence,song,artist,artist_slug,album,time,notes
1,Holiday,The Just Joans,just-joans,The Private Memoirs And Confessions Of The Just Joans,3:35,The days are just a blah
2,Sun City Creeps,Woods,woods,Let Uncut Shake,5:58,Creeping around
3,Blue Cash,Deerhoof,deerhoof,Apple O',2:39,Addled brain blues
4,One Note,Duo Brothers,duo-brothers,Duo Brothers,4:02,The wind-down
5,BREAK
6,Leave Astounding,Rare High,rare-high,Rare High 2,1:20,So GBV
7,Just Got Paid,ZZ Top,zz-top,The Complete Studio Albums 1970-1990,4:28,Buenas noches Ty
8,Dealing,Cass McCombs,cass-mccombs,Big Wheel And Others,3:19,So gentle in comparison
9,I Believe,My Bloody Valentine,my-bloody-valentine,EP's 1988 - 1991,3:01,Rare and weird
10,BREAK
11,Better Than You,The Chats,chats,High Risk Behaviour,2:44,Probably right
12,Ta Fardah,Paint,paint,Spiritual Vegas,2:47,An incantation
13,Bloody Rainbow,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,2:24,Originally by Daniel Johnston
14,Fingerprints,Sweet Spirit,sweet-spirit,Trinidad,4:41,A stately pace 
15,BREAK
16,Days,The Drums,drums,,4:29,From their new one...
17,Jellybones,The Unicorns,unicorns,,2:44,"A legendary classic, dammit"
18,Up Nights,Ha Ha Tonka,ha-ha-tonka,,3:18,All the way from the Ozarks
19,Witch Hunt,Zomby,zomby,,1:47,Beep and blorp
20,BREAK
21,Super Market,Nano Banton,nano-banton,Inna De Bedroom,2:11,Let’s go shopping
22,DNA,Ashtech,ashtech,,2:56,Dub genetics
23,Orange,Ken Nordine,ken-nordine,Colors,1:30,Silly old color
24,Guns Of Navarone,The Skatalites,skatalites,,5:11,Blasting away
25,BREAK
26,In The Aeroplane Over The Sea,Neutral Milk Hotel,neutral-milk-hotel,,3:22,Is it overkill to say plaintive yowl?
27,Down Featuring Scratch Bandits Crew,Chinese Man,chinese-man,,4:09,Watch that ticker
28,Set Me Free,Ray Davies,ray-davies,,1:02,Short and sweet
29,Get Your Monkey Off My Dog,The Bobs,bobs,,3:26,Is that AC/DC?
30,BREAK
31,I Feel Love,Donna Summer,donna-summer,American Hustle: Original Motion Picture Soundtrack,5:57,It's a disco sort of evening
32,Some Women Artists All Around Town,Hazel Shep,hazel-shep,100 Records: Vol. 3,2:14,"A generalization, but valid"
33,Tomorrow Never Knows,Meeks,meeks,Beatless - Shoegazer Covers Of The Beatles,5:28,A bold choice
34,Banana,The Aggrolites,aggrolites,Yo Gabba Gabba! Music Is Awesome! Volume 3,2:23,Nope. Not me.
35,BREAK
36,Teen Beat Cosmonaut,The Rentals,rentals,Q36,3:15,Buzz that moog
37,Treasure Sticks The Mamma (And Other Situations),Colorstore,colorstore,Bonefish: the Legend of Mahogany Cass,4:12,Kept off-balance
38,Didn't Want to Be This Lonely,Pretenders,pretenders,Hate for Sale,2:56,Unmistakable delivery
39,BREAK
40,Partido Alto,Medeski Martin + Wood,medeski-martin-wood,,5:45,Insert found sounds
