sequence,song,artist,artist_slug,album,time,notes
1,Waba Duba,Yello,yello,Point,3:07,Still fit for cruising
2,Mt. Crushmore,Lettuce,lettuce,Mt. Crushmore,3:22,The crushiest
3,Stranger In Blue Suede Shoes,Kevin Ayers & The Whole Wide World,kevin-ayers-whole-wide-world,Peephole In My Brain. The British Progressive Pop Sound Of 1971,3:26,Thank you stranger
4,Leeds Like To Party,Eats Tapes,eats-tapes,Grown Zone-Groan Zone (Disc 1),4:47,Breakfast machine time
5,BREAK
6,Cruising For Chicks,Teenage Bottlerocket,teenage-bottlerocket,Freak Out!,2:09,Who invited them to the party?
7,Bad Ghosts,The Raveonettes,raveonettes,Into The Night,2:38,Haunting as always
8,Quarter Horses (B-Slow),Red Red Meat,red-red-meat,There's A Star Above The Manger Tonight,4:46,Scattered all over
9,Mercy Seat,Ultra Vivid Scene,ultra-vivid-scene,Facing the Other Way: the Story of 4AD - Volume One: 1980-1989,4:08,Beautifully remastered
10,BREAK
11,Star Chambered,X,x,ALPHABETLAND,2:18,Weirdly fierce
12,Wild and Blue,The Mekons,mekons,Curse of the Mekons,2:53,Always time for a country waltz
13,Alex Chilton,The Replacements,replacements,Pleased To Meet Me,3:16,In love with this song
14,BREAK
15,Dilettante,St. Vincent,st-vincent,,4:04,I dig the ‘70s arrangement.
16,Vaya Con Dios,Taraf De Tucson,taraf-de-tucson,,4:11,Moar mariachi!
17,La Dansa De L'Imbecil,Dusminguet,dusminguet,,4:21,Cataluñan frenzy
18,Bag of Hammers,Thao + The Get Down Stay Down,thao-get-down-stay-down,,2:50,Infectious
19,BREAK
20,Blue Butterfly (feat. Kid Moxie),The Gaslamp Killer,gaslamp-killer,Heart Math,1:57,Bossa me
21,Energia Racional,Tim Maia,tim-maia,Racional Vol. 2,2:51,More is needed
22,Charles Francis Richter,Artichoke,artichoke,26 Scientists Volume Two Newton - Zeno,3:13,Important facts
23,Substitute,The Who,who,,3:48,For Keith
24,BREAK
25,Three Years Ago Today,Built To Spill,built-to-spill,Ultimate Alternative Wavers,3:56,From their fuzzy debut
26,On a Slow Night,Metric,metric,,4:37,Slowly Canadian
27,Hey Tía!,Mexican Institute of Sound,mexican-institute-of-sound,,3:52,Viva el tuto!
28,Roses Are Free,Ween,ween,Chocolate and Cheese,4:35,The sound of Ween’s happiest album
29,BREAK
30,Something New,The Decibels!,decibels,Big Sounds Again,2:18,Big power pop
31,Carl Sagan,The Boneless Children Foundation,boneless-children-foundation,,2:08,Billions of stars
32,Hate Everyone But You,Habibi,habibi,Anywhere But Here,2:24,Very many Cub
33,BREAK
34,That Loneliness,Jagwar Ma,jagwar-ma,Howlin,2:52,For Angela
35,Blue Collar Jane,The Strypes,strypes,Snapshot,2:51,USA! USA!
36,14,Palma Violets,palma-violets,180,8:06,Long and sloppy or hidden track?
37,BREAK
38,Push,Phoenix Afrobeat Orchestra,phoenix-afrobeat-orchestra,PAO!,7:22,Rolling thunder
