sequence,song,artist,artist_slug,album,time,notes
1,Bottle Rocket Baby,Old 97's,old-97-s,Twelfth,3:28,Hot sauce for your ears
2,Dennis Hopper in Easy Rider,2nd Grade,2nd-grade,Hit to Hit,1:33,Spelling it out
3,XO A,Golden Shoulders,golden-shoulders,Could This Be the End,2:44,Instant pacesetter
4,Freaky Rhesus,Duplex,duplex,Ablum by Duplex!,3:08,Crazy pieces
5,BREAK
6,Motorbike,House of Freaks,house-of-freaks,,4:06,That's a giant drum sound
7,Travelling Light,Noisettes,noisettes,,4:37,About time for a ballad
8,Fists of Violets,Sarah Alden ,sarah-alden,,3:44,So dramatic
9,Mind Power,Otto von Schirach,otto-von-schirach,,4:23,A bizarro B-52s
10,BREAK
11,Gen-Z,L.A. Witch,l-a-witch,Play With Fire,4:08,The end of the line
12,Plastic Jesus,The Flaming Lips,flaming-lips,Transmissions from the Satellite Heart,2:19,Via Cool Hand Luke
13,Wee Guys (Bobby's Got A Punctured Lung),The Just Joans,just-joans,The Private Memoirs And Confessions Of The Just Joans,3:17,Poor Bobby
14,Amponsah,Ebo Taylor,ebo-taylor,African Rare Groove : Rare Funky Songs from Africa,4:16,Happiness sound
15,BREAK
16,Elephant Walk,Lettuce,lettuce,Mt. Crushmore,3:04,Funky green stuff
17,Dump The Guy Asap,Lisa LeBlanc,lisa-leblanc,"Why You Wanna Leave, Runaway Queen?",3:26,Plinketty plunk
18,I Wanna Be Your Dog,decker.,decker,Into The Red,4:13,Everybody wants to be a dog
19,Will You Please Be Quiet Please?,The Districts,districts,Popular Manipulations,3:14,Go tell your mother
20,BREAK
21,Arp #1,Jackson And His Computerband,jackson-his-computerband,Glow,5:08,Arp is blast
22,Rolling,Soul Coughing,soul-coughing,El Oso,3:36,Rolling in what?
23,Ma Baker,Boney M.,boney-m,70's Disco - 40 Jahre Disco - Ilja Richter Prasentiert CD 1,4:06,More Moroder?
24,BREAK
25,Lipstick Twang,Messer Chups,messer-chups,Taste the Blood of Guitaracula,1:48,Ticky ticky
26,It's Not My Birthday,They Might Be Giants,they-might-be-giants,Miscellaneous T,1:52,Brilliant oddity
27,Travelling Ants Who Got Eaten By Moskus,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten By Moskus,5:45,Rolling frequencies
28,Near Mint,Holy Fuck,holy-fuck,Deleter,5:55,Into the swirling color tunnel
29,BREAK
30,Infinitesimal,Mother Mother,mother-mother,,2:57,"Reminds me of the Mints, Starlight"
31,Hepcat,Soul Quality Quartet,soul-quality-quartet,,3:54,I forgot the bag! Panic!
32,Hard to Mention,The Young Fresh Fellows,young-fresh-fellows,,3:21,Can't have enough
33,BREAK
34,The Seeker,Dexter Romweber,dexter-romweber,,2:11,The Who as porch music
35,Dollhouse,The Pack A.D.,pack-a-d,Dollhouse,3:34,Vancouver gold
36,Fever [Adam Freeland Remix],Sarah Vaughan,sarah-vaughan,Verve Remixed 3,4:38,Update
37,Saint Catherine Creek,matt pond PA,matt-pond-pa,Still Summer,2:02,Storytime
38,BREAK
39,Rained the Whole Time,Shlohmo,shlohmo,,5:26,"Go ahead, jiggle the handle"
