sequence,song,artist,artist_slug,album,time,notes
1,No Glory in the West,Orville Peck,orville-peck,Show Pony EP,4:14,Oh so lonesome sound
2,I Am Random,Leo Kottke & Mike Gordon,leo-kottke-mike-gordon,Noon,3:56,Definition of bounce
3,"Your Voice, as I Remember it",AJJ,ajj,Good Luck Everybody,2:58,Oddly subdued
4,Pelota,Khruangbin,khruangbin,Mordechai,2:48,Smooth rolling
5,BREAK
6,June 3rd,Mo Kenney,mo-kenney,The Details,2:08,Clearly an important date
7,Summertime In Your Lounge,Kane Strang,kane-strang,Two Hearts And No Brain,2:42,Almost like Marmoset
8,Squealer Two,Ty Segall,ty-segall,Emotional Mugger,3:24,With T Rex vapors
9,The State I Am In,Belle and Sebastian,belle-sebastian,The BBC Sessions,4:42,Scottish melancholy
10,BREAK
11,The Ruminant Band,Fruit Bats,fruit-bats,,3:21,From Chicago
12,Shut Your Mouth,The Donettes,donettes,,4:19,Sounds like old Motown
13,Henchman,Kirby Krackle,kirby-krackle,,3:34,It’s not easy being a henchman.
14,Mr. Bongo,Ursula 1000,ursula-1000,,2:12,Dance about the room
15,BREAK
16,Time To Cry,Whitney Rose,whitney-rose,Rule 62,3:58,Nice twang
17,Luv Like A Freak,Evolfo,evolfo,Last Of The Acid Cowboys,2:15,Dig that wandering bass
18,Der Letzte Spieltag (Erobique Rmx),Die Moulinettes,die-moulinettes,,6:08,Sauntering music
19,Hungry Ghost,Hurray For The Riff Raff,hurray-for-riff-raff,The Navigator,3:26,Funeral pyre
20,BREAK
21,Magic Bullet,My Morning Jacket,my-morning-jacket,The Waterfall II,5:12,Lurching forth
22,Musique Automatique,Stereo Total,stereo-total,Musique Automatique,3:20,From my mouth to your brain…
23,Como De Allstars,The Greyboy Allstars,greyboy-allstars,Como De Allstars,4:53,It’s about survival
24,Mondo A Go-Go!,Eat Static,eat-static,Crash & Burn!,5:07,Starting out spooky
25,BREAK
26,Pineapple Tuesday,The Jazz Butcher,jazz-butcher,,5:18,It’s a conspiracy
27,Tiny Fortunes,Deer Tick,deer-tick,Deer Tick Vol. 2,2:34,From the happy volume
28,No Baguettes In The Ghetto,Habiluim,habiluim,Shtetl Superstars,2:55,None to be found
29,BREAK
30,Stare and Stare,MC 900 Foot Jesus,mc-900-foot-jesus,,6:59,Long and drawn out and you liked it
31,I Shine,Infected Mushroom,infected-mushroom,,5:44,Israeli secret digital weapon
32,Benko (feat. Fatoumata Diawara & Damon Albarn),Rocket Juice & The Moon,rocket-juice-moon,,2:35,Stuttering like the stutter
33,BREAK
34,Kills To Be Resistant,Bully,bully,Losing,3:25,Don’t mess with the Bully
35,The Stars Get In The Way,Escape-ism,escape-ism,Introduction to Escape-Ism,3:25,It’s all about inconsistent destiny
36,Minor Waltz,Asylum Street Spankers,asylum-street-spankers,My Favorite Record,2:34,Wailing on the saw
37,Slowpoke,Pee Wee King,pee-wee-king,Pee Wee King's Country Hoedown,2:57,"Eight o’clock, nine o’clock, quarter to ten"
38,BREAK
39,Flavor,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,6:16,Who’s got the flavor?
