sequence,song,artist,artist_slug,album,time,notes
1,melatonezone,illuminati hotties,illuminati-hotties,FREE I.H: This Is Not The One You've Been Waiting For,2:13,Unsettled rhumba
2,Down By The Water (Demo),PJ Harvey,pj-harvey,To Bring You My Love - Demos,3:06,Even more raw
3,Closer to Me,Mike Pinto,mike-pinto,Everything I Got,2:44,Just Mike and his guitar
4,Time (You and I),Khruangbin,khruangbin,Mordechai,5:42,Channeling Tom Tom Club
5,BREAK
6,Beechwood Park,The Zombies,zombies,Odessey And Oracle: 50th Anniversary Edition,2:43,"Timeless, ageless"
7,The Decline of Nations,La Louma,la-louma,Let The World Be Flooded Out,3:27,Hymn for the skeptics
8,Melting,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flying Microtonal Banana,5:27,Snakecharming
9,I Don't Wanna Fall In Love,Saint Tropez,saint-tropez,St. Tropez,1:49,New old stuff
10,BREAK
11,Upbeat Ritual,Oh Sees,oh-sees,Protean Threat,2:11,It’s that thumping
12,Harmonix,Surfer Blood,surfer-blood,Astro Coast,4:46,Chiming sounds
13,Hey! Hey!,Moby & The Void Pacific Choir,moby-void-pacific-choir,These Systems Are Failing,4:23,Getting your attention
14,BREAK
15,Paan Man Boogie,"Kitty, Daisy & Lewis",kitty-daisy-lewis,Smoking In Heaven,4:10,Pounding instrumental
16,The Boyfriend Box,MTX,mtx,Yesterday Rules,2:43,Taught Green Day everything they know
17,Making Plans For Bison,Shonen Knife,shonen-knife,Pretty Little Baka Guy (2005 Reissue),2:07,I wish I'd come up with this song title
18,Tomato Madness,Bop Du Fway,bop-du-fway,Dispatch From Outville,3:13,I do want some T on my BL
19,BREAK
20,Kinder,David Garza,david-garza,This Euphoria,3:28,It's in my back pocket
21,Dancing Queen,Milo Binder,milo-binder,20 More Explosive Fantastic Rockin' Mega Smash Hit Explosions!,3:08,Clear away the clutter
22,These Days,Nico,nico,Femme Fatale,3:33,Fragile as steel
23,Steamed Juicy Little Bun,Kaki King,kaki-king,Cabbagetown,2:02,The juiciest
24,BREAK
25,Angola 3,Free Radicals,free-radicals,Outside the Comfort Zone,5:23,Easy funk swing
26,Jumping On Angels,Crocodiles,crocodiles,Dreamless,3:41,Deathly disco
27,Voyeurs,CFM,cfm,Dichotomy Desaturated,5:11,Just how it sounds
28,BREAK
29,S'il vous plait - シルブプレ,Otoboke Beaver - おとぼけビ〜バ〜,otoboke-beaver,Itekoma Hits - いてこまヒッツ,2:15,Highly charged
30,We Must Bleed,that dog.,that-dog,Germs (Tribute): A Small Circle Of Friends,1:39,Originally by the Germs
31,Number Three,They Might Be Giants,they-might-be-giants,They Might Be Giants,1:28,Blow your gaskets
32,That's What You Get With People Like That On Cruises Like These...,Solex,solex,Pick Up,3:02,Distracting kilter
33,BREAK
34,Paul Getty,The Scofflaws,scofflaws,The Scofflaws,2:30,He's a rudie
35,Howling Book,Eleven,eleven,Howling Book,4:31,"Don’t be sad, princess"
36,Weirdo,The Vaccines,vaccines,Come of Age,4:49,Something about the Vaccines
37,The Lark,Kalman Balogh,kalman-balogh,The Art of the Gipsy Cimbalom,3:47,"Manic violin, I tell you"
38,BREAK
39,Get Ready Now,Rinôçerôse,rinocerose,Schizophonia,4:32,Don’t be a late starter
