sequence,song,artist,artist_slug,album,time,notes
1,Political Song for Michael Jackson to Sing,Superchunk,superchunk,Good Music to Avert The Collapse Of American Democracy,1:31,A bold choice
2,From Nothing To Nowhere,Pinback,pinback,Autumn of the Seraphs,3:28,Urgent missive
3,Baby's Way Cruel,Guv'ner,guv-ner,Knight Moves,3:00,Way cruel
4,BREAK
5,Up So Close,Cake,cake,Motorcade of Generosity,3:14,Nice and drumless
6,Captains of Industry (ft. MC Lars),MC Frontalot,mc-frontalot,Donald Trump Has Really Bad Morals,4:07,All of those who sell t-shirts
7,Andrew In Drag,The Magnetic Fields,magnetic-fields,Love at the Bottom of the Sea,2:12,Hard to mistake that voice
8,BREAK
9,These Are My Friends,Fantastic Negrito,fantastic-negrito,Have You Lost Your Mind yet?,3:45,Growling admission
10,Born Stoned,Push Kings,push-kings,Feel No Fade,3:59,Never change my mind
11,Junior Pyromaniacs,Hypnolovewheel,hypnolovewheel,Space Mountain,2:21,Just getting started
12,BREAK
13,Rock 'n' Roll Pest Control,Young Fresh Fellows,young-fresh-fellows,The Fabulous Sounds of the Pacific Northwest,2:51,Been thinking about vacation trip?
14,Candy Bar,Apache Dropout,apache-dropout,Bubblegum Graveyard,1:53,What is up wiith these guys
15,Lays At Rest,The Orwells,orwells,Remember When,3:59,Return of the Seattle slop
16,La Boquilla,Bomba Estereo,bomba-estereo,Blow Up,3:57,Esta elextrico
17,BREAK
18,Core Shift,Yello,yello,Point,3:00,Same low hustle
19,Clint Eastwood,Gorillaz,gorillaz,Gorillaz,5:42,All the way to the beginning
20,Into The Sun,Locksley,locksley,Don't Make Me Wait,2:51,Glorious harmonies
21,Sanity,Sneaks,sneaks,Happy Birthday,5:59,"Mother’s little helper, updated"
22,BREAK
23,Bop Wax,Deke Dickerson,deke-dickerson,Eponymously Entitled,2:16,It's all about the records
24,Au Revoir (Adios),The Front Bottoms,front-bottoms,Talon Of The Hawk,1:49,Hitting it hard
25,It'll Get You There,Rilo Kiley,rilo-kiley,Rkives,5:02,Their Bettie Serveer-est
26,Bloodshot Eyes,Cherry Poppin' Daddies,cherry-poppin-daddies,"White Teeth, Black Thoughts",2:31,Back and burning with vengeance
27,BREAK
28,Nate Smith Is the Ace of Aces,The Fearless Flyers,fearless-flyers,Tailwinds,2:17,Of this there is no doubt
29,Pump It Up,Elvis Costello,elvis-costello,This Year’s Model,3:18,When you don’t really need it
30,Shake It Up,Nortec Collective,nortec-collective,Tijuana Sound Machine,3:35,March to shake
31,That's That,Cass McCombs,cass-mccombs,Dropping the Writ,4:14,Eating up the miles
32,BREAK
33,Golden Oceans,Chad VanGaalen,chad-vangaalen,Light Information,2:07,Drenched in reverb
34,Mediocre Jokers,The Safes,safes,Tasty Waves,2:01,There are plenty of them
35,NO,Great Grandpa,great-grandpa,Plastic Cough,1:44,Frantic crashing pop mess
36,Light of Loving,Faith Healer,faith-healer,Try ;-),5:12,Droning in the zone
37,BREAK
38,Beat and The Pulse (Still Going remix),Austra,austra,Motion Sickness (Disc 1),6:07,ICU music
