sequence,song,artist,artist_slug,album,time,notes
1,Moving On,The Gaslamp Killer,gaslamp-killer,Heart Math,4:32,Clattering away
2,Tales of Brave Ulysses,Cream,cream,Disraeli Gears,2:47,Tiny purple fishes
3,Whirlwind,Arto Lindsay,arto-lindsay,Noon Chill,4:37,Spinning around
4,Space Movement Section 4,Creation Rebel,creation-rebel,Adrian Sherwood Presents The Master Recordings Vol. 2,3:18,"The Mars-Ceres leg, I believe"
5,BREAK
6,The Way,Fastball,fastball,All the Pain Money Can Buy,4:17,Anthem for the lost
7,Summer Rain,The Invisible Hands,invisible-hands,The Invisible Hands,2:58,Plodding but likeable
8,Mussolini And Squirrel,Sex Clark Five,sex-clark-five,Rembrandtx,1:17,That was it?
9,Don't Fence Me In,David Byrne,david-byrne,Cover To Cover (Disc Two),3:15,So so byrny
10,BREAK
11,Another Doomed Relationship,The Just Joans,just-joans,The Private Memoirs And Confessions Of The Just Joans,3:19,Synthopia beckons
12,First Form,Great Shapes,great-shapes,Somewhere In Between,4:31,Bring your own disco lights
13,A Penny For Your Brain,Shibboleth,shibboleth,Shibboleth,2:32,Sesame avenue
14,Carnival Of Souls,Combustible Edison,combustible-edison,"I, Swinger",3:13,Spooooky
15,BREAK
16,Paranoia,Holiday Ghosts,holiday-ghosts,Holiday Ghosts,2:49,Gimme that yellin’
17,Against The 70's,Mike Watt,mike-watt,Ball-Hog Or Tugboat?,3:28,The kids of today
18,Pockets Full Of No,Coast Modern,coast-modern,Coast Modern,3:24,Bouncy AF
19,BREAK
20,The Dropouts,Old 97's,old-97-s,Twelfth,3:44,The same ole lament
21,Coffee,Split Lip Rayfield,split-lip-rayfield,Split Lip Rayfield,2:05,It’s critical
22,La Costa Perdida,Camper Van Beethoven,camper-van-beethoven,La Costa Perdida,4:19,Showing their roots
23,Coolest Fools,Delta Moon,delta-moon,Everybody Loves You,2:51,High aspirations
24,BREAK
25,Freedom of Choice,Devo,devo,Freedom of Choice - The DEVO-Lux Edition,3:29,Never more true
26,Thank You,Baby In Vain,baby-in-vain,More Nothing,2:54,So charmingly unhinged
27,Dope on a Rope,The Growlers,growlers,City Club,4:10,More dark disco
28,Pick Up The Pieces,Curse of Lono,curse-of-lono,Severed,3:10,For fans of Ralph Steadman
29,BREAK
30,I Wanna Be Forgotten,Bass Drum Of Death,bass-drum-of-death,Bass Drum Of Death,2:22,Allow the music to commencicate
31,The Hours,Beach House,beach-house,Bloom,4:12,Starts Beatles-like
32,His Train,Jason Falkner,jason-falkner,Necessity,3:41,Genius of chords
33,BREAK
34,Yoruba,Nano Banton,nano-banton,Inna De Bedroom,2:35,Feeling tribal
35,Oops,Tipsy,tipsy,Trip Tease,3:46,The navigation computer malfunctions
36,One Everything,Chris Murray,chris-murray,4-Trackaganza!,3:08,Join the singularity
37,Static Somewhere,Girlpool,girlpool,Powerplant,3:39,Keeping it steady
38,BREAK
39,Rattlesnake,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flying Microtonal Banana,7:48,Weirdly sliced riffs
