sequence,song,artist,artist_slug,album,time,notes
1,Coin,The Bobby Lees,bobby-lees,Skin Suit,2:45,A dire threat
2,What Do I Get?,The Buzzcocks,buzzcocks,Another Music in a Different Kitchen,2:57,Never to be answered
3,Toadstool,Oh Sees,oh-sees,Protean Threat,4:57,Implacable as always
4,The Monkey Steals The Peaches,Sir Millard Mulch,sir-millard-mulch,How to Sell the Whole F#@!Ing Universe to Everybody... Once and for All! (Collection 1: Success),3:19,With a cameo from a famous jug band
5,BREAK
6,Ambush,The Fearless Flyers,fearless-flyers,Tailwinds,1:03,Not expecting that
7,Corner Store,Girlpool,girlpool,Powerplant,1:31,Overstimulated
8,Reflections In A Plastic Glass,The High Llamas,high-llamas,Lollo Rosso,5:13,Fractured sounds
9,Carry On,Secret Colours,secret-colours,Feed The Machine,3:08,Tramping and stomping
10,BREAK
11,"Uncle Walter (Kool Haus, Toronto, Ontario, Canada, 10/5/12)",Ben Folds Five,ben-folds-five,Live,4:02,Best fuzz bassist ever
12,Generational Synthetic,Beach Fossils,beach-fossils,Clash The Truth,2:45,Space station surf
13,Sweet Little Sixteen,The Refreshments,refreshments,Let it Rock the Chuck Berry Tribute,3:25,Innuendo!
14,BREAK
15,Speed of the Sound of Loneliness,Kurt Vile,kurt-vile,"Speed, Sound, Lonely KV (ep)",5:15,Classically John Prine
16,Weeping Willow,Ray LaMontagne,ray-lamontagne,MONOVISION,3:23,Forever Everly
17,Now I'm Learning to Love the War,Father John Misty,father-john-misty,Fear Fun,4:19,I don’t think he’s being sincere
18,Turn Off The TV,Old 97's,old-97-s,Twelfth,2:44,Always a good plan
19,BREAK
20,Kungen,Love Is All,love-is-all,Polyvinyl 15-Year Anniversary Sampler,2:47,So Swedish!
21,I Thank You,ZZ Top,zz-top,The Complete Studio Albums 1970-1990,3:25,Get ready for the ZZ jag
22,Pinball King,Oblivians,oblivians,Desperation,1:55,Loud hot and dumb
23,BREAK
24,Hail Bop,Django Django,django-django,,4:04,A cometary band
25,"Neon, Not The Night",Marcellus Hall,marcellus-hall,,3:36,A surprising number of Marcellus Halls on Twitter
26,The Fox,Rondelles,rondelles,,2:14,World’s best keyboardist/drummer
27,Pep Sounds,Zero Zero,zero-zero,,2:47,Off in orbit
28,BREAK
29,Brian,L.A. Witch,l-a-witch,L.A. Witch,4:04,"Like Mazzy Star, but meaner"
30,"Mesa, AZ",Guantanamo Baywatch,guantanamo-baywatch,Desert Center,1:47,"Not this Mesa, but it works"
31,This House Ain't a Home,Coco Hames,coco-hames,Coco Hames,2:06,Old fashioned in a way
32,BREAK
33,San Sebastian,Holy Fuck,holy-fuck,Deleter,3:14,It’s a heavy grind
34,content//bedtime,illuminati hotties,illuminati-hotties,FREE I.H: This Is Not The One You've Been Waiting For,4:14,The ever-present conflict
35,Hooked on Classics (feat. The Heliocentrics),The Gaslamp Killer,gaslamp-killer,Heart Math,3:32,"Jazzed-out fugues, man"
36,Goddess On A Hiway,Mercury Rev,mercury-rev,V2 Unes Sampler,3:45,It ain’t gonna last
37,BREAK
38,Four,Jagwar Ma,jagwar-ma,Howlin,6:32,Four what?
