sequence,song,artist,artist_slug,album,time,notes
1,Faith,Sneaks,sneaks,Happy Birthday,2:38,Who owns it?
2,Casting Agents and Cowgirls,Busdriver,busdriver,RoadKillOvercoat,3:17,Try keep up
3,War,IDLES,idles,Ultra Mono,3:07,Don’t break eye contact
4,Deep Blue Day,Brian Eno,brian-eno,Apollo: Atmospheres and Soundtracks,3:56,Good for a cooldown
5,BREAK
6,48 Roses,Mariachi El Bronx,mariachi-el-bronx,,3:38,Their second is taking longer to grow on me
7,Afterglow,The Phenomenal Handclap Band,phenomenal-handclap-band,,4:08,"Hey, reverb!"
8,Take Off (Nicola Conte's 'Campi's Idea' Version),Marco Di Marco,marco-di-marco,,4:40,Get your tanlines
9,Happy Hour,The Housemartins,housemartins,,2:22,Happy hour for Steve
10,BREAK
11,Masonic Temple Microdose #1,Blitzen Trapper,blitzen-trapper,Holy Smokes Future Jokes,3:39,Let the psychedelics begin
12,Nurse Ratched,Cherry Glazerr,cherry-glazerr,Apocalipstick,3:02,Part of the new mythology
13,Dance Jack Palance,The Gomers,gomers,Mike Zirkel The Album,2:52,Nothing left to do under the circumstance
14,Little Lord Fontleroy,Quasi,quasi,The Sword of God,3:34,A stately procession
15,BREAK
16,Time Coast,Robyn Hitchcock,robyn-hitchcock,Robyn Hitchcock,3:42,The unflappable Mr. Hitchcock
17,Empty Kicks,Kelley Stoltz,kelley-stoltz,Que Aura,4:20,Straight outta the ‘70s
18,Breakers,Ephrata,ephrata,Ephrata,4:28,Reminiscent of Lush
19,BREAK
20,Mierda De Toro,The Budos Band,budos-band,Long in the Tooth,3:07,Music for our times
21,See Breeze,Talvin Singh,talvin-singh,Ha,4:54,Hindi beats
22,Psycopathia Mojosexualis,Yohimbe Brothers,yohimbe-brothers,Front End Lifter,2:57,Underwater dreaming
23,Modern Day Problems,Bananagun,bananagun,The True Story of Bananagun,2:54,Need modern day solutions
24,Full On Idle,The Breeders,breeders,Title TK,2:37,Some acceleration is also involved
25,BREAK
26,Sommer,Housemeister,housemeister,Music is Awesome,4:50,Twiddling the knobs
27,"Come On, Let's Talk About Our Feelings",Fight Like Apes,fight-like-apes,The Body of Christ and the Legs of Tina Turner,3:33,They sound quite sincere
28,I Ain't The Same,Alabama Shakes,alabama-shakes,Boys & Girls,2:58,Deep southern soul
29,Pumpkin Time,World Inferno Friendship Society,world-inferno-friendship-society,East Coast Super Sound Punk of Today!,4:40,It's that time again
30,BREAK
31,"Is Chicago, Is Not Chicago",Soul Coughing,soul-coughing,Ruby Vroom,3:49,Look it up on the internet
32,Tunnel Time,Thee Oh Sees,thee-oh-sees,Floating Coffin,4:10,Zuzzing through the new one
33,Brighter Than Gold,The Cat Empire,cat-empire,Steal The Light,3:20,From Melbourne Australia!
34,Bomb Pop,The Greyboy Allstars,greyboy-allstars,Inland Emperor,6:27,Banging on it all night
35,BREAK
36,Hate this Pain (feat. Marta),Tricky,tricky,Fall to Pieces,3:24,Get out the Borg scale
37,Hot Pan,Yello,yello,Point,3:17,Got the sizzles
38,A Go Go,Truby Trio,truby-trio,Berlin Lounge - Berlin By Night 12.00 AM (Disc 2),3:21,Spy theme
39,Realistic Source,Bostich,bostich,Moog Soundtrack,4:01,Analog sounds
40,BREAK
41,Rats in Ruin,All Them Witches,all-them-witches,Nothing as the Ideal,9:11,A slow demise
