sequence,song,artist,artist_slug,album,time,notes
1,Holy Smokes Future Jokes,Blitzen Trapper,blitzen-trapper,Holy Smokes Future Jokes,4:58,A gentle approach
2,Wildflowers,Tom Petty,tom-petty,Wildflowers & All The Rest (Super Deluxe Edition),3:12,Pure unfiltered genius
3,Dress,PJ Harvey,pj-harvey,Dry - Demos,3:17,If you put it on
4,Pigs On The Wing 2,Les Claypool's Frog Brigade,les-claypool-s-frog-brigade,Live Frogs,2:00,High above the factories
5,BREAK
6,Panik,Heavy Trash,heavy-trash,Panik,2:04,From NOO YOCK CIDDEH!
7,Agua De Beber,Montefiori Cocktail,montefiori-cocktail,Montefiori Appetizer Vol. 1,3:54,From Italy!
8,Cars,To Roccoco Rot,to-roccoco-rot,The Amateur View,2:59,From Germany!
9,Banana Meltdown,Dub Narcotic Sound System Meets The Jon Spencer Blues Explosion,dub-narcotic-sound-system-meets-jon-spencer-blues-explosion,Dub Narcotic Sound System meets The Jon Spencer Blues Explosion in a Dancehall Style!,2:56,From Olympia!
10,BREAK
11,Riddle Daddy,The Bobby Lees,bobby-lees,Skin Suit,3:43,Good question
12,Somebody's Gonna Get Their Head Kicked In Tonight,The Rezillos,rezillos,Can't Stand The Rezillos,1:56,Alright!
13,Canopnr '74,Oh Sees,oh-sees,Protean Threat,3:01,Flying saucer AM radio
14,December 21,The Snitches,snitches,,2:24,Calendar time
15,BREAK
16,Ghostwriter,Garotas Suecas,garotas-suecas,,3:28,"Hey Doug, have some!"
17,Live At Budokan,Gallygows,gallygows,,2:35,"The Beatles’ Budokan, not Cheap Trick’s"
18,The Ruminant Band,Fruit Bats,fruit-bats,,3:21,"Bats aren’t ruminant, are they?"
19,Humo En El Agua,Señor Coconut And His Orchestra,senor-coconut-his-orchestra,,4:48,You may recognize this.
20,BREAK
21,La Que Me Gusta,Los Amigos Invisibles,los-amigos-invisibles,Repeat After Me,4:00,It's the Venezuelan Walking on Sunshine
22,User-Friendly Guide to Change,Chris Robley + the Fear of Heights,chris-robley-fear-of-heights,Movie Theatre Haiku,2:55,Startling composition
23,What Quid?,"Kitty, Daisy & Lewis",kitty-daisy-lewis,Smoking In Heaven,7:31,Jamming it out
24,BREAK
25,I Turned Into A Martian,The Misfits,misfits,The Misfits Box Set,1:44,"Walked like an Egyptian, too"
26,Shelby Jenkins,Chris + Tad,chris-tad,Hand Me That Door,0:32,Don’t blink
27,A Skit About Vocations,MC Frontalot,mc-frontalot,Final Boss,1:46,Outdated already
28,I’m in the Doorway (feat. Oh. Land),Tricky,tricky,Fall to Pieces,2:52,Siren calling
29,BREAK
30,Becomings,The Fresh & Onlys,fresh-onlys,Wolf Lie Down,4:15,The sound of dust
31,Tongue Tied,A Giant Dog,a-giant-dog,Toy,2:28,A lot like X
32,Emotions and Math,Margaret Glaspy,margaret-glaspy,Emotions and Math,3:17,Clearly complicated stuff
33,Luna De Miel,Alejandro Escovedo,alejandro-escovedo,Burn Something Beautiful,2:57,Still burning!
34,BREAK
35,Sixth Hammer,The Budos Band,budos-band,Long in the Tooth,3:16,Music for the Sahara patrol
36,Mucang'ang'o Ugiraga Mukindirio,Rift Valley Brothers,rift-valley-brothers,"Kenya Special, Vol. 2",4:52,For a new day
37,Machinery Hill,Flour,flour,Machinery Hill,3:00,Chicago noise days
38,Special Designer Song,Wagon Christ,wagon-christ,Recepticon,4:19,Who samples Negativland?
39,BREAK
40,Connect,Schrasj,schrasj,,7:31,Not as noisy as it seems.
