sequence,song,artist,artist_slug,album,time,notes
1,Lonely Heather,The Nude Party,nude-party,Midnight Manor,2:07,Everyone brought drinks
2,Mean Girl (Early Mix),Status Quo,status-quo,Peephole In My Brain. The British Progressive Pop Sound Of 1971,3:52,From the early days of a 50-year career
3,Destination Danger,Four Corners,four-corners,Say You're a Scream,2:26,Arriving some time later
4,Flathead,The Fratellis,fratellis,Costello Music,3:19,The Glasgow sound
5,BREAK
6,It's Gonna Be A Long Night,Ween,ween,,2:50,Indeed it is.
7,Part Time Punks,The Airwaves,airwaves,,2:54,Or is it new wave?
8,Flowers,The Kazimier Krunk Band,kazimier-krunk-band,,3:49,Let’s have some ska polka
9,"1, 2, 3, Probando",Kinky,kinky,,2:07,"1 2 3 Check, y’all"
10,BREAK
11,The KKK Took My Baby Away,Drive-By Truckers,drive-by-truckers,The New OK,2:31,Originalmente de los Ramones
12,Cry Baby,Janis Joplin,janis-joplin,Pearl,3:58,Boo hoo
13,Mr. Big Stuff,Jean Knight,jean-knight,Mr. Big Stuff,2:31,An outlandish self-valuation
14,On Your Radio,Joe Jackson,joe-jackson,I'm the Man,4:01,The warm glow of tubes
15,BREAK
16,That Train Don't Stop Here,Los Lobos,los-lobos,Kiko,3:52,Two decades ago
17,Early Morning,Jungle Brothers,jungle-brothers,V.I.P.,5:33,Apropos
18,Shark Attack,Split Enz,split-enz,History Never Repeats,3:00,Love those keyboards
19,Grown So Ugly,Al Lover,al-lover,Safe As Milk Replica ,2:16,Wandering attention
20,BREAK
21,Just Dropped In (To See What Condition My Condition Was In),Sharon Jones & The Dap-Kings,sharon-jones-dap-kings,Just Dropped In (To See What Condition My Rendition Was In),3:01,Condition red hot
22,Signal In The Sky (Let's Go),The Apples In Stereo,apples-in-stereo,Heroes & Villains,3:27,A song for initiative!
23,"Hey Ho, Let's Not Go",The Just Joans,just-joans,The Private Memoirs And Confessions Of The Just Joans,2:46,A song for apathy!
24,I Stick The Doll With Burning Pins,Greezy Wheels,greezy-wheels,String Theory 2.0,3:33,Very quite regrettable behavior
25,BREAK
26,"Get Up, Stand Up (Thievery Corporation Remix)",Bob Marley & The Wailers,bob-marley-wailers,Legend Remixed,4:22,Still digging through this
27,No Waves,The Shivas,shivas,Whiteout,4:36,Save me surfing Portland
28,Stone Letter,Tomahawk,tomahawk,Oddfellows [Bonus],2:52,"It's got Jesus Lizards, can't go wrong"
29,Interference,Cop Shoot Cop,cop-shoot-cop,Release,4:15,A thumping like only the 90s can offer
30,BREAK
31,That's Alright,Baby Jesus,baby-jesus,Took Our Sons Away,3:20,So sloppy and beautiful
32,Face Of God,The Drums,drums,Encyclopedia,4:02,High and wailing
33,Avalon,Foxygen,foxygen,Hang,3:47,So very fruity!
34,Anonymous Skulls,Medeski Martin & Wood,medeski-martin-wood,End of the World Party (Just in Case),4:25,Spooky jazz for Halloween
35,BREAK
36,OD'd in Denver (feat. Matt Sweeney),Bill Callahan & Bonnie 'Prince' Billy,bill-callahan-bonnie-prince-billy,OD'd in Denver,3:30,Grim stuff
37,Heartbreak Boulevard,Messer Chups,messer-chups,Don't Say Cheese,1:47,The bright lights
38,Mary Anning,Artichoke,artichoke,"26 Scientists, Vol. 1: Anning - Malthus",2:22,Fossil collector
39,Sing Sing Sing,Flat Duo Jets,flat-duo-jets,Wild Wild Love,3:10,No such thing as overreverberation
40,BREAK
41,New Moon,MC 900 Ft Jesus,mc-900-ft-jesus,,11:41,"Spooky, eh?"
