sequence,song,artist,artist_slug,album,time,notes
1,Model Village,IDLES,idles,Ultra Mono,3:56,Sounds like a lovely place
2,Burn and Rob,Paleface,paleface,,2:26,That rock and roll
3,Hula Blues,Herb Remington,herb-remington,,1:48,Sliding swagger
4,"will i get cancelled if i write a song called, ""if you were a man you'd be so cancelled""",illuminati hotties,illuminati-hotties,FREE I.H: This Is Not The One You've Been Waiting For,1:15,Wake up!
5,BREAK
6,Hello Hello,Hello,hello,EP,3:13,Too many hellos? Hardly
7,Down With People,The Rock*A*Teens,rock-a-teens,The Rock*A*Teens,3:56,Yow that thuds
8,In The Jailhouse Now,Soggy Bottom Boys Featuring Tim Blake Nelson,soggy-bottom-boys-featuring-tim-blake-nelson,"O Brother, Where Art Thou?",3:36,From the soundtrack to O Brother Where Art Thou
9,Your Pulse,Robb Benson & The Shelk,robb-benson-shelk,Cursive Falls From The Sky,2:11,It's got all the right notes to melt steel
10,BREAK
11,Smile a Little Smile for Me,Yo La Tengo,yo-la-tengo,Sleepless Night,3:12,From the gentle side of YLT
12,The Record Store,The Brunettes,brunettes,Mars Loves Venus,2:59,A bit old-fashioned
13,"Lay Down Your Head, Child",Oranger,oranger,The Quiet Vibration Land,3:49,After the gold rush
14,More Than This,Robyn Hitchcock,robyn-hitchcock,,3:51,Originally by Roxy Music
15,BREAK
16,Camelus,John Scofield,john-scofield,Uberjam Deux,5:17,It's the afrobeat
17,Shimmy,North Mississippi Allstars,north-mississippi-allstars,World Boogie Is Coming,3:01,Shimmy she wobble
18,Piano Drone,It Hugs Back,it-hugs-back,Recommended Record,5:15,Delivering on its promise
19,BREAK
20,Your Type,Alvvays,alvvays,Antisocialites,2:04,Frantic
21,Stars Over Dakota,Terra Lightfoot,terra-lightfoot,New Mistakes,3:12,Loving that voice
22,We Got The Gun,Clint Mansell,clint-mansell,Pi,4:52,Superb
23,On The Lips,JD McPherson,jd-mcpherson,Undivided Heart & Soul,3:41,Hard to believe
24,BREAK
25,Sing Sing,Elvis Perkins,elvis-perkins,Creation Myths,5:10,Suave drifting
26,Shoop Shoop Diddy Wop,Monte Video,monte-video,,2:48,Lose control
27,In My Room,Yazoo,yazoo,Upstairs at Eric's (2008 Remastered Version),3:53,Echoes and under thoughts
28,Back To Hell,Zero Zero,zero-zero,A.M. Gold,2:50,On the road music
29,BREAK
30,Hell,Squirrel Nut Zippers,squirrel-nut-zippers,Hot,3:15,Still a hit
31,Isolation,The Vaccines,vaccines,Home Is Where The Start Is (Home Demos 2009 - 2012),4:54,Raw and unpasteurized
32,Tomorrow,Clinic,clinic,Do It!,3:30,Thrumming bumping
33,Get Out Of My Songs,Bark Bark Disco,bark-bark-disco,Get Out Of My Songs,2:20,"Do it, woman"
34,BREAK
35,Soft Drugs,Mad Professor,mad-professor,40 Years of Dub,3:55,Take as needed
36,Disko Partizani,Shantel,shantel,Disko Partizani,4:53,The queen of Transylvania
37,Flight IC408,State Of Bengal,state-of-bengal,Visual Audio,5:57,It’s a 14-hour flight
38,The Times They Are a-Changin,Medeski Scofield Martin & Wood,medeski-scofield-martin-wood,Juice,3:41,An understated version
39,BREAK
40,XCV Noir,Fila Brazillia,fila-brazillia,From The DATs,5:35,Digital artifact
