sequence,song,artist,artist_slug,album,time,notes
1,Gin Tonic State of Mind,A Tale of Golden Keys,a-tale-of-golden-keys,The Only Thing That's Real,3:11,Indie to the core
2,Golden Phone,Micachu & The Shapes,micachu-shapes,Jewellery,2:44,Can you ring me back?
3,Yahoo,Neil Cicierega,neil-cicierega,Mouth Dreams,2:13,Of unearthly origin
4,Radio Shack,Vulfpeck,vulfpeck,"The Joy of Music, The Job of Real Estate",3:17,Goin’ out to Dylan
5,BREAK
6,12 Juin 3049,Caravan Palace,caravan-palace,,3:23,Wandering about the decades
7,A Walk On the Bleach,Strange Boys,strange-boys,,3:06,Austin’s strangest
8,How Can U Luv Me,Unknown Mortal Orchestra,unknown-mortal-orchestra,,3:28,Portland detritus
9,Tippi Toes,Primus,primus,,1:27,Originally by the Meters
10,BREAK
11,Russell,The Bobby Lees,bobby-lees,Skin Suit,2:42,Are you there?
12,Shark Attack,Split Enz,split-enz,True Colours,2:59,Antipodean Oingo Boingo
13,Open Air,Temples,temples,Volcano,4:48,Breathing free
14,Bring On The Night,The Police,police,,4:18,Tinkling into the evening
15,BREAK
16,If I Were Lucky,Once For Kicks,once-for-kicks,The World Of Dr. Illteams,2:09,Fuzzy fuzz
17,That Sound,Dappled Cities,dappled-cities,IIIII,3:36,Australian retro
18,Nuclear Fusion,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flying Microtonal Banana,4:15,Never gets old
19,Out My Eyes,The Moore Brothers,moore-brothers,,2:41,Never enough of this song
20,BREAK
21,"Pardon Me, Satan",The Nude Party,nude-party,Midnight Manor,3:45,Quite polite
22,WATTBL,illuminati hotties,illuminati-hotties,FREE I.H: This Is Not The One You've Been Waiting For,1:24,Mind your fingers
23,Betty Crocker Punk Rocker,Furious George,furious-george,Heide Sez (Lookout Records 1996 Sampler CD),1:22,Featuring George Tabb
24,Intermediate,Uptown Sinclair,uptown-sinclair,Uptown Sinclair,3:21,The many talents of Dave Hill
25,BREAK
26,Mendoza,The Manatees,manatees,Snackin' With The Manatees,4:27,Pretty sprightly for manatees
27,"Punjabis, Pimps + Players",Bombay The Hardway,bombay-hardway,Bombay The Hardway,3:03,With the talents of Dan the Automator
28,Sugar Hiccup,Cocteau Twins,cocteau-twins,Head Over Heels,3:42,It's chiming
29,You Are Never Alone,Socalled,socalled,Ghettoblaster,4:31,For Jewish cowboys everywhere
30,BREAK
31,Get On This Plane,The Cambodian Space Project,cambodian-space-project,Electric Blue Boogaloo,3:04,Retrodelicious
32,Dreamweaver,Valis,valis,,4:28,"Yeah, I don’t know either"
33,L'Heros,The Pinker Tones,pinker-tones,The Million Colour Revolution,4:19,Straight outta Barcelona
34,Utopia,Lunchbox,lunchbox,After School Special,1:36,Fast blaster
35,BREAK
36,I'm Getting Skinny,Mayor McCa,mayor-mcca,Me Is He,1:37,Companion to a song about getting fat
37,Family,Hanni El Khatib,hanni-el-khatib,Head In The Dirt,2:27,shake the tree
38,Vessel of Love,Hollie Cook,hollie-cook,Vessel of Love,3:31,Gently floating
39,Cuñado,Banana Hammock,banana-hammock,,1:51,Estamos casados!
40,BREAK
41,Substyle,Dub Syndicate,dub-syndicate,Adrian Sherwood Presents The Master Recordings Vol. 2,5:51,Undulating frequencies
