sequence,song,artist,artist_slug,album,time,notes
1,Gear Summer,Young Fresh Fellows,young-fresh-fellows,Toxic Youth,3:09,Endless gear summer
2,Debt Song,Matthew Squires,matthew-squires,Tambaleo,3:13,In the flow
3,Come To My Rescue,Dunia & Django,dunia-django,"Roots, Branch and Stem",3:43,What a vibraslap
4,Give Me One Reason,Tracy Chapman,tracy-chapman,New Beginning,4:32,She really means it
5,BREAK
6,True Men Don't Kill Coyotes,Red Hot Chili Peppers,red-hot-chili-peppers,,3:40,Original freaks
7,Sametown,Cherry,cherry,Dumbness,3:29,Repetition repeats
8,Chicken Woman,Starcrawler,starcrawler,Starcrawler,3:58,From Kids in the Hall?
9,French Press,Rolling Blackouts Coastal Fever,rolling-blackouts-coastal-fever,The French Press,5:27,More coffee
10,BREAK
11,Earth to Dora,Eels,eels,Earth to Dora,3:43,A message to the stars
12,Iris,Elvis Perkins,elvis-perkins,Creation Myths,3:50,It’s very romantic
13,(I Got A) Stomach Ache,Buddy Guy,buddy-guy,Frett'n The Blues,3:28,"Oooh, ouch"
14,Love-Lore 5 (Velvet Underground/Laurie Anderson),Deerhoof,deerhoof,Love-Lore,5:12,Heavy drone
15,BREAK
16,Oscuridad,Los Pericos,los-pericos,,4:14,"Hola, Sting"
17,Man In A Suitcase,The Police,police,,2:20,Is it me?
18,We Don't Need Money to Have a Good Time,The Subways,subways,,3:13,They mean business
19,Out the Door,Ben Kweller,ben-kweller,,3:42,I like the new album
20,BREAK
21,Can't Get Out,Woods,woods,Strange To Explain,5:19,Jangle the clave
22,The River Song,The Extra Glenns,extra-glenns,Martial Arts Weekend,3:26,A letter from the dry city’s heart
23,Coming to Get You Nowhere,This Is The Kit,this-is-kit,Off Off On,3:21,Full lilt ahead
24,Fake Plastic Trees,A Giant Dog,a-giant-dog,Toy,3:02,Nothing to do with Radiohead
25,BREAK
26,Golden Years,David Bowie,david-bowie,Station To Station [2016 Reissue],4:03,Remastered and funky
27,Coins In My Caged Fist,Liars,liars,TFCF,3:20,Oddly metered
28,You're Like Me,Ted Leo,ted-leo,The Hanged Man,3:50,Sans Pharmacists
29,BREAK
30,"Same Ol', Same Ol' Recording",Wagon Christ,wagon-christ,Recepticon,4:05,"Hello, Uncle Billy"
31,La Maltratada,La Dame Blanche,la-dame-blanche,Ella,2:57,Won’t be mistreated
32,Gwarn!,Pato Banton + The Reggae Revolution,pato-banton-reggae-revolution,Live And Kickin All Over America,4:46,Can’t be rushed
33,People Together,DJ Me DJ You,dj-me-dj-you,Can You See The Music,3:35,"Also, buffalo wings"
34,BREAK
35,Same Pattern,Kelley Stoltz,kelley-stoltz,Que Aura,5:20,Journey to somewhere
36,Don't Know Why,Slowdive,slowdive,Slowdive,4:37,gazerrs
37,Ugly,Fishbone,fishbone,Fishbone 101 - Nuttasaurusmeg Fossil Fuelin' The Fonkay [Disc 1],2:51,Ain’t got no alibi
38,We're Building A Rusty Shack,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,,0:57,Mini-epic
39,BREAK
40,Push And Pull,Tony Allen,tony-allen,The Source,5:57,Jazzbeat
