sequence,song,artist,artist_slug,album,time,notes
1,Strange to Explain,Woods,woods,Strange To Explain,3:35,Unusual and uncommon
2,Perfect,Petty Booka,petty-booka,,4:21,Love these ladies
3,Tight Like That,Asylum Street Spankers,asylum-street-spankers,,3:37,Another seamless mashup
4,BREAK
5,I Follow Your Spark,Marvelous Liars,marvelous-liars,Marvelous Liars,3:30,Try to keep up
6,Maybe I Am,Mo Kenney,mo-kenney,The Details,2:49,A bit Sundays
7,Who Are Ya,Wolf Parade,wolf-parade,Cry Cry Cry,3:44,You know who you are
8,Thanks For Listening,Chris Thile,chris-thile,Thanks for Listening,4:19,"My pleasure, Chris"
9,BREAK
10,See Monkey,Elvis Perkins,elvis-perkins,Creation Myths,5:20,What about the other two?
11,Are 'Friends' Electric?,Gary Numan/Tubeway Army,gary-numan-tubeway-army,,5:23,Well… are they?
12,Obedience School,Brian Dewan,brian-dewan,Hello Recording Club 1993/03,2:40,No one tells me what to do
13,Roma Fade,Andrew Bird,andrew-bird,Panthology Songs II,4:57,What a whistle.
14,BREAK
15,Nowhere,Cop Shoot Cop,cop-shoot-cop,Ask Questions Later,4:13,All hail 5/4
16,Tabla Tastiko,Sky-Line,sky-line,,3:51,Of unknown provenance
17,Vampires,Maps & Atlases,maps-atlases,Beware and Be Grateful,2:44,Again with the vampires
18,Awol,The Little Ones,little-ones,The Dawn Sang Along,2:37,Cactus pear music
19,BREAK
20,Don't Let Me Run,Blitzen Trapper,blitzen-trapper,Holy Smokes Future Jokes,3:12,Stay nearby
21,Hombre Secreto (Secret Agent Man),The Plugz,plugz,,1:49,Me han dado un numero
22,My Baby Likes To Boogaloo,The Woggles,woggles,Sleazefest!,2:31,Atlanta grease bucket time!
23,BREAK
24,Beach Monster,STRFKR,strfkr,Miracle Mile,2:10,I've been hypnotized
25,Brinx Job,Pavement,pavement,Wowee Zowee: Sordid Sentinels Edition (Disc 1),1:30,It makes me giddy
26,Goddamn Blue Yodel #7,Slim Cessna,slim-cessna,Always Say Please And Thank You,3:26,So godamn blue.
27,Vai De Vez,Bossacucanova,bossacucanova,Revisited Classics,3:01,Sweet and bouncy
28,BREAK
29,Frame By Frame,Rob Crow,rob-crow,Everybody's Got Damage,3:49,Originally by King Crimson
30,Powder Blue,Ween,ween,,4:17,With the entire Muhammad Ali outro
31,You Turn Me On,Ian Whitcomb,ian-whitcomb,,2:45,Ancient truths
32,Freakin' Out,Graham Coxon,graham-coxon,,3:42,About time
33,BREAK
34,Gatorade,Heavy Trash,heavy-trash,,2:29,Gotta hydrate
35,Sandlot Shuffle,White Hassle,white-hassle,,3:40,Seriously shuffling
36,You're Alright Sorla One,Rachel Taylor Brown,rachel-taylor-brown,,1:13,Not much is known
37,BREAK
38,Escape From Nebula M Spacehunter,Daikaiju,daikaiju,Phase 2,5:26,I don’t think they’re gonna make it
