sequence,song,artist,artist_slug,album,time,notes
1,Strawberry Sunset,Certain Animals,certain-animals,Songs To Make You Move,2:35,Bring your own matchstick men
2,Bosco's Blues,The Sugarman Three & Co.,sugarman-three-co,,3:03,Smokin’
3,Drums A-Go-Go,The Hollywood Persuaders,hollywood-persuaders,,2:22,Heavy menace
4,BREAK
5,Fight Test,The Flaming Lips,flaming-lips,One More Robot,4:50,What is it?
6,Sleep On The Left Side,Cornershop,cornershop,When I Was Born For The 7th Time,4:07,Keep your sword arm free
7,Mansard Roof (Live @ KEXP),Vampire Weekend,vampire-weekend,,1:57,For all lovers of Mansard Rooves
8,BREAK
9,Kill Them With Kindness,IDLES,idles,Ultra Mono,3:50,A deceptive start
10,The Mirror,METZ,metz,Atlas Vending,5:03,Hott Metz
11,Epoxy For Example,fIREHOSE,firehose,,2:35,A jazzy interlude for the fans
12,BREAK
13,Telephone Man,Quintron & Miss Pussycat,quintron-miss-pussycat,Dr. Demento Covered in Punk (Disc 2),2:35,I WANT PUPPETS
14,Shrinking Violets,The Pica Beats,pica-beats,,3:38,Very small
15,Vitamins,TLO,tlo,,0:28,Not available!
16,Ride On / Oshiya Dub,Grand Analog,grand-analog,Survival EP,5:18,Beats beats beats
17,Composite,Palm,palm,Rock Island,4:14,Even higher llamas
18,BREAK
19,No Endodontic Treatment,A Tale of Golden Keys,a-tale-of-golden-keys,The Only Thing That's Real,4:00,Ouch
20,13 Chocolate Treadmill,Snake Eyes,snake-eyes,,4:31,Chopped up
21,On Your Knees,The Herbaliser,herbaliser,,4:11,Funky times
22,Tangente,Pole,pole,Fading,5:08,Overunderstated
23,BREAK
24,Follow the Leader,Foxygen,foxygen,Hang,4:13,Is it the '70s yet?
25,Bizarre Love Triangle,Frente!,frente,,2:04,A great song is a great song
26,The Drugs,Mother Mother,mother-mother,No Culture,3:13,Disco rush
27,Song Against Sex,Neutral Milk Hotel,neutral-milk-hotel,,3:43,Is it swinging?
28,BREAK
29,Bewise,"Bootsy Collins feat. Robert ""Bewise"" Harding",bootsy-collins-feat-robert-bewise-harding,The Power of the One,4:08,Chock full of advice
30,Special Edition (feat. MC Slave),Fat Freddy's Drop,fat-freddy-s-drop,LOCK-IN,7:32,Woozy feelings
31,U Mastru Di Lu Sonu,La Musica De La Mafia,la-musica-de-la-mafia,,2:50,Don’t eff with the Sicilians
32,BREAK
33,Dream Of Water,Mother Falcon,mother-falcon,You Knew,2:59,Another mother band
34,Hangover,CSS,css,Planta,2:42,"Brazilians, tired of being sexy"
35,What A Shame,The Strypes,strypes,Snapshot,2:24,Not available Stateside?!
36,Nancy,G. Love & Special Sauce,g-love-special-sauce,Coast To Coast Motel,3:22,There's two in the Special Sauce
37,BREAK
38,Almost Home,Moby,moby,Innocents,6:01,Sparkling moodtime
