sequence,song,artist,artist_slug,album,time,notes
1,Queen Bee,Ghost Funk Orchestra,ghost-funk-orchestra,An Ode To Escapism,2:46,Royal funk jelly
2,Spirit 927,Ascendants,ascendants,Quarantine,3:43,Taking off
3,Interstellar Love (feat. Leon Bridges),The Avalanches,avalanches,We Will Always Love You,3:39,Now with Alan Parsons
4,Pata Pata,Miriam Makeba,miriam-makeba,The Craig Charles Trunk of Funk Vol. 1,3:00,Traditions
5,BREAK
6,"The King of Carrot Flowers, Pt. 1",Death Cab For Cutie,death-cab-for-cutie,The Georgia E.P.,2:00,Originally by Neutral Milk Hotel
7,True Liar,Brian Capps and the True Liars,brian-capps-true-liars,Walk Through Walls,2:50,Burning up
8,Leppo & The Jooves,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,Gotta Let This Hen Out!,4:55,Quite the characters
9,Whirlpool,The Young Fresh Fellows,young-fresh-fellows,Electric Bird Digest,3:49,Still spinning
10,BREAK
11,No One Holds You (Closer Than the One You Haven't Met),The Lemon Twigs,lemon-twigs,Songs for the General Public,3:30,AM radio in the springtime
12,Mystery Dance,Elvis Costello,elvis-costello,My Aim Is True,1:37,Turn it up!
13,Plastic Halo,Hafdis Huld,hafdis-huld,Dirty Paper Cup,3:52,Delicate iceflower
14,Lola,The Kinks,kinks,"Lola Versus Powerman and the Moneygoround, Part One [Deluxe Box Set]",4:02,For our brave servicepersons
15,BREAK
16,Lovesick,The New Madness,new-madness,After Hours,2:55,Begging for use in a commercial
17,Percolate,Money Mark,money-mark,Stand Up For Your Rice!,2:22,Got something brewing
18,Cranked Up Too Hard,The Lonesome Organist,lonesome-organist,Cavalcade,3:04,A runaway carousel
19,El Scorcho,Tugboat,tugboat,,4:07,Originally by Weezer
20,BREAK
21,It All Washes Away,Death Valley Girls,death-valley-girls,Under the Spell of Joy,2:30,So clean
22,Tanzania,Fastball,fastball,Step Into Light,1:57,Hanging ten or twenty
23,Faded Away,A Big Yes And A Small No,a-big-yes-a-small-no,Jesus That Looks Terrible On You,3:08,Manic vibrations
24,Paying Off The Happiness,illuminati hotties,illuminati-hotties,Kiss Yr Frenemies,2:31,At their most approachable
25,BREAK
26,Summer!,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Teenage Gizzard,2:46,Dangling on the drone
27,Hail Taxi,METZ,metz,Atlas Vending,4:31,One way to catch a cab
28,Something Against You,Pixies,pixies,Surfer Rosa,1:48,So aggressive
29,Magic Dice,Mano Negra,mano-negra,Puta's Fever,1:24,The sticky sound
30,BREAK
31,Lies,The Last,last,Look Again,3:28,Straight outta the aighties
32,Getting Into Knives,The Mountain Goats,mountain-goats,Getting Into Knives,5:14,On a spiritual path
33,Brownie Hawkeye,Jason Collett,jason-collett,Idols of Exile,3:47,For the camera fiends
34,On Any Other Day,The Police,police,Reggatta de Blanc,2:58,The other ones are complete bullshit
35,BREAK
36,Judith,The Nude Party,nude-party,Midnight Manor,4:08,Smart hicks
37,Crazy Conscious,Mexican Institute Of Sound + Toy Selectah,mexican-institute-of-sound-toy-selectah,Compass,4:45,With Toots Hibbert
38,We Love Dancing,Arling + Cameron,arling-cameron,All-In,3:56,Dubbed out
39,Don't Go (2008 Remaster),Yazoo,yazoo,Upstairs at Eric's (2008 Remastered Version),3:12,Club catechism
40,BREAK
41,Alice Crucifies The Pedophiles,Rob Crow,rob-crow,Everybody's Got Damage,1:19,Originally by Rudimentary Peni
42,Stow-A-Way,The Stillmen,stillmen,,1:30,Old fashioned
43,The Goat,Quasi,quasi,Mole City,3:29,Can we get one?
44,BREAK
45,Secret Canine Agent,Viagra Boys,viagra-boys,Welfare Jazz,1:45,Was that a saxophone?
46,Looking Down at You Looking Up at Me,Andre Williams,andre-williams,Silky,3:46,Ain’t no place I’d rather be
47,Decisions,Crocodiles,crocodiles,Shitty Times Volume 3,2:36,Howl it out
48,Tangerine,Certain Animals,certain-animals,Songs To Make You Move,3:06,She don’t use jelly
49,BREAK
50,3 on E (feat. Antwaun Stanley),Vulfpeck,vulfpeck,"The Joy of Music, The Job of Real Estate",2:58,Instructions come on the package
51,Out of the Ordinary,The Republic Of Persevere,republic-of-persevere,The Craig Charles Trunk of Funk Vol. 1,3:27,Call the movers
52,Comin' Home Baby,The Goldstars,goldstars,Purple Girlfriend,2:20,Warbling out
53,Estamos En La Lucha (feat. Karina Nistal),Free Radicals,free-radicals,White Power Outage vol. 1,2:50,In the fight
54,BREAK
55,Immigration Plan (feat. Ranking Ann),Mad Professor,mad-professor,40 Years of Dub,4:38,From 1984
56,Low Rider,The Bug,bug,Pressure Versions,3:35,Throwing off sparks
57,King Size,Kruder & Dorfmeister,kruder-dorfmeister,1995,4:57,Not for sharing
58,Nights Introlude (Live In Chicago),Nightmares On Wax,nightmares-on-wax,Smokers Delight: Sonic Buds,7:00,Slowly melding
59,BREAK
60,American Dipper,North Americans,north-americans,Roped In,3:56,Hypnotic light dancing
