sequence,song,artist,artist_slug,album,time,notes
1,Secret Canine Agent,Viagra Boys,viagra-boys,Welfare Jazz,1:45,Was that a saxophone?
2,Looking Down at You Looking Up at Me,Andre Williams,andre-williams,Silky,3:46,Ain’t no place I’d rather be
3,Decisions,Crocodiles,crocodiles,Shitty Times Volume 3,2:36,Howl it out
4,Tangerine,Certain Animals,certain-animals,Songs To Make You Move,3:06,She don’t use jelly
5,BREAK
6,Sarah's Flame,Drive-By Truckers,drive-by-truckers,The New OK,3:32,Warm and cozy
7,Like An Arrow,Lavender Diamond,lavender-diamond,Imagine Our Love,4:22,Commence the ritual
8,Opaline,Jeff Tweedy,jeff-tweedy,Love Is The King,4:45,Dedicated to a garden spider
9,She's So Sinful,Jennyanykind,jennyanykind,Blues Of The Afflicted,4:20,Heavy heavy three
10,BREAK
11,Apeman,The Kinks,kinks,"Lola Versus Powerman and the Moneygoround, Part One [Deluxe Box Set]",3:54,Now more than ever
12,Not Given Lightly,Boh Runga,boh-runga,Stroke Songs for Chris Knox,3:27,Originally by Tall Dwarfs
13,Balthazar Pelican,TLO,tlo,,0:20,With Jack Renfro
14,Shadow People,Dr. Dog,dr-dog,"Shame, Shame",4:13,Ten years old now
15,You Can't Moan Can You?,The Wedding Present,wedding-present,George Best,3:19,Grinding the Gedge gears
16,BREAK
17,Sexy Creature,Fort Lauderdale,fort-lauderdale,,2:09,Such great tone
18,Ghostiez,The Z Kamp Express,z-kamp-express,,4:38,tripping on acid masonic graveyard
19,Forever 16,Stereo Total,stereo-total,,1:43,Zap it with a ray gun
20,BREAK
21,Live in Favor of Tomorrow,The Lemon Twigs,lemon-twigs,Songs for the General Public,3:24,Rainbow psychedelic pop is a thing again
22,Dream Parade,Lunchbox,lunchbox,After School Special,1:25,More of that
23,Cure Is You,The Nude Party,nude-party,Midnight Manor,3:04,Soulful grinding
24,BREAK
25,Alice Crucifies The Pedophiles,Rob Crow,rob-crow,Everybody's Got Damage,1:19,Originally by Rudimentary Peni
26,Stow-A-Way,The Stillmen,stillmen,,1:30,Old fashioned
27,The Goat,Quasi,quasi,Mole City,3:29,Can we get one?
28,BREAK
29,Tout le monde le sait,Les idiots,les-idiots,Tout le monde le sait,4:22,Because everybody knows
30,Arnold Layne,Robyn Hitchcock,robyn-hitchcock,The Man Downstairs: Demos & Rarities,3:18,Clearly he’s a fan of the Vegetable Man
31,Monica No Samba,DJ Dolores,dj-dolores,,5:53,Deconstructed and reinstructed
32,I Dream (for You),Com Truise,com-truise,"In Decay, Too",4:43,Praise be DX7
33,BREAK
34,It All Washes Away,Death Valley Girls,death-valley-girls,Under the Spell of Joy,2:30,So clean
35,Tanzania,Fastball,fastball,Step Into Light,1:57,Hanging ten or twenty
36,Faded Away,A Big Yes And A Small No,a-big-yes-a-small-no,Jesus That Looks Terrible On You,3:08,Manic vibrations
37,Paying Off The Happiness,illuminati hotties,illuminati-hotties,Kiss Yr Frenemies,2:31,At their most approachable
38,BREAK
39,One Break,Kruder & Dorfmeister,kruder-dorfmeister,1995,13:15,An eventual arrival
