sequence,song,artist,artist_slug,album,time,notes
1,The Power of the One,Bootsy Collins,bootsy-collins,The Power of the One (Bootsy Collins),4:59,George feels it
2,Inspiration Information,Sharon Jones & The Dap-Kings,sharon-jones-dap-kings,Just Dropped In (To See What Condition My Rendition Was In),4:04,Can’t get any Shuggier
3,Femme Africaine,Star Feminine Band,star-feminine-band,Star Feminine Band,3:45,Happiness guaranteed
4,Its Got Old,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Oddments,2:59,Surprisingly mellow
5,BREAK
6,Noodle Soup,Born Ruffians,born-ruffians,SQUEEZE,3:23,A fullsome chorus
7,Tom Young Of Radioface,Bad Bad Meow,bad-bad-meow,Rick Rubin and Steve Albini Had Nothing To Do With This Record,2:42,Lotta name-dropping
8,Wrong,True Love,true-love,,2:39,You try googling “true love wrong”
9,Black Boots,Young Fresh Fellows,young-fresh-fellows,Back To The Egg,1:48,Sure sounds stompy
10,BREAK
11,It's A Whale,Deer Tick,deer-tick,Deer Tick Vol. 2,2:27,Big sound
12,Tick,Ween,ween,GodWeenSatan: The Oneness (25th Anniversary Edition),1:53,tickticktick
13,Green Sauce,TLO,tlo,,0:25,
14,Jackson Cannery,Ben Folds Five,ben-folds-five,,3:24,The piano racket
15,Black Coffee In Bed,Squeeze,squeeze,,6:11,All of it
16,BREAK
17,Automaton,Certain Animals,certain-animals,Songs To Make You Move,3:47,Interrupting guitar
18,Hold My Hand,Death Valley Girls,death-valley-girls,Under the Spell of Joy,2:42,A grandiose racket
19,Crash At Lake Placebo,Guided By Voices,guided-by-voices,Styles We Paid For,2:45,Somewhat organized
20,All My Friends,Primitons,primitons,Strum & Thrum: The American Jangle Underground 1983-1987,2:16,Classic jangle
21,BREAK
22,No One Holds You (Closer Than the One You Haven't Met),The Lemon Twigs,lemon-twigs,Songs for the General Public,3:30,AM radio in the springtime
23,Mystery Dance,Elvis Costello,elvis-costello,My Aim Is True,1:37,Turn it up!
24,Plastic Halo,Hafdis Huld,hafdis-huld,Dirty Paper Cup,3:52,Delicate iceflower
25,Lola,The Kinks,kinks,"Lola Versus Powerman and the Moneygoround, Part One [Deluxe Box Set]",4:02,For our brave servicepersons
26,BREAK
27,Lies,The Last,last,Look Again,3:28,Straight outta the aighties
28,Getting Into Knives,The Mountain Goats,mountain-goats,Getting Into Knives,5:14,On a spiritual path
29,Brownie Hawkeye,Jason Collett,jason-collett,Idols of Exile,3:47,For the camera fiends
30,On Any Other Day,The Police,police,Reggatta de Blanc,2:58,The other ones are complete bullshit
31,BREAK
32,Icky,They Might Be Giants,they-might-be-giants,Nanobots,2:33,Jibbery jiants
33,Close to You,The Avalanches,avalanches,Since I Left You,3:56,Let's have a bit of everything
34,Mambo No. 5,La Zikabilo,la-zikabilo,Volume 1,2:22,Snappy in that French way
35,Cruel To Be Kind,Marshall Crenshaw,marshall-crenshaw,Labour of Love,3:32,"With Christine Ohlman, the Beehive Queen"
36,BREAK
37,Little Bird,Ghost Funk Orchestra,ghost-funk-orchestra,An Ode To Escapism,4:15,Again with the five
38,Scott Cronce Is The CEO,Global Goon,global-goon,Vatican Nitez,4:23,Interstellar surging
39,3000,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,3:31,Always 20 years ahead
40,Killer Queen Dub,The Bug,bug,Pressure Versions,3:54,Harsh and groove
41,BREAK
42,Angry Girl,Ascendants,ascendants,Quarantine,5:17,Don’t cross her
