sequence,song,artist,artist_slug,album,time,notes
1,Peba,Star Feminine Band,star-feminine-band,Star Feminine Band,3:48,Hot stuff out of Benin
2,Postcard,Niños Con Bombas,ninos-con-bombas,De Tiempo en el Momento de la Explosión,4:58,An explosive polka missive
3,Watching the Detectives,Elvis Costello,elvis-costello,My Aim is True,3:46,Top-shelf Jazzmastering
4,Return of Django,Asian Dub Foundation,asian-dub-foundation,,3:35,Dub-happy wooziness
5,BREAK
6,Café Sin Leche (feat. Arthur Yoria),Free Radicals,free-radicals,White Power Outage vol. 1,2:11,Morning coffee
7,Munt ,Boom Pam,boom-pam,Boom Pam,3:15,Sabre dancing
8,Onion,TLO,tlo,,,
9,Mala Vida,Mano Negra,mano-negra,Patchanka,2:53,It’s time to go
10,Mosquita Muerta,La Francachela,la-francachela,La Locura de Machuca 1975-1980,3:08,All about the dead fly
11,BREAK
12,Dog Pound Hop,Ren + Stimpy,ren-stimpy,You Eediot!,2:29,Giggly digging
13,Now That Your Dollar Bills Have Sprouted Wings (feat. Lizzy Ellison & Patti King),Portland Cello Project,portland-cello-project,Beck Hansen's Song Reader,4:51,Can you believe this?
14,Steady As She Goes,Brendan Benson & Jack White,brendan-benson-jack-white,Demos,2:52,Track it down
15,Sugar Lump-Lump,Drink Me,drink-me,Sleep,2:59,Sleepytime music
16,BREAK
17,"The King of Carrot Flowers, Pt. 1",Death Cab For Cutie,death-cab-for-cutie,The Georgia E.P.,2:00,Originally by Neutral Milk Hotel
18,True Liar,Brian Capps and the True Liars,brian-capps-true-liars,Walk Through Walls,2:50,Burning up
19,Leppo & The Jooves,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,Gotta Let This Hen Out!,4:55,Quite the characters
20,Whirlpool,The Young Fresh Fellows,young-fresh-fellows,Electric Bird Digest,3:49,Still spinning
21,BREAK
22,Everybody Had It with You,The Last,last,Look Again,2:57,The newest wave
23,Bad Day Lately,Jeff Tweedy,jeff-tweedy,Love Is The King,3:09,Getting better
24,Powerman,The Kinks,kinks,"Lola Versus Powerman and the Moneygoround, Part One [Deluxe Box Set]",4:17,Always ahead
25,Gonggong,Peter Bjorn and John,peter-bjorn-john,Endless Play,4:02,Hit the gonggong
26,BREAK
27,High School (Don't Like Them),Naked Giants,naked-giants,The Shadow,3:23,Remember when
28,Move,The Bobby Lees,bobby-lees,Skin Suit,1:36,"Cold start, hot tune"
29,From His Lips,The Wrens,wrens,Silver,3:32,New stuff from the Wrens REAL SOON
30,Toadstool Experiment,Oh Sees,oh-sees,Panther Rotate,5:35,Very experimental
31,BREAK
32,Praha In Spring,Rob Crow,rob-crow,Everybody's Got Damage,3:15,Originally by Ruins
33,Fell so Hard,Woods,woods,Strange To Explain,4:02,A running fall
34,Dirtyman II,TLO,tlo,,,
35,Summer Samba,Walter Wanderley,walter-wanderley,Rain Forest,3:07,So nice
36,A Quiet Place,Nick Lowe,nick-lowe,A Quiet Place,3:07,Nobody olds like Nick
37,BREAK
38,Just Like Betty Page,The Jazz Butcher,jazz-butcher,,2:58,It’s been such fun
39,Kurious Oranj,The Fall,fall,,6:20,Self-hypnotic
40,Vaseline And Sand,Sukia,sukia,,3:19,Sitar spin
41,Ambiente,Kruder & Dorfmeister,kruder-dorfmeister,1995,5:44,Quite environmental
42,BREAK
43,Tango Del Fuego,Parov Stelar,parov-stelar,Voodoo Sonic (The Album),3:04,Hot stuff
