sequence,song,artist,artist_slug,album,time,notes
1,Mendocino,The Essex Green,essex-green,The Long Goodbye,3:04,Originally from the Sir Douglas Quintet
2,BREAK
3,Domino,Kiwi jr.,kiwi-jr,Cooler Returns,2:11,Double blanks
4,Cannonball! Pt. 2,Buck Meek,buck-meek,Two Saviors,4:04,Love the voice crax
5,Oh' Dear Handlebars,Marmoset,marmoset,Tea Tornado,3:20,Do the lurch
6,California Stutter,Robb Benson,robb-benson,A Collection of Songs I Forgot to Tell You About,2:09,Elastic waltz time
7,BREAK
8,Trouble,Death By Unga Bunga,death-by-unga-bunga,Heavy Male Insecurity,2:49,More than a punchline
9,Tighten My Tie,The Like Young,like-young,So Serious,2:18,"Like, really tight"
10,You're Gonna Save Me,The Nicoteens,nicoteens,,3:28,At their Big Starriest
11,BREAK
12,Static Electricity,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,5:50,Microtone my ears to pieces
13,A Million Miles (Locked Down and Stripped Back Version),The Wedding Present,wedding-present,Locked Down and Stripped Back,3:35,Freshly delivered
14,When Winter Comes,The Ophelias,ophelias,The Big O,3:57,Descending into madness
15,Jocko Homo (Live),Devo,devo,Now It Can Be Told,3:51,Going out to Gumborg
16,BREAK
17,Coronation Market (feat. Taxi Gang),Sly & Robbie,sly-robbie,Red Hills Road,4:42,Was that a fruit stand?
18,Cruzando el Río,Mexican Institute of Sound / Joe Crepúsculo,mexican-institute-of-sound-joe-crepusculo,Distrito Federal,3:48,When the bass drops in…
19,Evolution Revolution,Tommy Guerrero,tommy-guerrero,Sunshine Radio,2:41,Can’t stop the Darwin
20,BREAK
21,Paper Crown,Tele Novella,tele-novella,Merlynn Belle,3:28,A good set of wishes
22,May God Protect Your Home,Hefner,hefner,The Fidelity Wars,4:03,Is that sweetness for me?
23,Curly Romance,Pom Poko,pom-poko,Cheater,3:22,So many moods
24,Oh La La (featuring Raphaëlle Verlaine),Crocodiles,crocodiles,Shitty Times Volume 1,4:10,Tres français
25,BREAK
26,Take A Chance,Naked Giants,naked-giants,The Shadow,2:42,Nothing to do with ABBA
27,30 Lashes,Six Finger Satellite,six-finger-satellite,Paranormalized,2:26,Driving fast with no headlights
28,Bruce Lee,All Them Witches,all-them-witches,Sleeping Through the War (Deluxe Edition),3:11,A legend
29,BREAK
30,Medicine Head,The Deathray Davies,deathray-davies,Time Well Wasted,3:04,Taking a pill
31,Elegy For An Ex-,LD & The New Criticism,ld-new-criticism,Tragic Realism,1:50,Not too bitter
32,Hands All Over,Soundgarden,soundgarden,Louder Than Love,6:00,Start with an unholy holler
33,Big Dog,Funkmammoth,funkmammoth,Thanks!,3:05,Gentle rhythms
34,BREAK
35,In ko enkrat bom umrl,Magnifico,magnifico,Komplet II.,4:24,Out of Slovenia
36,Remy's Night,Money Mark,money-mark,,3:30,With rainbow space sprinkles
37,Nova (Pt. 1),Tracker,tracker,Polk,2:50,Very scratchy
38,Tijuana Sound Machine,Nortec Collective,nortec-collective,Tijuana Sound Machine,3:03,Chopped up
39,BREAK
40,7th September 2003,The Elected,elected,Me First,3:56,Riding around with my worst friend
41,Nine Straight Lines,Push Kings,push-kings,Push Kings,2:51,Perfectly cubic
42,Mommy,Supernova,supernova,Rocks,3:25,Brats from space
43,BREAK
44,Can't Make Your Life Better,Lilys,lilys,Better Can't Make Your Life Better,4:23,Having a serious meltdown
45,Dan And Mary Ann,Modern Mal,modern-mal,The Misanthrope Family Album,2:18,A nice duet
46,Alex Trebek,The Fleshtones,fleshtones,Face of the Screaming Werewolf,2:46,Can you frame the chorus as a question?
47,You Speak My Language,Morphine,morphine,Good,3:26,Low rumble
48,BREAK
49,"Chaud, Sale Et Humide",Les Wampas,les-wampas,,1:47,Yeh yeh
50,115,Muchachito Bombo Infierno,muchachito-bombo-infierno,Vamos Que Nos Vamos,3:28,Getting hot in here
51,Le Responsable,Jacques Dutronc,jacques-dutronc,En vogue,2:31,Full on arrangements
52,BREAK
53,What You See,Here Lies Man,here-lies-man,Ritual Divination,3:47,Heavy roots
54,Maddaddy,Pepe Deluxe,pepe-deluxe,Super Sound,2:09,Finnish madmen
55,Lady with the Braid,Tindersticks,tindersticks,Distractions,6:59,In a dubby mood
56,Enter The Heretic,Badawi,badawi,,4:03,Martial arts dub
57,BREAK
58,Spirals,Django Django,django-django,Glowing in the Dark,5:00,Around and around and ever-tighter
