sequence,song,artist,artist_slug,album,time,notes
1,Under The Waves,Heavy Trash,heavy-trash,Heavy Trash,3:50,Welcome to the subaquatic kingdom
2,BREAK
3,Swim,Surfer Blood,surfer-blood,Astro Coast,3:19,Drenched in reverb
4,Float Away,David Garza,david-garza,This Euphoria,3:31,Texas flood
5,Underwater Moonlight,The Soft Boys,soft-boys,Underwater Moonlight,4:18,Scintillating rays
6,BREAK
7,Drown,Black Tambourine,black-tambourine,Black Tambourine,2:42,Faraway echoes
8,Pool Shark,Cherry Poppin' Daddies,cherry-poppin-daddies,Skaboy JFK:  The Skankin' Hits Of The Cherry Poppin' Daddies,3:02,Swim faster
9,Waves (The Time That You’re Awake),The Elected,elected,Me First,3:35,Drifting through
10,Went For A Swim,Fastbacks,fastbacks,"Answer the Phone, Dummy",1:55,Boil that lake
11,BREAK
12,You Got Me Floatin',The Jimi Hendrix Experience,jimi-hendrix-experience,Axis: Bold As Love,2:48,Feeling the current
13,King Of The Waves,Little Barrie,little-barrie,King Of The Waves,4:36,Buoyant vibrations
14,Swim,Madder Rose,madder-rose,Bring It Down,2:39,A tsunami of 90s energy
15,BREAK
16,Surf Machine,Spot 1019,spot-1019,Spot 1019,4:16,Gnarly
17,The Swimmer,Tracker,tracker,Polk,4:16,Wash off the dust
18,Swimming With Sharks,The Shivas,shivas,Whiteout,4:15,Diving to the bottom
19,Sea Ghost,The Unicorns,unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),3:43,League after league it yet remained
20,BREAK
21,Field Of Vision,The Bats,bats,Foothills,3:29,Moving at a good pace
22,Hush Money,Lake Street Dive,lake-street-dive,Obviously,2:48,Don’t use Venmo
23,Lucky Number,Lene Lovich,lene-lovich,Lucky Number (The Best Of),2:51,Count me in
24,BREAK
25,Waiting on a Girl,The Fleshtones,fleshtones,Face of the Screaming Werewolf,3:32,Patience is a virtue
26,The Indiana Sun,White Hassle,white-hassle,The Death of Song,2:50,It came undone
27,I Wanna Live In St. Tropez,Saint Tropez,saint-tropez,St. Tropez,2:16,Get there quickly
28,Touch My Tooter,Ween,ween,Pure Guava,2:25,Smooxha
29,BREAK
30,Technicolor Town,Tele Novella,tele-novella,Merlynn Belle,3:40,The scratchy sound
31,I Wanna Be With You,The Sneetches With Shoes,sneetches-with-shoes,1985-1991,3:08,Always a classic
32,Love Letter,Death From Above 1979,death-from-above-1979,Is 4 Lovers,4:18,Densely packed
33,Books,Supernova,supernova,Rocks,2:57,Check ‘em out
34,BREAK
35,Mouvement Ewondo,Manu Dibango,manu-dibango,"Makossa Groove, Vol. 1",6:20,A low grooving
36,I Said,Nose,nose,,4:49,Hear me out
37,Dibidy Dop,Club Des Belugas,club-des-belugas,Wildcats Gotta Move / Dibidy Dop (feat. Brenda Boykin) - EP,5:01,Edgy feeling
38,Archetype,Guedra Guedra,guedra-guedra,Vexillology,3:45,Join the eternal conga line
39,BREAK
40,Mundungus,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,SHYGA! The Sunlight Mound,2:44,Nonstop riffage
41,Last Word,Archers Of Loaf,archers-of-loaf,Icky Mettle,3:38,Not having it
42,Predators and Scavengers,Tomahawk,tomahawk,Tonic Immobility,2:58,Relentlessness
43,Intrasport,King Gizzard And The Lizard Wizard,king-gizzard-lizard-wizard,K.G.,4:13,Downunder arabesques
44,BREAK
45,"Lucas, I'm in Room 39",The Deathray Davies,deathray-davies,Time Well Wasted,2:30,Knock twice
46,Valley Hi!,Stereolab,stereolab,Chemical Chords,2:15,Pleasant oscillations
47,Elevator Is Temporary,Lilys,lilys,Better Can't Make Your Life Better,2:30,Stopping at random floors
48,BREAK
49,Meet Me On The Corner,Dan Hicks,dan-hicks,,3:28,With Elvis Costello and Brian Setzer
50,Flying Jelly Attack,Shonen Knife,shonen-knife,Yamano Acchan,2:41,Bring toast
51,"Lie Still, Little Bottle",They Might Be Giants,they-might-be-giants,Lincoln,2:06,One pill at the bottom
52,Silkworm,Arlo,arlo,Stab the Unstoppable Hero,3:42,Glorious chorusing
53,BREAK
54,Paloma,Cuco,cuco,Distrito Federal,3:35,More optigan vibes
55,Aries Equals GoOd Trash,Of Montreal,of-montreal,"I Feel Safe With You, Trash",4:20,It’s queasy
56,Wanted,Nortec Collective,nortec-collective,,2:43,Collect on the bounty
57,The Duke,Menahan Street Band,menahan-street-band,The Exciting Sounds of Menahan Street Band,2:47,Cop show outro
58,BREAK
59,Alone in the Heart of the Light,Genghis Tron,genghis-tron,Dream Weapon,7:07,Pulsing measures
