sequence,song,artist,artist_slug,album,time,notes
1,Banana Splits,The Dickies,dickies,Kick-Ass Soundtrack,2:05,Over before you know it
2,BREAK
3,I Like Bananas (Because They Have No Bones),Soft Boys,soft-boys,Live at the Portland Arms,2:52,Rare live stuff
4,Cherry Oh Baby,Eric Donaldson,eric-donaldson,Eric Donaldson Sings 20 Jamaica Classics,3:01,Tropical stone fruit
5,Orange,Metal Molly,metal-molly,Surgery for Zebra,4:25,Let the wild bass fuzz
6,Apple Blossom Time,Flat Duo Jets,flat-duo-jets,Go Go Harlem Baby,2:08,In a melancholy mood
7,BREAK
8,Chiclete com Banana,Gal Costa,gal-costa,Festa Brazil,3:55,Feels relaxing
9,Orange Wedge,Chemical Brothers,chemical-brothers,Surrender,3:07,Sweet citrus rumble
10,Peaches,The Presidents of The United States of America,presidents-of-united-states-of-america,The Presidents of the United States of America,2:52,I’d eat peaches every day
11,Golden Apples,Country Teasers,country-teasers,Destroy All Human Life,3:26,Menacing giddiness
12,BREAK
13,Mango Woman,Ween,ween,Push th' Little Daisies EP,2:25,Woy yoy
14,Mango Cool,Los Amigos Invisibles,los-amigos-invisibles,The New Sound of the Venezuelan Gozadera,2:54,Move your feet
15,Pineapple Girl,Mister Heavenly,mister-heavenly,Out of Love,2:18,Powerful combo
16,Coconut Boogaloo,"Medeski, Martin & Wood",medeski-martin-wood,Combustication,3:57,That beat
17,BREAK
18,Coconut Conga,Arling + Cameron,arling-cameron,We Are A + C,3:12,Everyone form a line
19,Red Grapes In The City,The Sugar Oaks,sugar-oaks,Red Grapes In The City,4:51,Sound outta Clearwater
20,The Monkey Steals The Peaches,Sir Millard Mulch,sir-millard-mulch,How to Sell the Whole F#@!Ing Universe to Everybody... Once and for All! (Collection 1: Success),3:19,A personal favorite
21,Cherry Pink And Apple Blossom White,Perez Prado & His Orchestra,perez-prado-his-orchestra,Pérez Prado and His Orchestra,3:01,What a horn line
22,BREAK
23,Give Up Your Life,Spirit of the Beehive,spirit-of-beehive,"Entertainment, Death",2:54,Lucid dreaming
24,Silver Or Lead,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,3:49,Give me five
25,Gimme Some Truth,Cheap Trick,cheap-trick,In Another World,3:27,Originally by John Lennon
26,Web in Front,Archers Of Loaf,archers-of-loaf,Icky Mettle,2:09,Essence of Nineties
27,BREAK
28,Go Outside,Ratboys,ratboys,"Happy Birthday, Ratboy",2:49,Nailed it
29,Federales,"Joe ""King"" Carrasco",joe-king-carrasco,Nuevo Wavo,2:21,Texan to the core
30,Presidici (Et Chapaquiditch),The Jesus & Mary Chain,jesus-mary-chain,Damage And Joy,3:36,Still fuzzing
31,Breathless,X,x,More Fun In the New World,2:18,Inimitable
32,BREAK
33,Need You Around,Josh Caterer,josh-caterer,The Hideout Sessions,3:40,An unmistakable voice
34,Rhode Island Is Famous For You,Erin McKeown,erin-mckeown,Sing You Sinners,2:46,Anyone from Rhode Island?
35,Isn't It A Shame,Head of Femur,head-of-femur,Great Plains,2:59,The big open sound
36,Abandoned Flesh,The Mountain Goats,mountain-goats,Goths,3:42,Those goths!
37,BREAK
38,Spiral,Schneider TM,schneider-tm,The 8 Of Space,4:22,Undulating threats
39,Now That's What I Call Freewave,Of Montreal,of-montreal,"I Feel Safe With You, Trash",2:43,Time traveling can be hazardous
40,Pretty Boys,Paul McCartney + Khruangbin,paul-mccartney-khruangbin,McCartney III Imagined,5:49,Unexpected complements
41,Bucky Done Gone,M.I.A.,m-i-a,Arular,3:46,"Quieten down, I need to make a sound"
42,BREAK
43,Encircle My Love,Jimbo Mathus & Andrew Bird,jimbo-mathus-andrew-bird,These 13,3:42,Together again
44,My Zeppelin,The Jazz Butcher,jazz-butcher,,2:03,Cowboy airship theme
45,Waiting On A Song,Dan Auerbach,dan-auerbach,Waiting On A Song,2:50,Now delivering
46,BREAK
47,Magaman,Round Eye,round-eye,Culture Shock Treatment,0:49,Get to the point
48,At Home He's A Tourist,Gang Of Four,gang-of-four,77-81: Entertainment!,3:31,Shattered
49,Mesmerised,The Routes,routes,Mesmerised,3:01,Possibly also hipmotized
50,BREAK
51,When the Morning Greets You With a Smile,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,When the Morning Greets You,4:49,Bring me my paisleys
52,Breathe Me In,The Moles,moles,Untune the Sky,4:32,Original Australian lo-fi
53,"If Not Now, Then When?",King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,3:50,The new Australian lo-fi
54,BREAK
55,It's So Hard,Sue Garner,sue-garner,Still,1:54,Take a breather
56,Theme From Ernest Borgnine,Squarepusher,squarepusher,Theme From Ernest Borgnine,7:56,Or is it Borg 9?
57,Dairy Queen (DJ Donger Jazzy Mix),The Sucka MCs,sucka-mcs,Da Album,3:21,Dinner and a movie
58,BREAK
59,Just Imagine (Remix),Sonic Boom,sonic-boom,Almost Nothing Is Nearly Enough,11:06,Spaced out
