sequence,song,artist,artist_slug,album,time,notes
1,No One Knows,The Vaccines,vaccines,"Cosy Karaoke, Vol. 1",4:11,Originally by Queens of the Stone Age
2,BREAK
3,Broken Goods,The Routes,routes,Mesmerised,3:43,Punked out in Shanghai
4,Nosebleed,Illinois,illinois,What the Hell Do I Know?,2:46,Country fried freak show
5,Lalita,The Love Language,love-language,The Love Language,3:12,But is it Chardlingo?
6,BREAK
7,Writing a Letter,Josh Caterer,josh-caterer,The Hideout Sessions,4:25,Reworking the classics
8,Kansas (Remembers Me Now),Orville Peck,orville-peck,Pony,3:36,For the Slim Whitman fans
9,Mayday,Thingy,thingy,To the Innocent,2:46,Weaving through traffic
10,Baba Boom,The Jamaicans,jamaicans,Plebs Original Soundtrack,3:20,An original vibration
11,BREAK
12,Key,Ratboys,ratboys,"Happy Birthday, Ratboy",3:37,Not the usual garbage
13,Full Blast,Hands Down Eugene,hands-down-eugene,Madison,3:37,A big extended sprawl
14,Had a Dream,Juliana Hatfield,juliana-hatfield,Blood,2:57,Daring experiments
15,Funny Steps,Gerben Rienk Visser + Bob Van Houten,gerben-rienk-visser-bob-van-houten,Skaguitar,3:56,Dutch treat
16,BREAK
17,Dolly Pardon,People Like Us,people-like-us,Abridged Too Far,4:41,Where to start
18,Balloon Race Phenomenon,The Lonesome Organist,lonesome-organist,Cavalcade,1:30,Out. of. control.
19,Moondance.,Sirconical,sirconical,Everything You Ever Wanted to Know About Twisted Nerve,4:32,Laconic and disparate
20,BREAK
21,Close Your Eyes and Floor It,The Deathray Davies,deathray-davies,Time Well Wasted,3:00,What’s the worst could happen
22,I'll Go Down Swinging,Los Straitjackets,los-straitjackets,Sing Along With Los Straitjackets,2:13,If I gotta go…
23,Skips A Beat (Over You),The Promise Ring,promise-ring,Very Emergency,2:01,Twelve hours in two minutes
24,BREAK
25,Margaret Middle School,Guided By Voices,guided-by-voices,Earth Man Blues,1:10,Fragments of memory
26,Nice Day,His Name Is Alive,his-name-is-alive,Nice Day - EP,1:51,Open the windows
27,Bat Macumba,Os Mutantes,os-mutantes,Os Mutantes,3:09,Sounding it out
28,Te Manu Pukarua,Poi Dog Pondering,poi-dog-pondering,Volo Volo,2:06,Get yourself to the islands
29,BREAK
30,Poor Lost Souls,Jimbo Mathus & Andrew Bird,jimbo-mathus-andrew-bird,These 13,4:16,A modern pilgrimage
31,Athol Brose,Nouvelle Vague,nouvelle-vague,I Could Be Happy,4:41,Originally by Cocteau Twins
32,"Yours Truly, The Commuter",Jason Lytle,jason-lytle,"Yours Truly, The Commuter",3:18,Coming in for a landing
33,For The Mekons et al,Palace Brothers,palace-brothers,For The Mekons et al,5:21,Name check deluxe
34,BREAK
35,Keel Timing,Manchester Orchestra,manchester-orchestra,The Million Masks Of God,4:18,Syncopation to there and back
36,Klezmer Ivanyeh,Pakava It,pakava-it,Shtetl Superstars,2:02,Balkan twostep
37,Move Your MP3,Le Hammond Inferno,le-hammond-inferno,My First Political Dance Album,5:40,Bomb all these and destroy them
38,Do Yourself Some Good (Rōnin Throwdown),UNKLE,unkle,Rōnin I,8:11,Mufflebass and cowbell
39,BREAK
40,ENTERTAINMENT,Spirit of the Beehive,spirit-of-beehive,"ENTERTAINMENT, DEATH",2:45,A bit of the far out there
41,Pleura,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,4:11,For beat-counting obsessives
42,The Butterfly Effect,The Epizootis,epizootis,Death By Luxury,3:21,Big finish
43,BREAK
44,Armadillo Man,Round Eye,round-eye,Culture Shock Treatment,1:33,So much punk in so little time
45,My Pal the Tortoise,Thinking Fellers Union Local #282,thinking-fellers-union-local-282,Strangers from the Universe,2:48,Fairly speedy for a tortoise
46,I'm a Breakdown,The Countdown Quartet,countdown-quartet,The Countdown Quartet,3:22,A complete shambles
47,BREAK
48,Heart,Camper Van Beethoven,camper-van-beethoven,Camper Vantiquities,3:08,Watch what you say
49,Love Has Got Me Crying Again,Denise James,denise-james,,2:43,Sound out of time
50,Kinky Hypocrite,Drive-By Truckers,drive-by-truckers,American Band,3:14,Pay attention
51,BREAK
52,Can't Pay Won't Pay,Asian Dub Foundation,asian-dub-foundation,Access Denied,2:53,Do not be presumptuous
53,Rosasolis,Penguin Cafe Orchestra,penguin-cafe-orchestra,Signs of Life,3:03,Harmonic cascades
54,Bhangale,Red Baraat,red-baraat,Bhangra Pirates,3:34,Featuring Delicate Steve
55,The Gauntlet (bonus track),Music Is The Weapon,music-is-weapon,Moving Foundations and Outer Space,5:34,Try to keep up
56,BREAK
57,Bad Actor,Mister Ott,mister-ott,In The Flow,9:37,Funk out
