sequence,song,artist,artist_slug,album,time,notes
1,Alphabet,Shame,shame,Drunk Tank Pink,2:53,Easy as ABC
2,If I Had an Experiment,Thee Oh Sees,thee-oh-sees,Panther Rotate,4:30,Please describe yourself
3,Ain't Nice,Viagra Boys,viagra-boys,Welfare Jazz,3:33,Not nice at all
4,(God Damn!) What I Am,Naked Giants,naked-giants,The Shadow,2:41,Uncertainty
5,BREAK
6,Binary Mind,Ra Ra Riot,ra-ra-riot,Beta Love,3:13,It's definitely digital
7,Farewell Appalachia,Stornoway,stornoway,Tales From Terra Firma,5:12,All over the place
8,The Lacking Details,TLO,tlo,,0:45,
9,The Porch,Beats Antique,beats-antique,Elektrafone,4:07,Weird wobbles in timing
10,Beep Beep Love,The Incredible Moses Leroy,incredible-moses-leroy,Electric Pocket Radio,2:56,Skippy rip
11,BREAK
12,Sleeping Without You,Pomplamoose,pomplamoose,Invisible People,3:31,A daring proposition
13,Gary of the Academy,Lunchbox,lunchbox,After School Special,2:54,Smart and horny
14,That's Just Life,The Last,last,Look Again,2:16,Organ howler
15,BREAK
16,Summer!,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Teenage Gizzard,2:46,Dangling on the drone
17,Hail Taxi,METZ,metz,Atlas Vending,4:31,One way to catch a cab
18,Something Against You,Pixies,pixies,Surfer Rosa,1:48,So aggressive
19,Magic Dice,Mano Negra,mano-negra,Puta's Fever,1:24,The sticky sound
20,BREAK
21,Smooth Move,Cory Wong,cory-wong,The Striped Album,5:16,Sesame Street swagger
22,My Guitar Wants To Kill Your Mama,The Persuasions,persuasions,,4:27,Originally by Frank Zappa
23,Miner At The Dial-a-View,Grandaddy,grandaddy,The Sophtware Slump ..... on a wooden piano,5:51,Prescient
24,Furniture In The Valley,North Americans,north-americans,Roped In,3:56,Watch the video
25,BREAK
26,Deny All,Bettie Serveert,bettie-serveert,Pharmacy of Love,3:02,A popular strategy
27,Corn Whiskey Boogie,The Stillmen,stillmen,,2:17,Watch for feds
28,Fresca,TLO,tlo,,0:28,
29,Isolation,Heavy Trash,heavy-trash,Midnight Soul Serenade,3:26,Solitary-like
30,El Barro,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,2:18,Don’t go crazy on the chocolate
31,BREAK
32,Before I Ask,Negativland,negativland,The World Will Decide,5:17,Who is listening?
33,Born Stupid,Paul Leary,paul-leary,Born Stupid,3:41,Still riling them up
34,Crime Scene,The Gomers,gomers,Mike Zirkel the Album,2:17,Woo
35,Prostitutes In Town,Holiday,holiday,"Ready, Steady, Go!",3:39,Quite charming
36,BREAK
37,La Chamaca,La Dame Blanche,la-dame-blanche,Ella,2:30,Heavy beat
38,What U Gonna Do,Jim Noir,jim-noir,Jim Noir,2:56,I really dunno
39,Magoo Opening,Cornelius,cornelius,Fantasma (Remastered),2:09,Please stand by
40,You Are An Airplane,I Am The World Trade Center,i-am-world-trade-center,,2:45,Different times
41,Darling,Ymck,ymck,Family Music,2:09,Bag of chips
42,BREAK
43,Dub Lion (Remake),DJ Food,dj-food,Big Noise A Mambo Inn Compilation,5:22,Old school
