sequence,song,artist,artist_slug,album,time,notes
1,Delirious,Guy Forsyth,guy-forsyth,Do Me Baby!,2:57,Hawt stuff
2,BREAK
3,The American Way,The Rare Occasions,rare-occasions,Big Whoop,1:46,Make no mistakes
4,shake yer mop,Nevada Bachelors,nevada-bachelors,Carrots & So On,3:05,Professing to be neither
5,D. Boon,Uncle Tupelo,uncle-tupelo,Still Feel Gone,2:32,Left a giant gap
6,BREAK
7,In It to Win It (feat. Jason Lytle),Brad Sucks,brad-sucks,A New Low In Hi-Fi,4:43,Get some Grandaddy in you
8,Fresh Thoughts Of You,The Moore Brothers,moore-brothers,Murdered By the Moore Brothers,3:06,Telling it like it is
9,Goodbye Girl,The Shins,shins,,2:56,Fresh take on old Squeeze
10,Duke Of Earl,Frank Black,frank-black,,2:42,Had to throw in that twisted chord
11,BREAK
12,The Shame of Love,Juliana Hatfield,juliana-hatfield,Blood,4:48,Bold production
13,I Love You (But You're Boring),The Beautiful South,beautiful-south,Welcome to the Beautiful South,4:28,Take a pastel journey
14,Strawberry Letter 23,The Brothers Johnson,brothers-johnson,The Best of the Brothers Johnson,3:38,BYO mirrorball
15,I Need Some of That,Weezer,weezer,Van Weezer,3:20,It’s the sound
16,BREAK
17,Foot In Mouth,The Routes,routes,Mesmerised,3:04,Under some form of suggestion
18,Baby's Got Sauce,G. Love & Special Sauce,g-love-special-sauce,G. Love And Special Sauce,3:54,It’s a hot type of sauce
19,Rockin' In A Flat,Madness,madness,The Lot (Remastered Boxset) One Step Beyond,2:29,Or G sharp if you will
20,Ranking Full Stop,The English Beat,english-beat,I Just Can't Stop It,2:45,I said stop
21,BREAK
22,23,Datblygu,datblygu,Wyau,2:53,This one I can pronounce
23,Charlie's Lips,The Molochs,molochs,America's Velvet Glory,3:38,Sounds like a nice guy
24,Dead Or Alive,The Hoosegow,hoosegow,,3:02,Spangled blues
25,Jackson,Cymbals Eat Guitars,cymbals-eat-guitars,Lose,6:14,Cinematic scope
26,BREAK
27,Not When You're in Love,Field Music,field-music,Flat White Moon,3:41,In a complicated style
28,Red,Nanuchka,nanuchka,A Carefully Planned Accident,3:03,No brakes! No brakes!
29,Wastepaper Basket Fire,Brian Dewan,brian-dewan,Tells the Story,2:58,Do not attempt to save expensive pieces of equipment
30,E.T Gnome,Ghoulies,ghoulies,Reprogram,1:16,Scarred for life
31,BREAK
32,Back To Hell,Zero Zero,zero-zero,A.M. Gold,2:50,At least it’s a scenic drive
33,Static Shape,Chad VanGaalen,chad-vangaalen,Light Information,4:10,Woozy loops
34,Somersault,Royal Canoe,royal-canoe,Something Got Lost Between Here and the Orbit,4:08,Flipping out
35,Film 2,Grauzone,grauzone,Grauzone,3:13,Marching forth
36,BREAK
37,Telstar,The Vaccines,vaccines,"Cosy Karaoke, Vol. 1",3:16,The Meek shall inherit
38,Heinz Baked Beans,Petra Haden,petra-haden,The Who Sell Out,1:10,Selling out
39,Call Me Lightning (2018 Mix),The Who,who,The Who Sell Out (Super Deluxe),2:24,Dum dum dum doo-lang
40,One Note Samba Recado Bossa Nova,Leroy Holmes,leroy-holmes,Ultra-Lounge Volume Fourteen: Bossa Novaville,5:44,Relax
41,BREAK
42,I Made You A Clown,Kid Congo Powers,kid-congo-powers,You Didn't Think We Could Take It  (Subsonics Tribute - Vol 2),2:18,Subsonics glory
43,"K155 M3, U JACK3D UP J3RK",Brainiac,brainiac,Hissing Prigs in Static Couture,3:14,Psychotic Japanese Chichuahua
44,Little Birdy,Ween,ween,Pure Guava,3:31,The seasick sound
45,BREAK
46,Wake Up (In Rotation),Spirit of the Beehive,spirit-of-beehive,"Entertainment, Death",2:57,Spinning through the dial
47,Parallel Universe,Hypnolovewheel,hypnolovewheel,Space Mountain,2:34,Super underrated
48,Swamp Thing,The Chameleons UK,chameleons-uk,Strange Times,5:57,Iconic
49,Airplane,The Districts,districts,Popular Manipulations,3:43,A modern take
50,BREAK
51,I Something You (Live),Robyn Hitchcock,robyn-hitchcock,Storefront Hitchcock (Music from the Jonathan Demme Picture),2:35,It's a comfortable existence
52,When I Drink ,The Avett Brothers,avett-brothers,The Gleam,3:19,A classic from the start
53,Hobo Luv,Rube Waddell,rube-waddell,Greatest Hits,2:38,More hobo music
54,Walt Whitman,My Robot Friend,my-robot-friend,Hot Action! (Deluxe Edition),3:37,He was super into robots
55,BREAK
56,Satta Massagana,The Abyssinians,abyssinians,Satta Massagana,3:39,Deep roots
57,Giddy Up,The Actions,actions,"Soul Jazz Records Presents STUDIO ONE Rocksteady 2: The Soul Of Young Jamaica - Rocksteady, Soul And Early Reggae At Studio One",2:15,Audio sunshine
58,The Liquidator,Harry J. All Stars,harry-j-all-stars,Tougher Than Tough: The Story Of Jamaican Music,2:53,Sounding familiar
59,BREAK
60,Pyrocene,Genghis Tron,genghis-tron,Dream Weapon,6:14,Waves of concordance
