sequence,song,artist,artist_slug,album,time,notes
1,Sinking Ships,Born Ruffians,born-ruffians,SQUEEZE,2:26,A measured pace
2,Johnny Hit and Run Paulene,X,x,Los Angeles,2:51,Burning fire
3,Better Not Waste My Time,Naked Giants,naked-giants,The Shadow,3:19,Dragging its feet
4,Happy Hour,The Promise Ring,promise-ring,Very Emergency,3:06,One of the best albums of the 90s
5,BREAK
6,The Heat Is On,Cut Worms,cut-worms,Nobody Lives Here Anymore,5:35,Dig it cowboy
7,Rain,The Beatles,beatles,Past Masters Vol. 2,3:01,Bring it
8,The One,The Lemon Twigs,lemon-twigs,Songs for the General Public,2:26,Freshmaking
9,Look Again,The Last,last,Look Again,5:22,Taking their time
10,BREAK
11,Hotel Celebrity,The Paranoyds,paranoyds,Pet Cemetary,2:54,Off kilter retroactivity
12,Turn On The Water,The Afghan Whigs,afghan-whigs,Congregation,4:18,Descending to the depths
13,Watercooler,TLO,tlo,,0:51,
14,Next to You and the Sea,Woods,woods,Strange To Explain,3:53,Reaching across untold distances
15,BREAK
16,Dear Señoritas,Mike Pinto,mike-pinto,,3:49,Going out to Bob
17,Music Arcade,Scott The Hoople,scott-hoople,NEIL (Vol. 1),5:27,Young at heart
18,"Women, Smoking, And Cats (Full Band Final Version)",Bad Bad Meow,bad-bad-meow,Rick Rubin and Steve Albini Had Nothing To Do With This Record,2:06,Pick your vice(s)
19,Life Is Cool,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Teenage Gizzard,2:11,And somewhat hyperactive
20,BREAK
21,Judith,The Nude Party,nude-party,Midnight Manor,4:08,Smart hicks
22,Crazy Conscious,Mexican Institute Of Sound + Toy Selectah,mexican-institute-of-sound-toy-selectah,Compass,4:45,With Toots Hibbert
23,We Love Dancing,Arling + Cameron,arling-cameron,All-In,3:56,Dubbed out
24,Don't Go (2008 Remaster),Yazoo,yazoo,Upstairs at Eric's (2008 Remastered Version),3:12,Club catechism
25,BREAK
26,March Day,Shame,shame,Drunk Tank Pink,3:12,That’s entertainment
27,Like A Lady,Pom Poko,pom-poko,Cheater,2:47,"Delicate, razor sharp"
28,La Rana Guillermo,TLO,tlo,,0:25,
29,Earworm,The Goodnight Loving,goodnight-loving,,2:20,It sure is
30,Toad,Viagra Boys,viagra-boys,Welfare Jazz,3:35,The new Deadbolt
31,BREAK
32,Lavatory Lil,Paul McCartney,paul-mccartney,McCartney III,2:23,"Dang spicy, Macca"
33,Stress Me Out,Pomplamoose,pomplamoose,Invisible People,3:08,Driven to cusswords
34,Capsized,Andrew Bird,andrew-bird,Panthology Songs II,5:23,Dramatic
35,El Tornillito,El Grupo Folclórico,el-grupo-folclorico,La Locura de Machuca 1975-1980,2:31,Ay ay ay
36,BREAK
37,Wurlitzer Price,Atom™,atom,This Is Jazz,4:35,Trust the process
38,A Walk in the Park,Jah Wobble,jah-wobble,Nocturne in the City (Ambient Jazz Grooves),5:22,Music for nighttimes
39,Holmes,Kruder & Dorfmeister,kruder-dorfmeister,1995,1:35,A brief time=hop
40,Dreamstate in the Mainframe,The Anubian Lights,anubian-lights,Naz Bar,3:50,Vocoder hallucinations
41,BREAK
42,Solid Gold,VHS Or Beta,vhs-or-beta,Le Funk,7:54,Before “Star Guitar”
