sequence,song,artist,artist_slug,album,time,notes
1,Dimes Make Dollars,Lilys,lilys,The 3 Way,2:25,Mean mean dimes
2,What's The Deal?,The Nude Party,nude-party,Midnight Manor,4:14,For the old-timers
3,My Fate Was Sealed With A Kiss,Scruffy The Cat,scruffy-cat,Tiny Days,3:02,I reached for a brick
4,Trench Foot,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Teenage Gizzard,1:56,Making me dizzy
5,BREAK
6,Paul's Not Home,Gibby Haynes & Jack White,gibby-haynes-jack-white,Paul's Not Home,2:24,White Surfers? Butthole Stripes?
7,Newsletter,TLO,tlo,,0:45,
8,Banana Boat,Vocal Sampling,vocal-sampling,New World Classics (Disc 1),3:04,"From Cuba, I think"
9,Train In Vain,The Clash,clash,London Calling: 25th Anniversary Edition,3:10,Ah yes
10,Another Nail In My Heart,Squeeze,squeeze,Greatest Hits,2:58,"Moar Squeezing, less wheezing"
11,BREAK
12,Hostility,A Tale of Golden Keys,a-tale-of-golden-keys,The Only Thing That's Real,3:41,Intricate construction
13,Ex Oh,Jeepster,jeepster,What If All the Rebels Died?,1:52,Languid
14,WantMe2Stay,Bootsy Collins,bootsy-collins,The Power of the One (Bootsy Collins),4:04,Featuring Larry Graham
15,Speech Defects,Le Hammond Inferno,le-hammond-inferno,My First Political Dance Album,3:28,Perfectly enunciated
16,BREAK
17,Disco Ball World,David Garza,david-garza,This Euphoria,3:39,Dazzling lightshow
18,Pareidolia,Buck Meek,buck-meek,Two Saviors,4:08,Seeing phases
19,And It Spread,The Avett Brothers,avett-brothers,I and Love and You,4:07,Yes it did
20,Good Neighbor,Oblio Joes,oblio-joes,Let's Decompose and Enjoy Assembling!,2:56,Oh my stars
21,BREAK
22,Mosquito (Reprise),Mosquitos,mosquitos,Mosquitos,3:07,The relaxed reprise
23,Halloween,Jason Trachtenburg,jason-trachtenburg,Revolutions Per Minute,2:50,True as ever
24,Little Hitler,Nick Lowe,nick-lowe,16 All-Time Lowes,3:00,Sing along with Nick
25,All Love And No Peace,Robyn Hitchcock,robyn-hitchcock,The Man Downstairs: Demos & Rarities,2:53,A restless spirit
26,BREAK
27,My America Is Not Your America,Mexican Institute of Sound / Graham Coxon,mexican-institute-of-sound-graham-coxon,Distrito Federal,5:06,Different perspectives
28,Cooler Returns,Kiwi jr.,kiwi-jr,Cooler Returns,3:53,Speaking of Blur
29,Game Show,TLO,tlo,,0:35,
30,Matter of Time,Surfer Blood,surfer-blood,Snowdonia,3:04,Crashing and rolling
31,Design (feat. Kimbra),Cory Wong,cory-wong,The Striped Album,3:37,10 years since Gotye
32,BREAK
33,Ideja ,Marijan Kasaj,marijan-kasaj,Jugoton Funk Vol.1,4:05,Straight outta Croatia
34,Unlawful Assembly,Negativland,negativland,The World Will Decide,1:23,Immediately disperse
35,Lockdown 10,Jah Wobble,jah-wobble,End of Lockdown Dub,4:11,For celebration
36,Everything,The Deadmen,deadmen,The Deadmen,2:21,Keeping a pulse
37,BREAK
38,Des rails en mou de veau,Pascal Comelade,pascal-comelade,Le cut-up populaire,2:15,A digital revolution
39,Broke a Couple of Rules,Dan the Automator,dan-automator,Booksmart (Original Motion Picture Score),3:21,From Booksmart
40,Quiet Soul,Ghost Funk Orchestra,ghost-funk-orchestra,An Ode To Escapism,4:11,Lucky 7
41,John Peel Dub,Mad Professor,mad-professor,40 Years of Dub,4:47,Low desert sounds
42,BREAK
43,Hunter,HHY & The Kampala Unit,hhy-kampala-unit,Lithium Blast,5:41,You are the prey
