sequence,song,artist,artist_slug,album,time,notes
1,The Shadow,Naked Giants,naked-giants,The Shadow,6:08,Darkness abounds
2,King Kong Five,Mano Negra,mano-negra,Puta's Fever,1:56,Burning up
3,She Collides With Me,Sex Clark Five,sex-clark-five,Strum & Thrum: The American Jangle Underground 1983-1987,2:19,With a spray of elementary particles
4,Gelati,Sonetic Vet,sonetic-vet,,3:05,Fuzzy feelings
5,BREAK
6,Oh Stars,The Deathray Davies,deathray-davies,Time Well Wasted,2:53,Back with the zaps
7,"(Are You) Ready, Freddy?",Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds,Swing from the Sean Delear,2:56,Hit them with the past blaster
8,Watercooler,TLO,tlo,,0:45,
9,Ataraxia,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,5:18,Odd men indeed
10,Bulls,All Them Witches,all-them-witches,Sleeping Through The War,6:41,A fair amount of grinding
11,BREAK
12,Accepting Applications at University,Lilys,lilys,The 3 Way,2:54,Let’s get Kinky
13,Dark Star,The Mabuses,mabuses,,3:27,Drifting in space
14,Andy Go To School,Pom Poko,pom-poko,Cheater,3:13,Nervous energy cataclysm
15,When I Laugh,Superchunk,superchunk,Going to Georgia,2:50,Originally by The Glands
16,BREAK
17,Little Bird,Bill Callahan & Bonnie 'Prince' Billy,bill-callahan-bonnie-prince-billy,Letter Sung to Friends,3:19,Mildly euphoric
18,Moonbeams Dance From Your Eyes Into Mine,Joe Jack Talcum,joe-jack-talcum,Joe Jack Talcum sings Railroad Bill and Other Songs,3:21,Getting serious
19,A Random Thought,Kevin Seconds,kevin-seconds,,2:26,Unmistakeable
20,Birthday In Beijing,Ral Partha Vogelbacher,ral-partha-vogelbacher,,3:31,It’s an unusual journey
21,BREAK
22,Holiday,The Kinks,kinks,Muswell Hillbies,3:12,What a lovely day today
23,Crazy Love,Daniel Johnston,daniel-johnston,Fun,1:13,Baring his soul
24,Rave-Up/Shut-Up,The Rave-Ups,rave-ups,Town + Country,1:52,Ducky was robbed
25,Wild Honey Pie,The Squirrels,squirrels,,0:55,Nice choice
26,BREAK
27,Wir Tanzen Im 4-Eck,Stereo Total,stereo-total,Musique Automatique,1:58,Farewell Françoise
28,Dear God,Worm Quartet,worm-quartet,Stupid Video Game Music,2:19,Gilbert Gottfried in disguise?
29,"Ó, Ég Er Svo Svöng!",Bellatrix,bellatrix,Stranger Tales,1:39,Icelandic girl punk
30,William,The Wrens,wrens,Silver,2:17,Pensive piano
31,BREAK
32,New Fragility,Clap Your Hands Say Yeah,clap-your-hands-say-yeah,New Fragility,3:26,Making progress
33,Got Me Worried,Django Django,django-django,Glowing in the Dark,3:36,Snake dancing
34,Cosmos,TLO,tlo,,0:35,
35,In Spite of Ourselves,Viagra Boys,viagra-boys,Welfare Jazz,5:03,"Yes, the John Prine song"
36,Ramble,Link Wray,link-wray,Wraymen Unbound,2:15,Like a leisurely rumble
37,BREAK
38,3 on E (feat. Antwaun Stanley),Vulfpeck,vulfpeck,"The Joy of Music, The Job of Real Estate",2:58,Instructions come on the package
39,Out of the Ordinary,The Republic Of Persevere,republic-of-persevere,The Craig Charles Trunk of Funk Vol. 1,3:27,Call the movers
40,Comin' Home Baby,The Goldstars,goldstars,Purple Girlfriend,2:20,Warbling out
41,Estamos En La Lucha (feat. Karina Nistal),Free Radicals,free-radicals,White Power Outage vol. 1,2:50,In the fight
42,BREAK
43,Rainy Day Lady,Menahan Street Band,menahan-street-band,The Exciting Sounds of Menahan Street Band,3:19,Slow and measured
