sequence,song,artist,artist_slug,album,time,notes
1,Mexican Radio,Polvo,polvo,,3:23,Hot wind on my shoulder
2,BREAK
3,Sick of Spiraling,Bachelor,bachelor,Doomin' Sun,4:28,Drive slowly
4,Despertador,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,3:12,Wake up waltz
5,Paprika,Japanese Breakfast,japanese-breakfast,Jubilee,3:40,Your favorite spice
6,No Hard Feelings,Wolf Alice,wolf-alice,Blue Weekend,2:35,Highly dynamic
7,BREAK
8,You Aint Havin Fun Till You're Dialling 911,Atomic 7,atomic-7,,2:00,True words
9,Wedding Song,Boom Pam,boom-pam,Boom Pam,2:56,It was a wild reception
10,Jalale,Mexican Institute of Sound,mexican-institute-of-sound,Soy Sauce,2:57,Flushin’
11,BREAK
12,Don't Do What You're Dying To Do,The Gravel Pit,gravel-pit,Serpent Umbrella,4:45,Dive right in
13,Real Good,Tiny Masters of Today,tiny-masters-of-today,Skeletons,2:05,The new Johnny B. Goode
14,Given It All,Smoove & Turrell,smoove-turrell,Crown Posada,3:09,Not quite predictable
15,BREAK
16,Dream Weapon,Genghis Tron,genghis-tron,Dream Weapon,5:14,Heavy blasting
17,Fable Of The Urban Fox,Arab Strap,arab-strap,As Days Get Dark,4:55,Northern myths
18,Surprise Hotel,Fool's Gold,fool-s-gold,Fool's Gold,6:48,Southern climes
19,BREAK
20,Burned,Blood Lemon,blood-lemon,Blood Lemon,4:40,The power of rock
21,Caught By The Fuzz,Supergrass,supergrass,I Should Coco,2:17,For being up to the usual
22,If I Had A Reason,OCS,ocs,"Songs About Death and Dying, Vol. 3 / Get Stoved, Vol. 4",3:21,A transmission from the deep psyche
23,BREAK
24,S K A D R E A M,Jeff Rosenstock,jeff-rosenstock,SKA DREAM,3:11,It’s the 90s all over again
25,"Hamfisted, Chromatic",Steward,steward,Goodbye to Everything You Love,3:47,Whiplash moods
26,"Bye, Bye Baby",Janis Joplin,janis-joplin,Big Brother & the Holding Company,2:41,A lovely kiss-off
27,Endless Sleep,Round Eye,round-eye,Culture Shock Treatment,4:01,Anguished men
28,BREAK
29,Somerset Morning,The Fleshtones,fleshtones,Face of the Screaming Werewolf,2:47,No particular place to go
30,Close To Me,The Cure,cure,The Head On the Door,3:41,It’s crowded in here
31,Watch What Happens,Matt Sweeney & Bonnie 'Prince' Billy,matt-sweeney-bonnie-prince-billy,Superwolves,2:56,"My, what big teeth you have"
32,ZERO,James,james,All The Colours Of You,5:42,In true form
33,BREAK
34,Andromeda,Once And Future Band,once-future-band,Deleted Scenes,4:07,An orchestral approach
35,Science Friction,XTC,xtc,White Music,3:15,Urgent communication
36,Alone,The Rare Occasions,rare-occasions,Big Whoop,2:45,Big big sounds
37,Heavenly Pop Hit,The Chills,chills,Submarine Bells,3:27,"Still heavenly, still a pop hit"
38,BREAK
39,Scratchcard Lanyard,Dry Cleaning,dry-cleaning,New Long Leg,4:07,Disaffected affectation
40,Shanghai,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Butterfly 3000,4:01,Wander through the Chinese scale
41,Goldregen (n.o.h.a. Mix),!Dela Dap,dela-dap,,3:39,Opa
42,BREAK
43,Babannod Beichiog Nawr,Datblygu,datblygu,Wyau,2:05,It makes sense
44,Forrowest,Forro In The Dark,forro-in-dark,Bonfires of São João,4:44,Easy hooting
45,Sha Na Na (feat. The Shacks),El Michels Affair,el-michels-affair,Yeti Season,3:32,The end of the night
46,BREAK
47,Cosmosis,Tony Allen,tony-allen,There Is No End,4:45,How things break
48,Power Of Funk,Five Alarm Funk,five-alarm-funk,Sweat,3:01,No mistaking it
49,Living in a Box,Cilantro Boombox,cilantro-boombox,Shine,4:54,Or a screen
50,BREAK
51,You Version,The Bug,bug,Blue Versions,3:59,Dark undercurrents
52,Using What You Got,Flying Lotus,flying-lotus,Yasuke,1:05,A fragmented approach
53,That's What I Get,Nine Inch Nails,nine-inch-nails,Pretty Hate Machine,4:31,Inevitable rewards
54,BREAK
55,Slade Treacher,µ-Ziq,ziq,Scurlage,5:48,Washing your delicates
