sequence,song,artist,artist_slug,album,time,notes
1,Substyle,Dub Syndicate,dub-syndicate,Adrian Sherwood Presents The Master Recordings Vol. 2,5:51,Soul power birdsong
2,Baby I Love You So,Colourbox,colourbox,,3:18,Goth pop dub
3,Skies Over Cairo (Adrian Sherwood On-U Sound Dub),Django Django,django-django,,3:31,Hypnoscottish
4,Stalker Dub,John Zorn,john-zorn,,3:25,Skulking about
5,Watching the Detectives,Elvis Costello,elvis-costello,,3:46,Filing her nails while they’re dragging the lake
6,War Ina Babylon,Max Romeo,max-romeo,Tougher Than Tough: The Story Of Jamaican Music,4:04,Standards
7,Blackhole Dub,Painkiller,painkiller,,3:29,Extra dragging
8,Killer Queen Dub,The Bug,bug,Pressure Versions,3:54,Queens and drones
9,Sci Fi Dub,Phase Selector Sound,phase-selector-sound,,2:32,In space
10,Brooklyn Haze,Dub Gabriel,dub-gabriel,,8:35,The city never sleeps
11,Iko Iko (Dub),Noema,noema,,5:07,Set your flag on fire
12,Lincoln Highway Dub,Sublime,sublime,,2:21,Somewhat recognizable
