sequence,song,artist,artist_slug,album,time,notes
1,Divine Hammer,Ben Lee,ben-lee,Quarter Century Classix,4:26,Originally from the Breeders
2,Bloody Rainbow,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,2:24,Originally from Daniel Johnston
3,Fire In Cairo,Luna,luna,Why Can't I Be You?,3:28,Originally from the Cure
4,BREAK
5,Goo Goo Muck,Das Clamps,das-clamps,Shit Music For Shit People,3:11,Originally from the Cramps
6,Sophisticated Boom Boom,Knoxville Girls,knoxville-girls,In A Ripped Dress,2:17,Originally from the Shangri-Las
7,Wicked Game,Messer Chups,messer-chups,Don't Say Cheese,3:50,Originally from Chris Isaak
8,Jack The Ripper,Zach Uncles,zach-uncles,"Guitar Rebel, A Tribute to Link Wray",3:48,Originally from Link Wray
9,BREAK
10,Telstar,The Vaccines,vaccines,"Cosy Karaoke, Vol. 1",3:16,Originally from the Tornados
11,Kenni and the Jets,The Fearless Flyers,fearless-flyers,Tailwinds,4:09,Originally from Elton John
12,Heroes and Villains,Joey Joesph,joey-joesph,Smile,5:54,Originally from the Beach Boys
13,Just Dropped In (To See What Condition My Condition Was In),Sharon Jones & The Dap-Kings,sharon-jones-dap-kings,Just Dropped In (To See What Condition My Rendition Was In),3:01,Originally from the First Edition
14,BREAK
15,Mission Impossible,Laika & The Cosmonauts,laika-cosmonauts,Laika Sex Machine,2:09,Originally from Lalo Schifrin
16,Perfect,Petty Booka,petty-booka,,4:21,Originally from Fairground Attraction
17,Dreamweaver,Valis,valis,,4:28,Originally from Gary Wright
18,Wild Honey Pie,The Squirrels,squirrels,,0:55,Originally from the Beatles
19,BREAK
20,Jaan Pehechaan Ho,Olivia Jean,olivia-jean,Night Owl,4:11,Originally from Mohammed Rafi
21,Mexican Radio,Polvo,polvo,Freedom of Choice: Yesterday's New Wave Hits As Performed By Today's Stars,3:23,Originally from Wall of Voodoo
22,Pee Wee's Big Adventure (Breakfast Machine),The Scofflaws,scofflaws,,2:00,Originally from Danny Elfman
23,BREAK
24,Gimme Some Truth,Cheap Trick,cheap-trick,In Another World,3:27,Originally from John Lennon
25,Impossible Germany,Jen Cloher,jen-cloher,Wilco Covered (Uncut November 2019),4:23,Originally from Wilco
26,Somebody's Gonna Get Their Head Kicked In Tonight,The Rezillos,rezillos,Can't Stand the Rezillos - The (Almost) Complete Rezillos,1:56,Originally from Fleetwood Mac
27,A Little More Love,Juliana Hatfield,juliana-hatfield,Juliana Hatfield Sings Olivia Newton-John,3:39,Originally from Olivia Newton John
28,BREAK
29,I Wanna Be With You,The Sneetches With Shoes,sneetches-with-shoes,,3:08,Originally from Raspberries
30,Gotta Get Up,Ty Segall,ty-segall,Segall Smeagol,2:31,Originally from Harry Nilsson
31,Tattooed Love Boys,Melvins & Shitkid,melvins-shitkid,Bangers ,3:07,Originally from Pretenders
32,Special Designer Song,Wagon Christ,wagon-christ,Recepticon,4:19,Originally from Negativland
33,BREAK
34,OD'd in Denver (feat. Matt Sweeney),Bill Callahan & Bonnie 'Prince' Billy,bill-callahan-bonnie-prince-billy,OD'd in Denver,3:30,Originally from Hank Williams Jr.
35,You'd Be Surprised,White Hassle,white-hassle,Your Language,3:31,Originally from Irving Berlin and Eddie Cantor
36,Digga Digga Do,Asylum Street Spankers,asylum-street-spankers,Mercurial,4:10,Originally from the Mills Brothers and many others
37,Love-Lore 5,Deerhoof,deerhoof,Love-Lore,5:12,Originally from the Velvet Underground and Laurie Anderson
38,BREAK
39,The KKK Took My Baby Away,Drive-By Truckers,drive-by-truckers,The New OK,2:31,Originally from the Ramones
40,Hombre Secreto (Secret Agent Man),The Plugz,plugz,Repo Man (Music From the Original Motion Picture Soundtrack),1:49,Originally from Johnny Rivers
41,Political Song for Michael Jackson to Sing,Superchunk,superchunk,Good Music to Avert The Collapse Of American Democracy,1:31,Originally from the Minutemen
42,BREAK
43,Nuclear War,The Barrence Whitfield Soul Savage Arkestra,barrence-whitfield-soul-savage-arkestra,Songs From the Sun Ra Cosmos,4:44,Originally from Sun Ra
44,If You Were A Priest,Crocodiles,crocodiles,Shitty Times Volume 1,3:04,Originally from Robyn Hitchcock
45,Duke Of Earl,Frank Black,frank-black,,2:42,Originally from Gene Chandler
46,Comin' Home Baby,The Goldstars,goldstars,Purple Girlfriend,2:20,Originally from Mel Torme and many others
47,BREAK
48,A Quiet Place,Nick Lowe,nick-lowe,A Quiet Place,3:07,Originally from Garnet Mimms & the Enchanters
49,I'm In The Mood For Love,Jools Holland Orchestra And Jamiroquai,jools-holland-orchestra-jamiroquai,,3:08,Originally from Julie London and many others
50,Dancing Queen,Milo Binder,milo-binder,,3:07,Originally from ABBA
51,Chain Gang,Boise Cover Band,boise-cover-band,Unoriginal Artists,3:27,Originally from Pretenders
52,BREAK
53,Arnold Layne,Robyn Hitchcock,robyn-hitchcock,The Man Downstairs: Demos & Rarities,3:18,Originally from Barrett-era Pink Floyd
54,I Like Bananas (Because They Have No Bones),The Soft Boys,soft-boys,,2:52,Originally from the Hoosier Hot Shots
55,In Spite of Ourselves,Viagra Boys,viagra-boys,Welfare Jazz,5:03,Originally by John Prine and Iris DeMent
56,Speeding Motorcycle,Yo La Tengo,yo-la-tengo,Fakebook,3:24,Originally from Daniel Johnston
57,BREAK
58,The Call Up,The Lothars,lothars,,5:47,Originally from the Clash
