sequence,song,artist,artist_slug,album,time,notes
1,Call Me When You Get There,The Rare Occasions,rare-occasions,Big Whoop,3:02,Easier said than done
2,Love Comes In Waves,Fastball,fastball,Step Into Light,2:52,Still fast
3,Space Blows,Ratboys,ratboys,"Happy Birthday, Ratboy",1:46,Fuzzing loud
4,Everyone Thinks He Looks Daft,The Wedding Present,wedding-present,,4:09,And their aggressive jangle
5,BREAK
6,Ain't That Lovin' You Baby,Link Wray,link-wray,Wraymen Unbound,2:46,Still the original
7,Ewa on the Beach,Frankie & The Poolboys,frankie-poolboys,Frankie & The Poolboys,3:04,With a genuine drip
8,Watercooler,TLO,tlo,,,
9,Chain Gang,Boise Cover Band,boise-cover-band,Unoriginal Artists,3:27,Originally by Pretenders
10,Trash People,Cherry Glazerr,cherry-glazerr,Apocalipstick,3:09,We all know some
11,BREAK
12,Black Moon Rising,Black Pumas,black-pumas,Black Pumas,3:42,Soul grinding
13,Small World,Trilok Gurtu & Robert Miles,trilok-gurtu-robert-miles,Miles_Gurtu,3:58,Make yourself comfortable
14,Tei! Tei! Tei!,Polysics,polysics,Now is the time!,2:36,Manic japanic
15,Barney Rubble Is My Double,Evaporators,evaporators,Ripple Rock,1:38,Totally Flintstoned
16,BREAK
17,ENTERTAINMENT,Spirit of the Beehive,spirit-of-beehive,"Entertainment, Death",2:45,A bit of the far out there
18,Pleura,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,4:11,For beat-counting obsessives
19,The Butterfly Effect,The Epizootis,epizootis,Death By Luxury,3:21,Big finish
20,BREAK
21,Foot In Mouth,The Routes,routes,Mesmerised,3:04,Under some form of suggestion
22,Baby's Got Sauce,G. Love & Special Sauce,g-love-special-sauce,G. Love And Special Sauce,3:54,It’s a hot type of sauce
23,Rockin' In A Flat,Madness,madness,The Lot (Remastered Boxset) One Step Beyond,2:29,Or G sharp if you will
24,Ranking Full Stop,The English Beat,english-beat,I Just Can't Stop It,2:45,I said stop
25,BREAK
26,I Something You (Live),Robyn Hitchcock,robyn-hitchcock,Storefront Hitchcock (Music from the Jonathan Demme Picture),2:35,It's a comfortable existence
27,When I Drink ,The Avett Brothers,avett-brothers,The Gleam,3:19,A classic from the start
28,Fresca,TLO,tlo,,,
29,Hobo Luv,Rube Waddell,rube-waddell,Greatest Hits,2:38,More hobo music
30,Walt Whitman,My Robot Friend,my-robot-friend,Hot Action! (Deluxe Edition),3:37,He was super into robots
31,BREAK
32,Need You Around,Josh Caterer,josh-caterer,The Hideout Sessions,3:40,An unmistakable voice
33,Rhode Island Is Famous For You,Erin McKeown,erin-mckeown,Sing You Sinners,2:46,Anyone from Rhode Island?
34,Isn't It A Shame,Head of Femur,head-of-femur,Great Plains,2:59,The big open sound
35,Abandoned Flesh,The Mountain Goats,mountain-goats,Goths,3:42,Those goths!
36,BREAK
37,Tawkin Tekno (Remix),Sonic Boom,sonic-boom,Almost Nothing Is Nearly Enough,4:59,Mesmerizing sounds
38,Just Give 'Em Whiskey,Colourbox,colourbox,Colourbox (Disc 1),4:19,Samples galore
39,Cara De Espejo,Juana Molina,juana-molina,Halo,5:03,Looping through infinity
40,Vedavox,Ozric Tentacles,ozric-tentacles,,2:51,Far-off microtones
41,BREAK
42,Spirals,Django Django,django-django,Glowing in the Dark,5:00,Around and around and ever-tighter
