sequence,song,artist,artist_slug,album,time,notes
1,Petey Jones' Locker,Ghoulies,ghoulies,Reprogram,1:42,Who needs energy drinks?
2,RIP,Mainframe,mainframe,Employee b/w Rip,2:44,Frantic calculations
3,Mr. Orange,Dengue Fever,dengue-fever,,2:23,Sounds like a dangerous character
4,"Mon dieu, les banlieues (Featuring Laszlo Loco)",Monsieur LeRoc,monsieur-leroc,,2:47,That beat
5,BREAK
6,La Luna de Noviembre,Mexican Institute of Sound,mexican-institute-of-sound,Distrito Federal,2:42,That optigan sound
7,Jazz Musik,Bill Wolford,bill-wolford,Head,3:53,Appeasing the jazz heads
8,Onion,TLO,tlo,,,
9,Gun,HHY & The Kampala Unit,hhy-kampala-unit,Lithium Blast,4:05,With occasional music
10,A Fable With No Moral,Quasi,quasi,,7:30,Truly an epic tale
11,BREAK
12,Poor Lost Souls,Jimbo Mathus & Andrew Bird,jimbo-mathus-andrew-bird,These 13,4:16,A modern pilgrimage
13,Athol Brose,Nouvelle Vague,nouvelle-vague,I Could Be Happy,4:41,Originally by Cocteau Twins
14,"Yours Truly, The Commuter",Jason Lytle,jason-lytle,"Yours Truly, The Commuter",3:18,Coming in for a landing
15,For The Mekons et al,Palace Brothers,palace-brothers,For The Mekons et al,5:21,Name check deluxe
16,BREAK
17,Static Electricity,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,5:50,Microtone my ears to pieces
18,A Million Miles (Locked Down and Stripped Back Version),The Wedding Present,wedding-present,Locked Down and Stripped Back,3:35,Freshly delivered
19,When Winter Comes,The Ophelias,ophelias,The Big O,3:57,Descending into madness
20,Jocko Homo (Live),Devo,devo,Now It Can Be Told,3:51,Going out to Gumborg
21,BREAK
22,Satta Massagana,The Abyssinians,abyssinians,Satta Massagana,3:39,Deep roots
23,Giddy Up,The Actions,actions,"Soul Jazz Records Presents STUDIO ONE Rocksteady 2: The Soul Of Young Jamaica - Rocksteady, Soul And Early Reggae At Studio One",2:15,Audio sunshine
24,The Liquidator,Harry J. All Stars,harry-j-all-stars,Tougher Than Tough: The Story Of Jamaican Music,2:53,Sounding familiar
25,BREAK
26,Go Outside,Ratboys,ratboys,"Happy Birthday, Ratboy",2:49,Nailed it
27,Federales,"Joe ""King"" Carrasco",joe-king-carrasco,Nuevo Wavo,2:21,Texan to the core
28,Gal Costa,TLO,tlo,,,
29,Presidici (Et Chapaquiditch),The Jesus & Mary Chain,jesus-mary-chain,Damage And Joy,3:36,Still fuzzing
30,Breathless,X,x,More Fun In the New World,2:18,Inimitable
31,BREAK
32,They Took Your Brains Tonight,The Deathray Davies,deathray-davies,Time Well Wasted,2:30,The process of zombiefiecation
33,Cambridge California,Lilys,lilys,Better Can't Make Your Life Better,2:17,Flailing the multicolored trolley
34,Going Down,The Moles,moles,Untune the Sky,2:26,Old and from down under
35,Michaeldose,Frankie and the Witch Fingers,frankie-witch-fingers,Monsters Eating People Eating Monsters...,2:21,Urgent communique
36,Miss America,That Handsome Devil,that-handsome-devil,,4:35,Downtempo and unruly
37,BREAK
38,Dolly Pardon,People Like Us,people-like-us,Abridged Too Far,4:41,Where to start
39,Balloon Race Phenomenon,The Lonesome Organist,lonesome-organist,Cavalcade,1:30,Out. of. control.
40,Moondance.,Sirconical,sirconical,Everything You Ever Wanted to Know About Twisted Nerve,4:32,Laconic and disparate
41,BREAK
42,By the Sea at the End of the World,Tommy Guerrero,tommy-guerrero,Sunshine Radio,2:50,The clave is the key
