sequence,song,artist,artist_slug,album,time,notes
1,Sand Angel,Bachelor,bachelor,Doomin’ Sun,2:20,Slow drifting
2,Tactics,Japanese Breakfast,japanese-breakfast,Jubilee,3:54,Like a scalpel
3,Daddy's Home,St. Vincent,st-vincent,Daddy's Home,3:20,Some weird jazz
4,"nowhere, man",Tune-Yards,tune-yards,sketchy.,3:30,With a Vroomy shuffle
5,BREAK
6,Lemmy Gaga,Les idiots,les-idiots,Tout le monde le sait,3:16,"Originally by Mötörhead, sort of"
7,Wisdom Tooth,Creedle,creedle,When The Wind Blows,2:54,It won’t hurt a bit
8,Watercooler,TLO,tlo,,,
9,Walk of Doom,Naked Giants,naked-giants,The Shadow,1:46,But it gets you there
10,BREAK
11,Pink Dragon,Parov Stelar,parov-stelar,Voodoo Sonic (The Album),4:23,Worthwhile hallucination
12,Glowing in the Dark,Django Django,django-django,Glowing in the Dark,2:59,Hypnosis commencing
13,Greetings From A Distant Friend,North Americans,north-americans,Roped In,3:29,The sound of hovering
14,Easter Song (North Star Dub),A Man Called Adam,a-man-called-adam,Cafe del Mar 40th Anniversary,5:16,Quite festive
15,BREAK
16,9,Tokyo Ska Paradise Orchestra,tokyo-ska-paradise-orchestra,SKA=ALMIGHTY,2:43,Manic energy galore
17,Love Luggage,Young Fresh Fellows,young-fresh-fellows,Tiempo De Lujo,2:38,Down in the Chard
18,Sweetnesss Lies Within,Hefner,hefner,,4:15,Reaching for the high notes
19,Let's Work Together,Peter Stampfel,peter-stampfel,Peter Stampfel's 20th Century,2:23,Can’t mistake that voice
20,BREAK
21,Can't Make Your Life Better,Lilys,lilys,Better Can't Make Your Life Better,4:23,Having a serious meltdown
22,Dan And Mary Ann,Modern Mal,modern-mal,The Misanthrope Family Album,2:18,A nice duet
23,Alex Trebek,The Fleshtones,fleshtones,Face of the Screaming Werewolf,2:46,Can you frame the chorus as a question?
24,You Speak My Language,Morphine,morphine,Good,3:26,Low rumble
25,BREAK
26,Words That Stay,Tele Novella,tele-novella,Merlyn Belle,2:51,Clear mountain holler
27,over two minutes,Heavy Vegetable,heavy-vegetable,Mondo Aqua Kitty,3:50,Quite the insider song title
28,Second Sight,Buck Meek,buck-meek,Two Saviors,3:58,Filling out quite nicely
29,Dig up the Hatchet,Jimbo Mathus & Andrew Bird,jimbo-mathus-andrew-bird,These 13,2:34,Wicked sharp
30,BREAK
31,Give Up Your Life,Spirit of the Beehive,spirit-of-beehive,"Entertainment, Death",2:54,Lucid dreaming
32,Silver Or Lead,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,3:49,Give me five
33,Surgery,TLO,tlo,,,
34,Gimme Some Truth,Cheap Trick,cheap-trick,In Another World,3:27,Originally by John Lennon
35,Web in Front,Archers Of Loaf,archers-of-loaf,Icky Mettle,2:09,Essence of Nineties
36,BREAK
37,One Inna Million,Tony Allen,tony-allen,There Is No End,3:21,Unmistakable flutter
38,Upside Down,Music Is The Weapon,music-is-weapon,Moving Foundations and Outer Space,4:51,From Sweden
39,9mm,Butter 08,butter-08,,2:45,NYC weirdcore
40,Las Paya No Puen Entra Al Lowen,Rakel Winchester,rakel-winchester,~Incomplete,3:40,Te lo juro
41,BREAK
42,Home,Teenage Fanclub,teenage-fanclub,Endless Arcade,7:04,The desired effect
